slug,title,source_name,source_link,legal_text,legal_link,description,methodology,terms_of_use,source_360
timely_indicators_of_entrepreneurship,Timely Indicators of Entrepreneurship,OECD - Timely Indicators of Entrepreneurship,https://stats.oecd.org/Index.aspx?DataSetCode=TIMELY_BDS_ISIC4,Organization for Economic Co-operation and Development (OECD),http://www.oecd.org/termsandconditions/,"Most of the OECD countries produce data on business demography on an annual basis. Data come from national business registers for statistical purposes, typically managed by National Statistical Offices (NSOs). These statistical business registers are compiled from information from various administrative records and surveys and both the quality and comprehensiveness of the data drawn from them are high. But often quality is achieved at the expense of timeliness, as data processing, cross-checking and control take time. Yet, events such as the global economic crisis demand immediate access to up-to-date indicators. Policy analysts need to understand the impact of such events on entrepreneurship and respond promptly with policy initiatives.

Thus the EIP has supplemented its register-based data with a new set of timely indicators of entrepreneurship. The compilation process focuses on timeliness as the indicators are based on monthly and quarterly data on enterprise creations and failures that are available through the internet. The sources used are among those employed for business registers. For most countries, a single source is exploited; for firm creation it is normally an administrative file or a register from a chamber of commerce; for firm closures, the source is mainly bankruptcy records.","There are two important qualifications concerning the data collected through these alternative sources. First, since a single source is used, rather than the multiple sources used for national business registers, the population of enterprises is often incomplete. Depending on the country, the chosen single source may not cover certain legal forms of enterprises (e.g., sole proprietor) or sectors of activity (e.g. agri-culture or education) or enterprises below a certain turnover or employment threshold. Second, the concepts of enterprise “creation” and “failure” reflected in the data series differ across countries. Some of the national sources selected for the timely indicators use the concept of creation, while others that of enterprise birth. The latter concept is more restrictive as it refers to a legal entity that appears for the first time with no other enterprise involved in the creation process. It excludes firm creations resulting from mergers or changes of name, type of activity or ownership. The notions of failure are also different. The sources may record the opening of bankruptcy procedures or actual liquidations. Finally, attention is drawn to specific data issues in three countries. In France, enterprise creations are recorded at the date of the data treatment and not at the real date of enterprise creation; in Spain, the administrative source includes new enterprises registered but non-active; and, for the United States, new creations refer to establishments and not to enterprises.

To address the issues above, and before their inclusion in the database, a number of adjustments have been made to the series. In addition, the monthly and quarterly data have been seasonally adjusted. Metadata, explaining the characteristics and adjustments made to each single data series, are accessible on the OECD website (http://www.oecd.org/dataoecd/60/15/46346883.pdf). Data can be found online in OECD.Stat: http://stats.oecd.org >> Industry and Services >> Timely Indicators of Enterpreneurship

While indicator levels are not strictly comparable across countries in the timely series, comparisons in terms of trends and growth rates are valid. Trends in countries’ adjusted series on firm creation and bankruptcies show a remarkably similar pattern across countries.","For use guidelines, please consult Organization for Economic Co-operation and Development (OECD) (http://www.oecd.org/termsandconditions/)",tc
stri,Services Trade Restrictiveness Index,OECD - Services Trade Restrictiveness Index,http://stats.oecd.org/Index.aspx?DataSetCode=STRI,Organization for Economic Co-operation and Development (OECD),http://www.oecd.org/termsandconditions/,"The OECD STRI is a unique, evidence-based tool that collects information on services trade restrictions across 19 major services sectors. The project has two distinct but complementary instruments: a services trade regulatory database and a services trade restrictiveness index. These instruments provide a rich source of information for trade policy makers, trade negotiators and researchers, and an instrument for impact assessment of trade liberalisation. The STRI further allows individual countries to benchmark their services market regulations against the global best practice, identify outlier restrictions and current bottlenecks.","The regulatory database contains laws and regulations collected from 44 countries: the 35 OECD Member economies, Russia and key partners (Brazil, China, India, Indonesia, and South Africa), as well as countries having accession discussions with the OECD. Based on the qualitative information in the database, composite indices quantify the identified restrictions across five standard policy categories, with values between zero and one. Complete openness to trade and investment gives a score of zero, while being completely closed to foreign services providers yields a score of one.","For use guidelines, please consult Organization for Economic Co-operation and Development (OECD) (http://www.oecd.org/termsandconditions/)",tc
product_market_regulation,OECD Product Market Regulation Database,OECD - Product Market Regulation Database,https://www.oecd.org/eco/growth/indicatorsofproductmarketregulationhomepage.htm,Organization for Economic Co-operation and Development (OECD),http://www.oecd.org/termsandconditions/,"A competitive product market environment that allows new firms to challenge incumbents, efficient firms to grow, and inefficient ones to exit, can help boost economic growth and living standards. Two main policy ingredients are necessary for a growth-enhancing competition environment. First, product market regulation should be set in a way that does not hamper competition and, second, an effective antitrust framework needs to be in place that safeguards a level playing field among firms. The OECD has developed indicators in both of these policy areas which are presented on this webpage.","The main sources of information used to construct the indicators related to product market regulation are the responses of national governments to the OECD Regulatory Indicator Questionnaires 2013, 2007, 2003, and 1998. The sources of information used to construct the competition law and policy indicators are the responses of competition agencies to the OECD Competition Law and Policy Indicators Questionnaire. All data have been extensively checked by OECD and government experts.

Please use the following citation when using the data: OECD (2013), Product Market Regulation Database, www.oecd.org/economy/pmr.

For more information, please see: https://www.oecd.org/eco/growth/indicatorsofproductmarketregulationhomepage.htm#Sources","For use guidelines, please consult Organization for Economic Co-operation and Development (OECD) (http://www.oecd.org/termsandconditions/)",tc
entrepreneurship_at_a_glance,Entrepreneurship at a Glance,OECD - Entrepreneurship at a Glance,http://www.oecd.org/std/business-stats/entrepreneurship-at-a-glance-22266941.htm,Organization for Economic Co-operation and Development (OECD),http://www.oecd.org/termsandconditions/,"The collection of entrepreneurship indicators presented in Entrepreneurship at a Glance is the result of the OECD-Eurostat Entrepreneurship Indicators Programme (EIP). The programme, started in 2006, was the first attempt to compile and publish international data on entrepreneurship from official government statistical sources. From the outset a key feature in the development of these indicators has been to minimise compilation costs for national statistical offices, which is why the programme focuses attention on exploiting existing sources of data.

Informing policy design through the development of policy-relevant indicators is at the core of the EIP programme, and much attention is paid to responding to information needs, including the need for timely information on the situation of small businesses. To that purpose, Entrepreneurship at a Glance features an opening chapter on recent trends in entrepreneurship, discussing the evolution of enterprise creations, bankruptcies and self-employment.

This edition was prepared in the Trade and Competitiveness Division of the OECD Statistics Directorate by Liliana Suchodolska, Gueram Sargsyan, Belén Zinni and Frédéric Parrot. Nadim Ahmad and Mariarosa Lunati provided overall guidance and edited the publication.

Particular thanks go to Eurostat and to experts in National Statistical Offices from Australia, Austria, Belgium, Brazil, Canada, Chile, Colombia, the Czech Republic, Denmark, Estonia, Finland, France, Germany, Hungary, Iceland, Israel, Italy, Japan, Korea, Latvia, Lithuania, Luxembourg, Mexico, the Netherlands, New Zealand, Norway, Poland, Portugal, Romania, the Russian Federation, the Slovak Republic, Slovenia, South Africa, Spain, Sweden, Switzerland, the United Kingdom and the United States; and to Cornelius Mueller from Invest Europe, Darrell Pinto from the Canadian Venture Capital and Private Equity Association, Maryam Haque from the National America Venture Capital Association of the United States and Kyle Stanford from PitchBook for help and advice on equity capital statistics.","This publication presents indicators of entrepreneurship collected by the OECD-Eurostat Entrepreneurship Indicators Programme (EIP). Started in 2006, the programme develops multiple measures of entrepreneurship and its determinants according to a conceptual framework that distinguishes between the manifestation of entrepreneurship, the factors that influence it, and the impacts of entrepreneurship on the economy. A defining characteristic of the programme is that it does not provide a single composite measure of overall entrepreneurship within an economy. Rather, recognising its multi-faceted nature, the programme revolves around a suite of indicators of entrepreneurial performance that each provide insights into one or more of these facets. Perhaps most important is the recognition within the programme that entrepreneurship is not only about start-ups or the number of self-employed persons: entrepreneurs and entrepreneurial forces can be found in many existing businesses and understanding the dynamism these actors exert on the economy is as important as understanding the dynamics of start-ups or the self-employed.

Indicators of entrepreneurial performance, computed by National Statistical Offices (NSOs), are presented for the following countries: Australia, Austria, Belgium, Brazil, Canada, Chile, Colombia, the Czech Republic, Denmark, Estonia, Finland, France, Hungary, Germany, Israel, Italy, Japan, Korea, Latvia, Lithuania, Luxembourg, Mexico, the Netherlands, New Zealand, Norway, Portugal, Romania, the Russian Federation, the Slovak Republic, Slovenia, Spain, Sweden, Switzerland, the United Kingdom and the United States.

For each indicator, a short text explains what the indicator measures, how it is defined, and its policy relevance. Additional commentary is provided on the comparability of the indicator across countries.

Data are also presented for the entrepreneurial determinant “venture capital”, while a list of indicators of determinants of entrepreneurship, together with their data sources, is included in an Annex. For more information, please see https://www.oecd-ilibrary.org/sites/entrepreneur_aag-2017-3-en/index.html?itemId=/content/component/entrepreneur_aag-2017-3-en","For use guidelines, please consult Organization for Economic Co-operation and Development (OECD) (http://www.oecd.org/termsandconditions/)",tc
tiva,Trade in Value Added,OECD - Trade in Value Added,http://www.oecd.org/sti/ind/measuringtradeinvalue-addedanoecd-wtojointinitiative.htm,Organization for Economic Co-operation and Development (OECD),http://www.oecd.org/termsandconditions/,"The goods and services we buy are composed of inputs from various countries around the world. However, the flows of goods and services within these global production chains are not always reflected in conventional measures of international trade.

The joint OECD – WTO Trade in Value-Added (TiVA) initiative addresses this issue by considering the value added by each country in the production of goods and services that are consumed worldwide. TiVA indicators are designed to better inform policy makers by providing new insights into the commercial relations between nations.","The 2016 edition of the TiVA database provides indicators for 63 economies covering OECD, EU28, G20, most East and South-east Asian economies and a selection of South American countries. 34 unique industrial sectors are represented, including 16 manufacturing and 14 services sectors, as well as related aggregates (such as total manufactures and total services). This edition is a ""light"" update of the 2015 version introducing two new countries, Morocco and Peru. Indicators are now provided for all years from 1995 to 2011.The industry list remains unchanged.

The indicators presented in the TiVA database provide insights into:
- Domestic and foreign value added content of gross exports by exporting industry
- Services content of gross exports by exporting industry, by type of service and value added origin
- Participation in GVCs via intermediate imports embodied in exports (backward linkages) and domestic value added in partners’ exports (forward linkages)
- 'Global orientation' of industrial activity i.e. share of industry valued added that meets foreign final demand
- Country and industry origins of value added in final demand, including the origin of value added in final consumption (by households and government) and in GFCF (investment by businesses)
- Bilateral trade relationships based on flows of value added embodied in domestic final demand
- Inter-regional and intra-regional relationships
- Domestic value added content of imports (NEW)

For more information, please refer to http://www.oecd.org/sti/ind/tiva/tivasourcesandmethods.htm","For use guidelines, please consult Organization for Economic Co-operation and Development (OECD) (http://www.oecd.org/termsandconditions/)",tc
IBP,International Budget Partnership Open Budget Index,International Budget Partnership Open Budget Index,http://survey.internationalbudget.org/,International Budget Partnership,http://www.internationalbudget.org/library/copyright/,"The Open Budget Survey (OBS) assesses the three components of a budget accountability system: public availability of budget information; opportunities for the public to participate in the budget process; and the role and effectiveness of formal oversight institutions, including the legislature and the national audit office (referred to here as the “supreme audit institution”). Most of the survey questions assess what occurs in practice, rather than what is required by law.","The results for each country in the OBS 2017 are based on a questionnaire, comprising 145 scored questions, that is completed by researchers typically based in the surveyed country. Almost all of the researchers responsible for completing the questionnaire are from civil society organizations or academic institutions. 

Although the mandates and areas of interest of the research groups vary widely, all have a common interest in promoting transparent and responsive budgeting practices in their countries. Most of the researchers belong to organizations with a significant focus on budget issues.

The sixth round of this biennial assessment, the 2017 survey evaluated 115 countries across six continents, adding 13 new countries to the survey since the last round in 2015.

Read more in https://www.internationalbudget.org/open-budget-survey/methodology/","These materials were developed by the International Budget Partnership. IBP has given us permission to use the materials solely for noncommercial, educational purposes.

Read more about the terms of use of this data in https://www.internationalbudget.org/library/copyright/",gv
IIAG,Ibrahim Index of African Governance,Ibrahim Index of African Governance,http://mo.ibrahim.foundation/iiag/downloads/,Mo Ibrahim Foundation,http://mo.ibrahim.foundation/iiag/downloads/,"The Mo Ibrahim Foundation (MIF) is an African foundation, established in 2006 with one focus: the critical importance of governance and leadership in Africa. The Foundation, which is a non-grant making organization, focuses on defining, assessing and enhancing governance and leadership in Africa through four main initiatives: Ibrahim Index of African Governance (IIAG), Ibrahim Forum, Ibrahim Prize for Achievement in African Leadership and Ibrahim Leadership Fellowships.","The 2017 IIAG Ibrahim Index of African Governance covers the entire continent, 54 countries. It consist of 100 indicartors built up into 4 categories: Safety & Rule of Law; Participation & Human Rights; Sustainable Economic Opportunity and Human Development. It includes four data types from 36 different sources: Qualitative Assessment, Opinion Surveys, Official Data and Public Attitude Survey. Read more about the methodology in http://s.mo.ibrahim.foundation/u/2017/11/21132846/2017-IIAG-Methodology_short.pdf?_ga=2.212874012.901470283.1523564977-257236415.1522862693","The Mo Ibrahim Foundation (MIF) is committed to making data on the quality of governance in Africa freely available and accessible to all citizens of the continent and interested stakeholders. We welcome and encourage any accurate reproduction, translation and dissemination of this material. ",gv
ILO,International Labor Organization,International Labor Organization,http://www.ilo.org/global/statistics-and-databases/lang--en/index.htm,International Labor Organization (ILO),http://www.ilo.org/global/copyright/lang--en/index.htm,"The International Labour Organization is the only tripartite U.N. agency. It brings together governments, employers and workers of 187 members States, to set labour standards, develop policies and devise programmes promoting decent work for all women and men. The ILO aims to ensure that it serves the needs of working women and men by bringing together governments, employers and workers to set labour standards, develop policies and devise programmes.","Labour statistics comprise statistics from a wide range of labour-related topics and can be derived from a variety of sources. The characteristics of the statistical source determine how reliable, comparable and representative labour statistics and labour indicators (summary measures representing labour statistics related to a specific topic) are. See the following link for more information about the methodology http://www.ilo.org/wcmsp5/groups/public/---dgreports/---stat/documents/publication/wcms_590092.pdf ",Data from the International Labor Organization. Read more about the terms of use of this data in http://www.ilo.org/global/copyright/request-for-permission/lang--en/index.htm ,gv
GII,Global Innovation Index,The Global Innovation Index,https://www.globalinnovationindex.org/analysis-indicator,The Global Innovation Index,https://www.globalinnovationindex.org/terms-conditions#tnc," The Global Innovation Index (GII) aims to capture the multi-dimensional facets of innovation and provide the tools that can assist in tailoring policies to promote long-term output growth, improved productivity, and job growth. The GII helps to create an environment in which innovation factors are continually evaluated. It provides a key tool and a rich database of detailed metrics for economies, which in 2017 encompasses 127 economies, representing 92.5% of the world’s population and 97.6% of global GDP.

The Global Innovation Index 2017 (GII), in its 10th edition this year, continues to be co-published by Cornell University, INSEAD, and the World Intellectual Property Organization (WIPO, an agency of the United Nations). The core of the GII Report consists of a ranking of world economies’ innovation capabilities and results. Over the last ten years, the GII has established itself as a leading reference on innovation. Understanding in more detail the human aspects behind innovation is essential for the design of policies that help promote economic development and richer innovation-prone environments locally. Recognizing the key role of innovation as a driver of economic growth and prosperity, and the need for a broad horizontal vision of innovation applicable to developed and emerging economies, the GII includes indicators that go beyond the traditional measures of innovation such as the level of research and development."," The Global Innovation Index (GII) is an evolving project that builds on its previous editions while incorporating newly available data and that is inspired by the latest research on the measurement of innovation. The GII relies on two sub-indices—the Innovation Input Sub-Index and the Innovation Output Sub-Index—each built around key pillars.

Five input pillars capture elements of the national economy that enable innovative activities: (1) Institutions, (2) Human capital and research, (3) Infrastructure, (4) Market sophistication, and (5) Business sophistication. Two output pillars capture actual evidence of innovation outputs: (6) Knowledge and technology outputs and (7) Creative outputs.

Each pillar is divided into sub-pillars and each sub-pillar is composed of individual indicators (81 in total in 2017). Sub-pillar scores are calculated as the weighted average of individual indicators; pillar scores are calculated as the weighted average of sub-pillar scores.

Four measures are then calculated:
1. Innovation Input Sub-Index: is the simple average of the first five pillar scores
2. Innovation Output Sub-Index is the simple average of the last two pillar scores
3. The overall GII score is the simple average of the Input and Output Sub-Indices
4. The Innovation Efficiency Ratio is the ratio of the Output Sub-Index over the Input Sub-Index

The GII gathers data from more than 30 sources, covering a large spectrum of innovation drivers and results; privileging hard data over qualitative assessments (only five survey questions were included in the GII 2017)

The framework is revised every year in a transparent exercise to improve the way innovation is measured. For more on the latest updates to the framework, see https://www.globalinnovationindex.org/about-gii#framework","For use guidelines, please consult The Global Innovation Index (https://www.globalinnovationindex.org/terms-conditions#tnc)",tc
IPD,Institutional Profiles Database,Institutional Profiles Database,http://www.cepii.fr/institutions/EN/ipd.asp,Directorate General of the Treasury (DG Trésor),http://www.cepii.fr/institutions/EN/ipd.asp,"The ""Institutional Profiles Database"" (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. It aims to quantifying countries’ institutional characteristics by gathering the perception of experts through a questionnaire. 

It covers 144 countries and contains 127 indicators, derived from 320 variables describing a broad range of institutional characteristics, structured in nine functions: 1) political institutions; 2) security, law and order, control of violence; 3) functioning of public administrations; 4) free operation of markets; 5) coordination of stakeholders, strategic vision and innovation; 6) security of transactions and contracts; 7) market regulation, social dialogue; 8) openness; 9) social cohesion and social mobility.","The IPD questionnaire contains around 330 questions designed to gather data in order to compute 130 indicators. It was sent to the MEF country and regional Economic Services (Services conomiques) covering approximately 143 countries (depending on the year) and the network of AFD’s country offices that have a presence in 48 of those 143 countries. To complete the questionnaire, the Economic Services and AFD’s offices used their own knowledge and also called upon local expertise.

Respondents could choose from five options, ranging from 0 (minimum score) to 4 (maximum score). By their very nature, perception data are subjective. Consequently, those data may not represent the true situation within a country, for example where the experts/respondents are subject to ‘perception bias’. Various precautions were taken when processing the responses to the survey. Read more about the methodology in http://www.cepii.fr/institutions/doc/IPD_2012_cahiers-2013-03_EN.pdf","The data provided and any research based on those data shall in no way be deemed to reflect the official positions or incur the responsibility of the AFD, the CEPII or the MEF. Furthermore, these bodies hereby disclaim any or all liability for the consequences of any anomalies or errors remaining in the database.

These indicators are made available for academic research purposes and more specifically to explore the relationship between institutions and development. They are not intended for operational uses (e.g. to allocate resources). The data in the base should be analyzed as a whole in the multidimensional and multi-country approach. Attempts to make use of the indicators individually would be statistically and conceptually problematic.",gv
IPU,"Inter-Parliamentary Union - Parline Database, Women in Politics Database","Inter-Parliamentary Union - Parline Database, Women in Politics Database",http://www.ipu.org/wmn-e/classif-arc.htm,Inter-Parliamentary Union,http://www.ipu.org/parline-e/aboutparline.htm,"IPU is the Inter-Parlamentary Union, an unique organization made up of national parliaments from around the world.  They protect and build global democracy through political dialogue and concrete action. They currently have 178 Member Parliaments and 12 Associate Members. They also work closely with the United Nations and other partner organizations. More than 6.5 billion of the world’s 7 billion people live in states whose parliaments are members of the IPU. By bringing parliaments together, they bring people together.","PARLINE (derived from PARliaments onLINE), is the IPU's database on national parliaments. It contains authoritative information on the structure and working methods of every national parliament. Each parliamentary chamber has a separate entry in PARLINE and there are up to 8 information modules: General Information, Electoral System, Last Elections, Election Archives, Presidency of the Parliament, Parliamentary Mandate, Parliamentary Oversight, and Specialized Bodies.

The primary source of data is parliaments themselves. Every IPU member parliament has a correspondent who is responsible for providing information on changes and updates to the IPU Secretariat. Additional information is gathered from other sources, including national electoral commissions and the media, and is regularly cross-checked with parliament.

Read more about the methodology in http://archive.ipu.org/parline-e/aboutparline.htm#6",,gv
unctadstat,United Nations Conference on Trade and Development Statistics,United Nations Conference on Trade and Development Statistics,http://unctadstat.unctad.org/wds/ReportFolders/reportFolders.aspx?sCS_ChosenLang=en,United Nations,http://unctadstat.unctad.org/EN/FAQ.html,"UNCTAD produces more than 150 indicators and statistical time series essential for the analysis of: International trade, economic trends, foreign direct investment, external financial resources, population and labor force, commodities, information economy, creative economy and maritime transport. ","The sources are cited in the Table Summary info. Additional information and notes on particular tables can be found by clicking on info in the table headings, dimensions or items. The methodology is described in the summaries that can be opened by clicking on info as well as other useful information regarding the data.

In the exports and imports tables, the Economy refers to reporting entity and Partner refers to its trading country. Please note that exports and imports are asymmetrical (due to various limitations on the compilation methodology). 

In case of change in the statistical coverage of a country, it is identified by adding an end year after the country name. For example, Indonesia(…2002) indicates that the statistical coverage of Indonesia, including Timor-Leste, was valid until 2002. 

For more information, please see http://unctadstat.unctad.org/EN/FAQ.html","All data and metadata provided on UNCTADstat may be copied freely, duplicated and further distributed provided that they are not put up for sale or otherwise commercially exploited and that UNCTADstat is cited as the source. For any re-dissemination of UNCTADstat data and metadata for commercial use, please send the request in writing to the Secretary of the Publication Board (permissions@un.org). 

For use guidelines, please consult United Nations (http://unctadstat.unctad.org/EN/FAQ.html)",tc
UNCTAD Cyberlaw Tracker,UNCTAD Cyberlaw Tracker,UNCTAD Cyberlaw Tracker,http://unctad.org/en/Pages/DTL/STI_and_ICTs/ICT4D-Legislation/eCom-Global-Legislation.aspx,United Nations,http://unctad.org/en/Pages/Copyright-notice.aspx,"The UNCTAD Global Cyberlaw Tracker is the first ever global mapping of cyberlaws. It tracks the state of e-commerce legislation in the field of e-transactions, consumer protection, data protection/privacy and cybercrime adoption in the 194 UNCTAD member states. It indicates whether or not a given country has adopted legislation, or has a draft law pending adoption. In some instances where information about a country's legislation adoption was not readily available, 'no data' is indicated.","Data was collected through UNCTAD research as well as contributions by its partners, including the Commonwealth Secretariat, the Council of Europe, the International Telecommunication Union, United Nations Commission on International Trade Law, United Nations Economic and Social Commission for West Africa and the United Nations Office on Drugs and Crime and the World Bank. UNCTAD's focus in mapping the global legal e-commerce landscape has been on primary legislation.
The UNCTAD Secretariat would like to express its appreciation to Professor Graham Greenleaf and Professor Stephen Mason for making freely available their global databases on global data protection/privacy laws and e-transactions laws respectively.

The Global Cyberlaw Tracker will be updated periodically and the information found on it is all publicly available.","The material contained on the Cyberlaw Tracker pages may be freely quoted and used with appropriate acknowledgement.

For use guidelines, please consult United Nations (http://unctad.org/en/Pages/Copyright-notice.aspx)",tc
UNCTAD,United Nations Conference on Trade and Development,United Nations Conference on Trade and Development,http://unctadstat.unctad.org/wds/ReportFolders/reportFolders.aspx?sCS_ChosenLang=en,United Nations,http://unctad.org/en/Pages/Copyright-notice.aspx,"UNCTAD produces more than 150 indicators and statistical time series essential for the analysis of: International trade, economic trends, foreign direct investment, external financial resources, population and labor force, commodities, information economy, creative economy and maritime transport. ","The sources are cited in the Table Summary info. Additional information and notes on particular tables can be found by clicking on info in the table headings, dimensions or items. The methodology is described in the summaries that can be opened by clicking on info as well as other useful information regarding the data.

In the exports and imports tables, the Economy refers to reporting entity and Partner refers to its trading country. Please note that exports and imports are asymmetrical (due to various limitations on the compilation methodology). 

In case of change in the statistical coverage of a country, it is identified by adding an end year after the country name. For example, Indonesia(…2002) indicates that the statistical coverage of Indonesia, including Timor-Leste, was valid until 2002. 

For more information, please see http://unctadstat.unctad.org/EN/FAQ.html","All data and metadata provided on UNCTADstat may be copied freely, duplicated and further distributed provided that they are not put up for sale or otherwise commercially exploited and that UNCTADstat is cited as the source. For any re-dissemination of UNCTADstat data and metadata for commercial use, please send the request in writing to the Secretary of the Publication Board (permissions@un.org). 

For use guidelines, please consult United Nations (http://unctadstat.unctad.org/EN/FAQ.html)",tc
competitive_industrial_performance,Competitive Industrial Performance Index,UNIDO - Competitive Industrial Performance Index,http://www.unido.org/data1/Statistics/Research/cip.html,United Nations Industrial Development Organization,http://www.unido.org/legal.html,"The Competitive Industrial Performance (CIP) index considers countries’ productive capacity, intensity of industrialization and impact on the world market as major components ofindustrial performance. The primary data source for the compilation of the CIP indexis UNIDO’s database based on an underlying quality assurance framework for international comparability.

CIP index values represent a composite measure of a country’s competitive industrial performance. The CIP index can be interpreted in time-series and across countries. A positive change in the CIP value of a given country over time indicates increased productive capacity and improved quality of products with a better chance of realization in international markets. A comparison of the CIP across countries indicates the comparative advantage of one economy over others.","The CIP’s major distinction relates to its sector perspective. Industrial competitiveness is defined as the capacity of countries to increase their presence in international and domestic markets whilst developing industrial sectors and activities with higher value added and technological content (UNIDO, 2012). Industrial competitiveness necessitates innovation, technological sophistication, developed infrastructure and effective industrial policy directed at exploiting comparative advantage. CIP is based on output measures and thus captures a country’s production performance.

Another important feature is that the CIP is fully based on statistical measures. While the uniformity of the computation methods and classification standards ensures the international comparability of statistical data, respondents’ business perceptions are difficult to harmonize. Perception indicators are based on the respondent’s individual understanding and are influenced by the time and context of the interview.  As a performance indicator, CIP reflects a country’s productivity, structural change and competitiveness. These concepts are taken as a departure point for the selection of indicators under the three major dimensions of the CIP. 

Subsequently, the major part of the consistency check and imputation process is completed before the construction of the CIP. Nevertheless, the CIP as a composite measure requires figures to be available for all indicators in the given timeframe for target countries. To avoid the exclusion of a country due to missing data, additional imputation may also be necessary. After defining the indicators, the CIP index is constructed based on a standard data transformation process for the composite measure which involves the imputation of missing data, outlier cleaning and normalization. The purpose of normalization is to obtain a common measure from indicators with a value in varying scales. The CIP index follows the Min-Max normalization process, which is particularly useful for obtaining harmonized scores between 0 to 1.

Following normalization of each indicator, the best performing country is assigned a value of 1 and the weakest performing country is assigned a value of 0. The composite measure is subsequently calculated from the individual scores. At this stage, two methodological options are available – weighting and aggregation. The general idea is to distribute equal weights to all indicators and to maintain the balance of the three dimensions. With respect to aggregation, the choice is based on the assumption that indicators are substitutable, i.e. poor performance of one indicator can be compensated for by higher values of other indicators. Aggregation using geometric means limits such compensation to some extent, and thus higher values for all indicators are necessary to achieve an improved CIP.

For more information on the CIP methodology, please see https://unstats.un.org/unsd/ccsa/isi/2013/Paper-UNIDO.pdf","For use guidelines, please consult United Nations Industrial Development Organization (http://www.unido.org/legal.html)",tc
UPU,Universal Postal Union,Universal Postal Union,http://www.upu.int/en/resources/postal-statistics/query-the-database.html,Universal Postal Union,http://www.upu.int/en/more/copyright.html,The International Bureau of the UPU has published postal statistics regularly since the first edition in 1875. It thus holds the oldest records of international statistics collected by an international organization. These statistics have been amended and improved to meet as closely as possible the postal sector's expectations and need for information.,"The aim of these postal statistics, in addition to providing a single source of information on data, is to serve as an analytical working tool at both the international and national level. At the international level, the data make it possible to deduce general trends in postal traffic and the means used to handle this traffic. At the national level, data can be used by posts to effectively manage and plan their services.

The UPU's statistical database provides a dynamic overview of postal development in each country. It contains data from over 200 countries or territories and includes approximately 100 indicators of postal development, grouped in 12 chapters. The data is collected annually from all UPU member countries and published in the Postal Statistics Yearbook.","For use guidelines, please consult Universal Postal Union (http://www.upu.int/en/more/copyright.html)",tc
LATIN,Latinobarometro,Latinobarometro,http://www.latinobarometro.org/latContents.jsp,Latinobarometro,http://www.latinobarometro.org/latContents.jsp,,,,gv
escap,ESCAP,ESCAP,http://data.worldbank.org/data-catalog/trade-costs-dataset,World Bank Group,http://www.worldbank.org/terms-datasets,"The Trade Costs Dataset provides estimates of bilateral trade costs in agriculture and manufactured goods for the 1995-2015 period. It is built on trade and production data collected in 178 countries. Symmetric bilateral trade costs are computed using the Inverse Gravity Framework (Nov. 2009), which estimates trade costs for each country pair using bilateral trade and gross national output. Trade costs are available for two sectors: trade in manufactured goods, and agriculture. Energy is excluded.

This is a joint project between the World Bank International Trade Department and the Trade Division at the UNESCAP. ","The ESCAP Trade, Investment and Innovation Division, in support to the ARTNeT research programme on trade facilitation, initiated development of a bilateral trade cost database in 2010 in an effort to increase understanding of the cost of trading between countries in Asia and the Pacific and beyond. The trade cost measure, based on Novy (2012), is a comprehensive all-inclusive measure based on micro-theory and calculated using macro-economic data, providing an alternative measure of trade facilitation performance. Following release of a first version of the database in 2010 using trade and GDP data, an improved and expanded version 2 was released in December 2011 - based on gross output data and providing sectoral trade cost estimates for about 100 countries.

In late 2011, United Nations ESCAP and the World Bank (WB) joined hands to develop a common standard methodology for calculating comprehensive international trade costs and provide the research and policy community with a global reference. The current version includes data from 1995 to 2015 for over 180 countries.","For use guidelines, please consult World Bank Group (http://www.worldbank.org/terms-datasets)

This dataset is classified as Public under the Access to Information Classification Policy. Users inside and outside the Bank can access this dataset. This dataset is licensed under CC-BY 4.0.",tc
investing_across_borders,Investing Across Borders,WBG - Investing Across Borders,http://iab.worldbank.org,World Bank Group,http://www.worldbank.org/terms-datasets,"Investing Across Borders is a World Bank Group initiative comparing regulation of foreign direct investment around the world. It presents quantitative indicators on economies' laws, regulations, and practices affecting how foreign companies invest across sectors, start businesses, access industrial land, and arbitrate commercial disputes.","The Investing Across Borders (IAB) indicators assess laws, regulations, and practices that affect foreign direct investment (FDI). The project’s methodology is based on that of the World Bank Group’s Doing Business project. The indicators highlight differences among countries in their regulatory treatment of FDI to identify good practices, facilitate learning opportunities, stimulate reforms, and provide annual cross-country data for research and analysis.

The indicators are based on a survey of lawyers, professional service providers (mainly accounting and consulting firms), investment promotion institutions, chambers of commerce, law professors, and other expert respondents in the countries covered. For the IAB 2010 report, more than 2,350 respondents were surveyed in 87 economies (27 per country, on average) between April and December 2009. For the updated 2012 data, about 3,500 respondents were surveyed in 104 economies between November 2011 and April 2012. The list of all respondents is available in the contributors section. 

For more information on the methodology, please see http://iab.worldbank.org/methodology","For use guidelines, please consult World Bank Group (http://www.worldbank.org/terms-datasets)",tc
