"","indicator","Indicator_Id","Indicator_Name","answer","Display_Name","Dataset","Category_15","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"14","Effective power to govern-BTI-Total","64-BTI-Total","Q2.2 ","Total","Effective power to govern","BTI",NA,"Score","Score","Index",5.122,"Public Sector Management","Administrative and Policymaking capacity","Other","Effective power to govern",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI31","BTI31","GOV","64-BTI-Total",NA
"15","Effective use of support-BTI-Total","4-BTI-Total","Q17.1 ","Total","Effective use of support","BTI",NA,"Score","Score","Index",4.43,"Public Sector Management","Administrative and Policymaking capacity","Other","Effective use of support",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI32","BTI32","GOV","4-BTI-Total",NA
"16","Efficient use of assets-BTI-Total","14-BTI-Total","Q15.1 ","Total","Efficient use of assets","BTI",NA,"Score","Score","Index",3.01,"Public Sector Management","Public Expenditure Management","Other","Efficient use of assets",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI33","BTI33","GOV","14-BTI-Total",NA
"17","Environmental policy-BTI-Total","29-BTI-Total","Q12.1 ","Total","Environmental policy","BTI",NA,"Score","Score","Index",4.404,"Public Sector Management","Administrative and Policymaking capacity","Other","Environmental policy",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI34","BTI34","GOV","29-BTI-Total",NA
"18","Equal opportunity-BTI-Total","33-BTI-Total","Q10.2 ","Total","Equal opportunity","BTI",NA,"Score","Score","Index",3.03,"General Governance","Overall Governance","Other","Equal opportunity",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI35","BTI35","GOV","33-BTI-Total",NA
"19","Free and fair elections-BTI-Total","65-BTI-Total","Q2.1 ","Total","Free and fair elections","BTI",NA,"Score","Score","Index",2.01,"Political Accountability","Elections","Other","Free and fair elections",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI37","BTI37","GOV","65-BTI-Total",NA
"20","Freedom of expression-BTI-Total","62-BTI-Total","Q2.4 ","Total","Freedom of expression","BTI",NA,"Score","Score","Index",3.06,"Citizen Engagement","Freedom of expression","Other","Freedom of expression",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI38","BTI38","GOV","62-BTI-Total",NA
"21","Independent judiciary-BTI-Total","59-BTI-Total","Q3.2 ","Total","Independent judiciary","BTI",NA,"Score","Score","Index",1.01,"Checks and Balances","Judiciary System","Other","Independent judiciary",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI41","BTI41","GOV","59-BTI-Total",NA
"22","Interest groups-BTI-Total","51-BTI-Total","Q5.2 ","Total","Interest groups","BTI",NA,"Score","Score","Index",4.218,"Citizen Engagement","Civil Society Participation","Other","Interest groups",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI42","BTI42","GOV","51-BTI-Total",NA
"23","International Cooperation-BTI-Total","5-BTI-Total","Q17 ","Total","International Cooperation","BTI",NA,"Score","Score","Index",4.229,"Public Sector Management","Administrative and Policymaking capacity","Other","International Cooperation",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI43","BTI43","GOV","5-BTI-Total",NA
"24","Monopoly on the use of force-BTI-Total","70-BTI-Total","Q1.1 ","Total","Monopoly on the use of force","BTI",NA,"Score","Score","Index",3.04,"Security","Police and Military","Other","Monopoly on the use of force",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI58","BTI58","GOV","70-BTI-Total",NA
"25","No interference of religious dogmas-BTI-Total","68-BTI-Total","Q1.3 ","Total","No interference of religious dogmas","BTI",NA,"Score","Score","Index",4.298,"Citizen Engagement","Freedom of expression","Other","No interference of religious dogmas",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI59","BTI59","GOV","68-BTI-Total",NA
"26","Organization of the Market and Competition-BTI-Total","46-BTI-Total","Q7 ","Total","Organization of the Market and Competition","BTI",NA,"Score","Score","Index",4.31,"Private Sector Interface","Regulation of entry and exit","Other","Organization of the Market and Competition",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI60","BTI60","GOV","46-BTI-Total",NA
"27","Party system-BTI-Total","52-BTI-Total","Q5.1 ","Total","Party system","BTI",NA,"Score","Score","Index",2.04,"Political Accountability","Political Parties","Other","Party system",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI62","BTI62","GOV","52-BTI-Total",NA
"28","Performance of democratic institutions-BTI-Total","55-BTI-Total","Q4.1 ","Total","Performance of democratic institutions","BTI",NA,"Score","Score","Index",3.06,"General Governance","Overall Governance","Other","Performance of democratic institutions",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI63","BTI63","GOV","55-BTI-Total",NA
"29","Policy coordination-BTI-Total","13-BTI-Total","Q15.2 ","Total","Policy coordination","BTI",NA,"Score","Score","Index",4.408,"Public Sector Management","Administrative and Policymaking capacity","Other","Policy coordination",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI64","BTI64","GOV","13-BTI-Total",NA
"30","Policy learning-BTI-Total","16-BTI-Total","Q14.3 ","Total","Policy learning","BTI",NA,"Score","Score","Index",4.245,"Public Sector Management","Administrative and Policymaking capacity","Other","Policy learning",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI65","BTI65","GOV","16-BTI-Total",NA
"31","Political and Social Integration-BTI-Total","53-BTI-Total","Q5 ","Total","Political and Social Integration","BTI",NA,"Score","Score","Index",3.04,"General Governance","Overall Governance","Other","Political and Social Integration",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI67","BTI67","GOV","53-BTI-Total",NA
"32","Political Participation-BTI-Total","66-BTI-Total","Q2 ","Total","Political Participation","BTI",NA,"Score","Score","Index",1.01,"Political Accountability","Political Parties","Other","Political Participation",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI66","BTI66","GOV","66-BTI-Total",NA
"33","Private Property-BTI-Total","38-BTI-Total","Q9 ","Total","Private Property","BTI",NA,"Score","Score","Index",4.527,"Private Sector Interface","Property rights and contracts","Other","Private Property",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI69","BTI69","GOV","38-BTI-Total",NA
"34","Prosecution of office abuse-BTI-Total","58-BTI-Total","Q3.3 ","Total","Prosecution of office abuse","BTI",NA,"Score","Score","Index",1.02,"Checks and Balances","Judiciary System","Other","Prosecution of office abuse",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI72","BTI72","GOV","58-BTI-Total",NA
"35","Regional cooperation-BTI-Total","2-BTI-Total","Q17.3 ","Total","Regional cooperation","BTI",NA,"Score","Score","Index",4.734,"Public Sector Management","Administrative and Policymaking capacity","Other","Regional cooperation",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI76","BTI76","GOV","2-BTI-Total",NA
"36","Resource Efficiency-BTI-Total","15-BTI-Total","Q15 ","Total","Resource Efficiency","BTI",NA,"Score","Score","Index",4.064,"Public Sector Management","Public Expenditure Management","Other","Resource Efficiency",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI77","BTI77","GOV","15-BTI-Total",NA
"37","Separation of powers-BTI-Total","60-BTI-Total","Q3.1 ","Total","Separation of powers","BTI",NA,"Score","Score","Index",2.01,"Checks and Balances","Judiciary System","Other","Separation of powers","1.02","Checks and Balances","Legislative System","Other","Separation of powers",NA,NA,NA,NA,NA,NA,"BTI84","BTI84","GOV","60-BTI-Total",NA
"38","Social capital-BTI-Total","49-BTI-Total","Q5.4 ","Total","Social capital","BTI",NA,"Score","Score","Index",2.04,"Trust","Trust in Government","Other","Social capital",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI85","BTI85","GOV","49-BTI-Total",NA
"39","Social safety nets-BTI-Total","34-BTI-Total","Q10.1 ","Total","Social safety nets","BTI",NA,"Score","Score","Index",4.439,"Public Sector Management","Administrative and Policymaking capacity","Other","Social safety nets",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI86","BTI86","GOV","34-BTI-Total",NA
"40","Socioeconomic barriers-BTI-Total","47-BTI-Total","Q6.1 ","Total","Socioeconomic barriers","BTI",NA,"Score","Score","Index",4.263,"Citizen Engagement","Civil Society Participation","Other","Socioeconomic barriers",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI87","BTI87","GOV","47-BTI-Total",NA
"41","Stability of Democratic Institutions-BTI-Total","56-BTI-Total","Q4 ","Total","Stability of Democratic Institutions","BTI",NA,"Score","Score","Index",3.07,"General Governance","Overall Governance","Other","Stability of Democratic Institutions",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI88","BTI88","GOV","56-BTI-Total",NA
"42","State identity-BTI-Total","69-BTI-Total","Q1.2 ","Total","State identity","BTI",NA,"Score","Score","Index",2.05,"Trust","Trust in Government","Other","State identity",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI89","BTI89","GOV","69-BTI-Total",NA
"43","Steering Capability-BTI-Total","19-BTI-Total","Q14 ","Total","Steering Capability","BTI",NA,"Score","Score","Index",4.558,"Public Sector Management","Administrative and Policymaking capacity","Other","Steering Capability",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI92","BTI92","GOV","19-BTI-Total",NA
"44","Structural constraints-BTI-Total","26-BTI-Total","Q13.1 ","Total","Structural constraints","BTI",NA,"Score","Score","Index",5.099,"Public Sector Management","Administrative and Policymaking capacity","Other","Structural constraints",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI93","BTI93","GOV","26-BTI-Total",NA
"45","Welfare Regime-BTI-Total","35-BTI-Total","Q10 ","Total","Welfare Regime","BTI",NA,"Score","Score","Index",5.034,"Public Sector Management","Administrative and Policymaking capacity","Other","Welfare Regime",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI99","BTI99","GOV","35-BTI-Total",NA
"46","dealing with construction permits liability and insurance regimes-DB-Total","105-DB-Total","Dealing with Construction Permits Liability and insurance regimes","Total","Dealing with Construction Permits Liability and insurance regimes","DB",NA,"0-2","0-2","index",4.426,"Private Sector Interface","Property rights and contracts","Other","Dealing with Construction Permits Liability and insurance regimes","4.247","Private Sector Interface","Permits and Licenses","Other","Dealing with Construction Permits Liability and insurance regimes",NA,"4.214","Private Sector Interface","Regulation of entry and exit","Other","Dealing with Construction Permits Liability and insurance regimes","DB3","DB3","GOV","105-DB-Total",NA
"47","dealing with construction permits professional certifications-DB-Total","104-DB-Total","Dealing with Construction Permits Professional certifications","Total","Dealing with Construction Permits Professional certifications","DB",NA,"0-4","0-4","index",4.254,"Private Sector Interface","Property rights and contracts","Other","Dealing with Construction Permits Professional certifications","4.129","Private Sector Interface","Permits and Licenses","Other","Dealing with Construction Permits Professional certifications",NA,"4.3","Private Sector Interface","Regulation of entry and exit","Other","Dealing with Construction Permits Professional certifications","DB5","DB5","GOV","104-DB-Total",NA
"48","dealing with construction permits quality control after construction-DB-Total","106-DB-Total","Dealing with Construction Permits Quality control after construction","Total","Dealing with Construction Permits Quality control after construction","DB",NA,"0-3","0-3","index",4.28,"Private Sector Interface","Property rights and contracts","Other","Dealing with Construction Permits Quality control after construction","4.029","Private Sector Interface","Permits and Licenses","Other","Dealing with Construction Permits Quality control after construction",NA,"4.289","Private Sector Interface","Regulation of entry and exit","Other","Dealing with Construction Permits Quality control after construction","DB6","DB6","GOV","106-DB-Total",NA
"49","dealing with construction permits quality control before construction-DB-Total","108-DB-Total","Dealing with Construction Permits Quality control before construction","Total","Dealing with Construction Permits Quality control before construction","DB",NA,"0-1","0-1","index",4.238,"Private Sector Interface","Property rights and contracts","Other","Dealing with Construction Permits Quality control before construction","4.277","Private Sector Interface","Permits and Licenses","Other","Dealing with Construction Permits Quality control before construction",NA,"4.056","Private Sector Interface","Regulation of entry and exit","Other","Dealing with Construction Permits Quality control before construction","DB7","DB7","GOV","108-DB-Total",NA
"50","dealing with construction permits quality control during construction-DB-Total","107-DB-Total","Dealing with Construction Permits Quality control during construction","Total","Dealing with Construction Permits Quality control during construction","DB",NA,"0-3","0-3","index",4.386,"Private Sector Interface","Property rights and contracts","Other","Dealing with Construction Permits Quality control during construction","4.05","Private Sector Interface","Permits and Licenses","Other","Dealing with Construction Permits Quality control during construction",NA,"4.139","Private Sector Interface","Regulation of entry and exit","Other","Dealing with Construction Permits Quality control during construction","DB8","DB8","GOV","107-DB-Total",NA
"51","dealing with construction permits quality of building regulations-DB-Total","109-DB-Total","Dealing with Construction Permits Quality of building regulations","Total","Dealing with Construction Permits Quality of building regulations","DB",NA,"Total","Total","Value",4.057,"Private Sector Interface","Property rights and contracts","Other","Dealing with Construction Permits Quality of building regulations index","4.305","Private Sector Interface","Permits and Licenses","Other","Dealing with Construction Permits Quality of building regulations index",NA,"4.353","Private Sector Interface","Regulation of entry and exit","Other","Dealing with Construction Permits Quality of building regulations index","DB9","DB9","GOV","109-DB-Total",NA
"52","getting credit depth of credit information-DB-Total","74-DB-Total","Getting Credit Depth of credit information","Total","Getting Credit Depth of credit information","DB",NA,"0-6","0-6","index",4.227,"Private Sector Interface","Property rights and contracts","Other","Getting Credit: Depth of credit information old methodology","4.214","Private Sector Interface","Permits and Licenses","Other","Getting Credit: Depth of credit information old methodology",NA,"4.284","Private Sector Interface","Regulation of entry and exit","Other","Getting Credit: Depth of credit information old methodology","DB20","DB20","GOV","74-DB-Total",NA
"53","getting credit strength of legal rights-DB-Total","75-DB-Total","Getting Credit Strength of legal rights","Total","Getting Credit Strength of legal rights","DB",NA,"0-10","0-10","index",4.325,"Private Sector Interface","Property rights and contracts","Other","Getting Credit: Strength of legal rights old methodology","4.187","Private Sector Interface","Permits and Licenses","Other","Getting Credit: Strength of legal rights old methodology",NA,"4.06","Private Sector Interface","Regulation of entry and exit","Other","Getting Credit: Strength of legal rights old methodology","DB22","DB22","GOV","75-DB-Total",NA
"54","getting electricity communication of tariffs and tariff changes-DB-Total","89-DB-Total","Getting Electricity Communication of tariffs and tariff changes","Total","Getting Electricity Communication of tariffs and tariff changes","DB",NA,"0-1","0-1","Value",4.356,"Private Sector Interface","Property rights and contracts","Other","Getting Electricity: Communication of tariffs and tariff changes","4.117","Private Sector Interface","Permits and Licenses","Other","Getting Electricity: Communication of tariffs and tariff changes",NA,"4.057","Private Sector Interface","Regulation of entry and exit","Other","Getting Electricity: Communication of tariffs and tariff changes","DB26","DB26","GOV","89-DB-Total",NA
"55","getting electricity financial deterrents aimed at limiting outages-DB-Total","90-DB-Total","Getting Electricity Financial deterrents aimed at limiting outages","Total","Getting Electricity Financial deterrents aimed at limiting outages","DB",NA,"0-1","0-1","Value",4.239,"Private Sector Interface","Property rights and contracts","Other","Getting Electricity: Financial deterrents aimed at limiting outages","4.045","Private Sector Interface","Permits and Licenses","Other","Getting Electricity: Financial deterrents aimed at limiting outages",NA,"4.229","Private Sector Interface","Regulation of entry and exit","Other","Getting Electricity: Financial deterrents aimed at limiting outages","DB28","DB28","GOV","90-DB-Total",NA
"56","getting electricity mechanisms for monitoring outages-DB-Total","93-DB-Total","Getting Electricity Mechanisms for monitoring outages","Total","Getting Electricity Mechanisms for monitoring outages","DB",NA,"0-1","0-1","Value",4.348,"Private Sector Interface","Property rights and contracts","Other","Getting Electricity: Mechanisms for monitoring outages","4.266","Private Sector Interface","Permits and Licenses","Other","Getting Electricity: Mechanisms for monitoring outages",NA,"4.118","Private Sector Interface","Regulation of entry and exit","Other","Getting Electricity: Mechanisms for monitoring outages","DB29","DB29","GOV","93-DB-Total",NA
"57","getting electricity mechanisms for restoring service-DB-Total","92-DB-Total","Getting Electricity Mechanisms for restoring service","Total","Getting Electricity Mechanisms for restoring service","DB",NA,"0-1","0-1","Value",4.294,"Private Sector Interface","Property rights and contracts","Other","Getting Electricity: Mechanisms for restoring service","4.044","Private Sector Interface","Permits and Licenses","Other","Getting Electricity: Mechanisms for restoring service",NA,"4.145","Private Sector Interface","Regulation of entry and exit","Other","Getting Electricity: Mechanisms for restoring service","DB30","DB30","GOV","92-DB-Total",NA
"58","getting electricity regulatory monitoring-DB-Total","91-DB-Total","Getting Electricity Regulatory monitoring","Total","Getting Electricity Regulatory monitoring","DB",NA,"0-1","0-1","Value",4.535,"Private Sector Interface","Property rights and contracts","Other","Getting Electricity: Regulatory monitoring","4.281","Private Sector Interface","Permits and Licenses","Other","Getting Electricity: Regulatory monitoring",NA,"4.238","Private Sector Interface","Regulation of entry and exit","Other","Getting Electricity: Regulatory monitoring","DB33","DB33","GOV","91-DB-Total",NA
"59","getting electricity total duration and frequency of outages per customer a year-DB-Total","97-DB-Total","Getting Electricity Total duration and frequency of outages per customer a year","Total","Getting Electricity Total duration and frequency of outages per customer a year","DB",NA,"0-3","0-3","Value",4.013,"Private Sector Interface","Property rights and contracts","Other","Getting Electricity: Total duration and frequency of outages per customer a year","4.307","Private Sector Interface","Permits and Licenses","Other","Getting Electricity: Total duration and frequency of outages per customer a year",NA,"4.215","Private Sector Interface","Regulation of entry and exit","Other","Getting Electricity: Total duration and frequency of outages per customer a year","DB36","DB36","GOV","97-DB-Total",NA
"60","paying taxes time hours per year-DB-Total","55-DB-Total","Paying Taxes Time hours per year","Total","Paying Taxes Time hours per year","DB",NA,"Total","Total","hours",4.459,"Private Sector Interface","Property rights and contracts","Other","Paying Taxes: Time hours per year","4.28","Private Sector Interface","Permits and Licenses","Other","Paying Taxes: Time hours per year",NA,"4.04","Private Sector Interface","Regulation of entry and exit","Other","Paying Taxes: Time hours per year","DB45","DB45","GOV","55-DB-Total",NA
"63","protecting minority investors extent of shareholder rights-DB-Total","65-DB-Total","Protecting Minority Investors Extent of shareholder rights","Total","Protecting Minority Investors Extent of shareholder rights","DB",NA,"0-10","0-10","index",4.129,"Private Sector Interface","Property rights and contracts","Other","Protecting Minority Investors: Extent of shareholder rights ","4.031","Private Sector Interface","Permits and Licenses","Other","Protecting Minority Investors: Extent of shareholder rights ",NA,"4.287","Private Sector Interface","Regulation of entry and exit","Other","Protecting Minority Investors: Extent of shareholder rights ","DB57","DB57","GOV","65-DB-Total",NA
"64","protecting minority investors strength of investor protection-DB-Total","60-DB-Total","Protecting Minority Investors Strength of investor protection","Total","Protecting Minority Investors Strength of investor protection","DB",NA,"0-10","0-10","index",4.036,"Private Sector Interface","Property rights and contracts","Other","Protecting Minority Investors: Strength of investor protection old methodology","4.076","Private Sector Interface","Permits and Licenses","Other","Protecting Minority Investors: Strength of investor protection old methodology",NA,"4.281","Private Sector Interface","Regulation of entry and exit","Other","Protecting Minority Investors: Strength of investor protection old methodology","DB58","DB58","GOV","60-DB-Total",NA
"65","registering property equal access to property rights-DB-Total","78-DB-Total","Registering Property Equal access to property rights","Total","Registering Property Equal access to property rights","DB",NA,"Index (-2 to 0)","Index (-2 to 0)","Index (-2 to 0)",4.403,"Private Sector Interface","Property rights and contracts","Other","Registering Property: Equal access to property rights","4.195","Private Sector Interface","Permits and Licenses","Other","Registering Property: Equal access to property rights",NA,"4.175","Private Sector Interface","Regulation of entry and exit","Other","Registering Property: Equal access to property rights","DB64","DB64","GOV","78-DB-Total",NA
"66","registering property geographic coverage-DB-Total","80-DB-Total","Registering Property Geographic coverage","Total","Registering Property Geographic coverage","DB",NA,"0-8","0-8","index",4.381,"Private Sector Interface","Property rights and contracts","Other","Registering Property: Geographic coverage","4.028","Private Sector Interface","Permits and Licenses","Other","Registering Property: Geographic coverage",NA,"4.317","Private Sector Interface","Regulation of entry and exit","Other","Registering Property: Geographic coverage","DB65","DB65","GOV","80-DB-Total",NA
"67","registering property land dispute resolution-DB-Total","79-DB-Total","Registering Property Land dispute resolution","Total","Registering Property Land dispute resolution","DB",NA,"0-8","0-8","index",4.516,"Private Sector Interface","Property rights and contracts","Other","Registering Property: Land dispute resolution","4.251","Private Sector Interface","Permits and Licenses","Other","Registering Property: Land dispute resolution",NA,"4.031","Private Sector Interface","Regulation of entry and exit","Other","Registering Property: Land dispute resolution","DB66","DB66","GOV","79-DB-Total",NA
"68","registering property reliability of infrastructure-DB-Total","82-DB-Total","Registering Property Reliability of infrastructure","Total","Registering Property Reliability of infrastructure","DB",NA,"0-8","0-8","index",4.559,"Private Sector Interface","Property rights and contracts","Other","Registering Property: Reliability of infrastructure","4.26","Private Sector Interface","Permits and Licenses","Other","Registering Property: Reliability of infrastructure",NA,"4.096","Private Sector Interface","Regulation of entry and exit","Other","Registering Property: Reliability of infrastructure","DB69","DB69","GOV","82-DB-Total",NA
"69","registering property transparency of information-DB-Total","81-DB-Total","Registering Property Transparency of information","Total","Registering Property Transparency of information","DB",NA,"0-6","0-6","index",4.476,"Private Sector Interface","Property rights and contracts","Other","Registering Property: Transparency of information","4.065","Private Sector Interface","Permits and Licenses","Other","Registering Property: Transparency of information",NA,"4.024","Private Sector Interface","Regulation of entry and exit","Other","Registering Property: Transparency of information","DB71","DB71","GOV","81-DB-Total",NA
"70","resolving insolvency outcome as piecemeal sale and as going concern-DB-Total","9-DB-Total","Resolving Insolvency Outcome as piecemeal sale and as going concern","Total","Resolving Insolvency Outcome as piecemeal sale and as going concern","DB",NA,"Index (0-1)","Index (0-1)","Index (0-1)",4.558,"Private Sector Interface","Property rights and contracts","Other","Resolving Insolvency: Outcome 0 as piecemeal sale and 1 as going concern","4.29","Private Sector Interface","Permits and Licenses","Other","Resolving Insolvency: Outcome 0 as piecemeal sale and 1 as going concern",NA,"4.123","Private Sector Interface","Regulation of entry and exit","Other","Resolving Insolvency: Outcome 0 as piecemeal sale and 1 as going concern","DB78","DB78","GOV","9-DB-Total",NA
"71","starting a business cost men % of income per capita-DB-Total","120-DB-Total","Starting a Business Cost Men % of income per capita","Total","Starting a Business Cost Men % of income per capita","DB",NA,"Total","Total","%",4.332,"Private Sector Interface","Property rights and contracts","Other","Starting a Business: Cost Men % of income per capita","4.094","Private Sector Interface","Permits and Licenses","Other","Starting a Business: Cost Men % of income per capita",NA,"4.255","Private Sector Interface","Regulation of entry and exit","Other","Starting a Business: Cost Men % of income per capita","DB85","DB85","GOV","120-DB-Total",NA
"72","starting a business cost women % of income per capita-DB-Total","117-DB-Total","Starting a Business Cost Women % of income per capita","Total","Starting a Business Cost Women % of income per capita","DB",NA,"Total","Total","%",4.073,"Private Sector Interface","Property rights and contracts","Other","Starting a Business: Cost Women % of income per capita","4.341","Private Sector Interface","Permits and Licenses","Other","Starting a Business: Cost Women % of income per capita",NA,"4.064","Private Sector Interface","Regulation of entry and exit","Other","Starting a Business: Cost Women % of income per capita","DB86","DB86","GOV","117-DB-Total",NA
"73","trading across borders documents to import number-DB-Total","42-DB-Total","Trading across Borders Documents to import number","Total","Trading across Borders Documents to import number","DB",NA,"Total","Total","Count",4.273,"Private Sector Interface","Property rights and contracts","Other","Trading across Borders  Documents to import number old methodology",NA,"","","","",NA,NA,"","","","","","Delete","GOV","42-DB-Total",NA
"74","trading across borders time to import days-DB-Total","38-DB-Total","Trading across Borders Time to import days","Total","Trading across Borders Time to import days","DB",NA,"Time to import","Time to import","days",4.326,"Private Sector Interface","Property rights and contracts","Other","Trading Across Borders: Time to import days old methodology","4.197","Private Sector Interface","Permits and Licenses","Other","Trading Across Borders: Time to import days old methodology",NA,"4.172","Private Sector Interface","Regulation of entry and exit","Other","Trading Across Borders: Time to import days old methodology","DB109","DB109","GOV","38-DB-Total",NA
