"Dataset","Indicator_Name","answer","Display_Name","Indicator_Id","Indicator","Rank","Category_11","Category_12","Category_13","Category_14","Category_15","Category_21","Category_22","Category_23","Category_24","Category_25","Category_31","Category_32","Category_33","Category_34","New1","New2","New3","New4","New5","keyN"
"IPU","Assembly of the Union Unicameral","Number.of.seats","Assembly of the Union Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Legislative Assembly Unicameral","Number.of.seats","Legislative Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Croatian Parliament Unicameral","Number.of.seats","Croatian Parliament Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Assembly of the People's Power Unicameral","Number.of.seats","National Assembly of the People's Power Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Representatives Unicameral","Number.of.seats","House of Representatives Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Supreme People's Assembly Unicameral","Number.of.seats","Supreme People's Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","The Danish Parliament Unicameral","Number.of.seats","The Danish Parliament Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Assembly Unicameral","Number.of.seats","House of Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","The Estonian Parliament Unicameral","Number.of.seats","The Estonian Parliament Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Peoples' Representatives Bicameral","Number.of.seats","House of Peoples' Representatives Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of the Federation Bicameral","Number.of.seats","House of the Federation Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","German Bundestag Bicameral","Number.of.seats","German Bundestag Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Hellenic Parliament Unicameral","Number.of.seats","Hellenic Parliament Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Congress of the Republic Unicameral","Number.of.seats","Congress of the Republic Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","People's National Assembly Unicameral","Number.of.seats","People's National Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Parliament of the Co-operative Republic of Guyana Unicameral","Number.of.seats","Parliament of the Co-operative Republic of Guyana Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Congress Unicameral","Number.of.seats","National Congress Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Council of States Bicameral","Number.of.seats","Council of States Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Islamic Parliament of Iran Unicameral","Number.of.seats","Islamic Parliament of Iran Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Council of Representatives of Iraq Unicameral","Number.of.seats","Council of Representatives of Iraq Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Councillors Bicameral","Number.of.seats","House of Councillors Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Supreme Council Unicameral","Number.of.seats","Supreme Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","The Liberian Senate Bicameral","Number.of.seats","The Liberian Senate Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Diet Unicameral","Number.of.seats","Diet Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Chamber of Deputies Unicameral","Number.of.seats","Chamber of Deputies Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","People's Majlis Unicameral","Number.of.seats","People's Majlis Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Congress Unicameral","Number.of.seats","Congress Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Council Unicameral","Number.of.seats","National Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","State Great Hural Unicameral","Number.of.seats","State Great Hural Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Assembly of the Republic Unicameral","Number.of.seats","Assembly of the Republic Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Nationalities Bicameral","Number.of.seats","House of Nationalities Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Consultative Council Bicameral","Number.of.seats","Consultative Council Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","State Council Bicameral","Number.of.seats","State Council Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Delegates Bicameral","Number.of.seats","House of Delegates Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Parliament Unicameral","Number.of.seats","National Parliament Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Sejm Bicameral","Number.of.seats","Sejm Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Advisory Council Unicameral","Number.of.seats","Advisory Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","State Duma Bicameral","Number.of.seats","State Duma Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Council of the Federation Bicameral","Number.of.seats","Council of the Federation Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Great and General Council Unicameral","Number.of.seats","Great and General Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Shura Council Unicameral","Number.of.seats","Shura Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Upper House Bicameral","Number.of.seats","Upper House Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Council of Provinces Bicameral","Number.of.seats","National Council of Provinces Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Transitional National Legislative Assembly Bicameral","Number.of.seats","Transitional National Legislative Assembly Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Congress of Deputies Bicameral","Number.of.seats","Congress of Deputies Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","People's Assembly Unicameral","Number.of.seats","People's Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Legislative Assembly Unicameral","Number.of.seats","National Legislative Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Assembly of People's Representatives Unicameral","Number.of.seats","Assembly of People's Representatives Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Grand National Assembly of Turkey Unicameral","Number.of.seats","Grand National Assembly of Turkey Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Assembly Unicameral","Number.of.seats","Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Parliament of Tuvalu Unicameral","Number.of.seats","Parliament of Tuvalu Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Federal National Council Unicameral","Number.of.seats","Federal National Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Lords Bicameral","Number.of.seats","House of Lords Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Legislative Chamber Bicameral","Number.of.seats","Legislative Chamber Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of the People Bicameral","Number.of.women.parliamentarians","House of the People Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Elders Bicameral","Number.of.women.parliamentarians","House of Elders Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Parliament Unicameral","Number.of.women.parliamentarians","Parliament Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National People's Assembly Bicameral","Number.of.women.parliamentarians","National People's Assembly Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Council of the Nation Bicameral","Number.of.women.parliamentarians","Council of the Nation Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","General Council Unicameral","Number.of.women.parliamentarians","General Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Assembly Unicameral","Number.of.women.parliamentarians","National Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Representatives Bicameral","Number.of.women.parliamentarians","House of Representatives Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Senate Bicameral","Number.of.women.parliamentarians","Senate Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Chamber of Deputies Bicameral","Number.of.women.parliamentarians","Chamber of Deputies Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Council Bicameral","Number.of.women.parliamentarians","National Council Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Federal Council Bicameral","Number.of.women.parliamentarians","Federal Council Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Assembly Bicameral","Number.of.women.parliamentarians","House of Assembly Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Council of Representatives Bicameral","Number.of.women.parliamentarians","Council of Representatives Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Shura Council Bicameral","Number.of.women.parliamentarians","Shura Council Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Council of the Republic Bicameral","Number.of.women.parliamentarians","Council of the Republic Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Assembly Bicameral","Number.of.women.parliamentarians","National Assembly Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Chamber of Senators Bicameral","Number.of.women.parliamentarians","Chamber of Senators Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Peoples Bicameral","Number.of.women.parliamentarians","House of Peoples Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Federal Senate Bicameral","Number.of.women.parliamentarians","Federal Senate Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Legislative Council Unicameral","Number.of.women.parliamentarians","Legislative Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Commons Bicameral","Number.of.women.parliamentarians","House of Commons Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National People's Congress Unicameral","Number.of.women.parliamentarians","National People's Congress Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Assembly of the Union Unicameral","Number.of.women.parliamentarians","Assembly of the Union Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Legislative Assembly Unicameral","Number.of.women.parliamentarians","Legislative Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Croatian Parliament Unicameral","Number.of.women.parliamentarians","Croatian Parliament Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Assembly of the People's Power Unicameral","Number.of.women.parliamentarians","National Assembly of the People's Power Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Representatives Unicameral","Number.of.women.parliamentarians","House of Representatives Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Supreme People's Assembly Unicameral","Number.of.women.parliamentarians","Supreme People's Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","The Danish Parliament Unicameral","Number.of.women.parliamentarians","The Danish Parliament Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Assembly Unicameral","Number.of.women.parliamentarians","House of Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","The Estonian Parliament Unicameral","Number.of.women.parliamentarians","The Estonian Parliament Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Peoples' Representatives Bicameral","Number.of.women.parliamentarians","House of Peoples' Representatives Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of the Federation Bicameral","Number.of.women.parliamentarians","House of the Federation Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","German Bundestag Bicameral","Number.of.women.parliamentarians","German Bundestag Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Hellenic Parliament Unicameral","Number.of.women.parliamentarians","Hellenic Parliament Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Congress of the Republic Unicameral","Number.of.women.parliamentarians","Congress of the Republic Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","People's National Assembly Unicameral","Number.of.women.parliamentarians","People's National Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Parliament of the Co-operative Republic of Guyana Unicameral","Number.of.women.parliamentarians","Parliament of the Co-operative Republic of Guyana Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Congress Unicameral","Number.of.women.parliamentarians","National Congress Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Council of States Bicameral","Number.of.women.parliamentarians","Council of States Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Islamic Parliament of Iran Unicameral","Number.of.women.parliamentarians","Islamic Parliament of Iran Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Council of Representatives of Iraq Unicameral","Number.of.women.parliamentarians","Council of Representatives of Iraq Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Councillors Bicameral","Number.of.women.parliamentarians","House of Councillors Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Supreme Council Unicameral","Number.of.women.parliamentarians","Supreme Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","The Liberian Senate Bicameral","Number.of.women.parliamentarians","The Liberian Senate Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Diet Unicameral","Number.of.women.parliamentarians","Diet Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Chamber of Deputies Unicameral","Number.of.women.parliamentarians","Chamber of Deputies Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","People's Majlis Unicameral","Number.of.women.parliamentarians","People's Majlis Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Congress Unicameral","Number.of.women.parliamentarians","Congress Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Council Unicameral","Number.of.women.parliamentarians","National Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","State Great Hural Unicameral","Number.of.women.parliamentarians","State Great Hural Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Assembly of the Republic Unicameral","Number.of.women.parliamentarians","Assembly of the Republic Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Nationalities Bicameral","Number.of.women.parliamentarians","House of Nationalities Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Consultative Council Bicameral","Number.of.women.parliamentarians","Consultative Council Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","State Council Bicameral","Number.of.women.parliamentarians","State Council Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Delegates Bicameral","Number.of.women.parliamentarians","House of Delegates Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Parliament Unicameral","Number.of.women.parliamentarians","National Parliament Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Sejm Bicameral","Number.of.women.parliamentarians","Sejm Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Advisory Council Unicameral","Number.of.women.parliamentarians","Advisory Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","State Duma Bicameral","Number.of.women.parliamentarians","State Duma Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Council of the Federation Bicameral","Number.of.women.parliamentarians","Council of the Federation Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Great and General Council Unicameral","Number.of.women.parliamentarians","Great and General Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Shura Council Unicameral","Number.of.women.parliamentarians","Shura Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Upper House Bicameral","Number.of.women.parliamentarians","Upper House Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Council of Provinces Bicameral","Number.of.women.parliamentarians","National Council of Provinces Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Transitional National Legislative Assembly Bicameral","Number.of.women.parliamentarians","Transitional National Legislative Assembly Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Congress of Deputies Bicameral","Number.of.women.parliamentarians","Congress of Deputies Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","People's Assembly Unicameral","Number.of.women.parliamentarians","People's Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Legislative Assembly Unicameral","Number.of.women.parliamentarians","National Legislative Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Assembly of People's Representatives Unicameral","Number.of.women.parliamentarians","Assembly of People's Representatives Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Grand National Assembly of Turkey Unicameral","Number.of.women.parliamentarians","Grand National Assembly of Turkey Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Assembly Unicameral","Number.of.women.parliamentarians","Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Parliament of Tuvalu Unicameral","Number.of.women.parliamentarians","Parliament of Tuvalu Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Federal National Council Unicameral","Number.of.women.parliamentarians","Federal National Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Lords Bicameral","Number.of.women.parliamentarians","House of Lords Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Legislative Chamber Bicameral","Number.of.women.parliamentarians","Legislative Chamber Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of the People Bicameral","Percentage.of.women","House of the People Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Elders Bicameral","Percentage.of.women","House of Elders Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Parliament Unicameral","Percentage.of.women","Parliament Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National People's Assembly Bicameral","Percentage.of.women","National People's Assembly Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Council of the Nation Bicameral","Percentage.of.women","Council of the Nation Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","General Council Unicameral","Percentage.of.women","General Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Assembly Unicameral","Percentage.of.women","National Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Representatives Bicameral","Percentage.of.women","House of Representatives Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Senate Bicameral","Percentage.of.women","Senate Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Chamber of Deputies Bicameral","Percentage.of.women","Chamber of Deputies Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Council Bicameral","Percentage.of.women","National Council Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Federal Council Bicameral","Percentage.of.women","Federal Council Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Assembly Bicameral","Percentage.of.women","House of Assembly Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Council of Representatives Bicameral","Percentage.of.women","Council of Representatives Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Shura Council Bicameral","Percentage.of.women","Shura Council Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Council of the Republic Bicameral","Percentage.of.women","Council of the Republic Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Assembly Bicameral","Percentage.of.women","National Assembly Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Chamber of Senators Bicameral","Percentage.of.women","Chamber of Senators Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Peoples Bicameral","Percentage.of.women","House of Peoples Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Federal Senate Bicameral","Percentage.of.women","Federal Senate Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Legislative Council Unicameral","Percentage.of.women","Legislative Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Commons Bicameral","Percentage.of.women","House of Commons Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National People's Congress Unicameral","Percentage.of.women","National People's Congress Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Assembly of the Union Unicameral","Percentage.of.women","Assembly of the Union Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Legislative Assembly Unicameral","Percentage.of.women","Legislative Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Croatian Parliament Unicameral","Percentage.of.women","Croatian Parliament Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Assembly of the People's Power Unicameral","Percentage.of.women","National Assembly of the People's Power Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Representatives Unicameral","Percentage.of.women","House of Representatives Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Supreme People's Assembly Unicameral","Percentage.of.women","Supreme People's Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","The Danish Parliament Unicameral","Percentage.of.women","The Danish Parliament Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Assembly Unicameral","Percentage.of.women","House of Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","The Estonian Parliament Unicameral","Percentage.of.women","The Estonian Parliament Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Peoples' Representatives Bicameral","Percentage.of.women","House of Peoples' Representatives Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of the Federation Bicameral","Percentage.of.women","House of the Federation Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","German Bundestag Bicameral","Percentage.of.women","German Bundestag Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Hellenic Parliament Unicameral","Percentage.of.women","Hellenic Parliament Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Congress of the Republic Unicameral","Percentage.of.women","Congress of the Republic Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","People's National Assembly Unicameral","Percentage.of.women","People's National Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Parliament of the Co-operative Republic of Guyana Unicameral","Percentage.of.women","Parliament of the Co-operative Republic of Guyana Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Congress Unicameral","Percentage.of.women","National Congress Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Council of States Bicameral","Percentage.of.women","Council of States Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Islamic Parliament of Iran Unicameral","Percentage.of.women","Islamic Parliament of Iran Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Council of Representatives of Iraq Unicameral","Percentage.of.women","Council of Representatives of Iraq Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Councillors Bicameral","Percentage.of.women","House of Councillors Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Supreme Council Unicameral","Percentage.of.women","Supreme Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","The Liberian Senate Bicameral","Percentage.of.women","The Liberian Senate Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Diet Unicameral","Percentage.of.women","Diet Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Chamber of Deputies Unicameral","Percentage.of.women","Chamber of Deputies Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","People's Majlis Unicameral","Percentage.of.women","People's Majlis Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Congress Unicameral","Percentage.of.women","Congress Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Council Unicameral","Percentage.of.women","National Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","State Great Hural Unicameral","Percentage.of.women","State Great Hural Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Assembly of the Republic Unicameral","Percentage.of.women","Assembly of the Republic Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Nationalities Bicameral","Percentage.of.women","House of Nationalities Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Consultative Council Bicameral","Percentage.of.women","Consultative Council Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","State Council Bicameral","Percentage.of.women","State Council Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Delegates Bicameral","Percentage.of.women","House of Delegates Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
