"","Indicator","Dataset","Indicator_Name","answer","Display_Name","Indicator_Id","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"13","adance accounts-PEFA-Total","PEFA","adance accounts","Total","Adance accounts","204-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"14","adequacy of time for the legislature to provide a response to budget proposals both the detailed estimates and where applicable for proposals on macro-fiscal aggregates earlier in the budget preparation cycyle time allowed in practice for all stages combined-PEFA-Total","PEFA","adequacy of time for the legislature to provide a response to budget proposals both the detailed estimates and where applicable for proposals on macro-fiscal aggregates earlier in the budget preparation cycyle time allowed in practice for all stages combined","Total","Adequacy of time for the legislature to provide a response to budget proposals both the detailed estimates and where applicable for proposals on macro-fiscal aggregates earlier in the budget preparation cycyle time allowed in practice for all stages combined","93-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"15","aggregate expenditure out-turn compared to original approved budget-PEFA-Total","PEFA","aggregate expenditure out-turn compared to original approved budget","Total","Aggregate expenditure out-turn compared to original approved budget","1-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.946,"Public Sector Management","Public Expenditure Management","Other","Aggregate expenditure out-turn compared to original approved budget","",NA,"","","","","",NA,"","","","","PEFA1","PEFA1","","",""
"16","aggregate expenditure out-turn-PEFA-Total","PEFA","aggregate expenditure out-turn","Total","Aggregate expenditure out-turn","112-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"17","aggregate revenue out-turn compared to original approved budget-PEFA-Total","PEFA","aggregate revenue out-turn compared to original approved budget","Total","Aggregate revenue out-turn compared to original approved budget","6-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",5.042,"Public Sector Management","Public Expenditure Management","Other","Aggregate revenue out-turn compared to original approved budget¥Ë_","",NA,"","","","","",NA,"","","","","PEFA2","PEFA2","","",""
"18","agregate reenue out-turn-PEFA-Total","PEFA","agregate reenue out-turn","Total","Agregate reenue out-turn","118-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"19","alignment of strategic plans and mediumterm budgets-PEFA-Total","PEFA","alignment of strategic plans and mediumterm budgets","Total","Alignment of strategic plans and mediumterm budgets","160-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"20","annual deviation of actual budget support from the forecast provided by the donor agencies at least six weeks prior to the government submitting its budget proposals to the legislature or equivalent approving body-PEFA-Total","PEFA","annual deviation of actual budget support from the forecast provided by the donor agencies at least six weeks prior to the government submitting its budget proposals to the legislature or equivalent approving body","Total","Annual deviation of actual budget support from the forecast provided by the donor agencies at least six weeks prior to the government submitting its budget proposals to the legislature or equivalent approving body","100-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.712,"Public Sector Management","Public Expenditure Management","Other","Annual deviation of actual budget support from the forecast provided by the donor agencies at least six weeks prior to the government submitting its budget proposals to the legislature/equivalent (i)","",NA,"","","","","",NA,"","","","","PEFA34","PEFA34","","",""
"21","annual deviation of actual total hlg transfers from the original total estimated amount provided by hlg to the sn entity for inclusion in the latter's budget-PEFA-Total","PEFA","annual deviation of actual total hlg transfers from the original total estimated amount provided by hlg to the sn entity for inclusion in the latter's budget","Total","Annual deviation of actual total hlg transfers from the original total estimated amount provided by hlg to the sn entity for inclusion in the latter's budget","109-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.019,"Public Sector Management","Public Expenditure Management","Other","Annual deviation of actual total HLG transfers from the original total estimated amount provided by HLG to the SN entity for inclusion in the latter's budget (i)¥Ë_","",NA,"","","","","",NA,"","","","","PEFA35","PEFA35","","",""
"22","annual financial reports-PEFA-Total","PEFA","annual financial reports","Total","Annual financial reports","210-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"23","annual variance between actual and estimated transfers of earmarked grants-PEFA-Total","PEFA","annual variance between actual and estimated transfers of earmarked grants","Total","Annual variance between actual and estimated transfers of earmarked grants","110-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.142,"Public Sector Management","Public Expenditure Management","Other","Annual variance between actual and estimated transfers of earmarked grants (ii)","",NA,"","","","","",NA,"","","","","PEFA65","PEFA65","","",""
"24","approal of debt and guarantees-PEFA-Total","PEFA","approal of debt and guarantees","Total","Approal of debt and guarantees","147-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"25","availability of data for monitoring the stock of expenditure payment arrears-PEFA-Total","PEFA","availability of data for monitoring the stock of expenditure payment arrears","Total","Availability of data for monitoring the stock of expenditure payment arrears","10-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.741,"Public Sector Management","Public Expenditure Management","Other","Availability of data for monitoring the stock of expenditure payment arrears (ii)","",NA,"","","","","",NA,"","","","","PEFA66","PEFA66","","",""
"26","availability of information on resources received by service delivery units-PEFA-Total","PEFA","availability of information on resources received by service delivery units","Total","Availability of information on resources received by service delivery units","76-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.964,"Public Sector Management","Public Expenditure Management","Other","Availability of information on resources received by service delivery units","",NA,"","","","","",NA,"","","","","PEFA3","PEFA3","","",""
"27","budget calendar-PEFA-Total","PEFA","budget calendar","Total","Budget calendar","163-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"28","budget classification-PEFA-Total","PEFA","budget classification","Total","Budget classification","120-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"29","budget documentation-PEFA-Total","PEFA","budget documentation","Total","Budget documentation","121-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"30","budget preparation process-PEFA-Total","PEFA","budget preparation process","Total","Budget preparation process","162-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"31","budget submission to the legislature-PEFA-Total","PEFA","budget submission to the legislature","Total","Budget submission to the legislature","165-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"32","cash forecasting and monitoring-PEFA-Total","PEFA","cash forecasting and monitoring","Total","Cash forecasting and monitoring","182-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"33","central goernment operations outside financial reports-PEFA-Total","PEFA","central goernment operations outside financial reports","Total","Central goernment operations outside financial reports","122-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"34","clarity and comprehensiveness of tax liabilities-PEFA-Total","PEFA","clarity and comprehensiveness of tax liabilities","Total","Clarity and comprehensiveness of tax liabilities","36-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.044,"Public Sector Management","Public Expenditure Management","Other","Clarity and comprehensiveness of tax liabilities (i)","",NA,"","","","","",NA,"","","","","PEFA36","PEFA36","","",""
"35","claritycomprehensiveness of and political involvement in the guidance on the preparation of budget submissions budget circular or equivalent-PEFA-Total","PEFA","claritycomprehensiveness of and political involvement in the guidance on the preparation of budget submissions budget circular or equivalent","Total","Claritycomprehensiveness of and political involvement in the guidance on the preparation of budget submissions budget circular or equivalent","28-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.945,"Public Sector Management","Public Expenditure Management","Other","Clarity-comprehensiveness of and political involvement in the guidance on the preparation of budget submissions budget circular or equivalent (ii)","",NA,"","","","","",NA,"","","","","PEFA67","PEFA67","","",""
"36","classification of the budget-PEFA-Total","PEFA","classification of the budget","Total","Classification of the budget","11-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.684,"Public Sector Management","Public Expenditure Management","Other","Classification of the budget","",NA,"","","","","",NA,"","","","","PEFA4","PEFA4","","",""
"37","collection and processing of information to demonstrate the resources that were actually received in cash and kind by the most common frontline service delivery units focus on primary schools and primary health clinics in relation to the overall resources made available to the sectors irrespective of which level of government is responsible for the operation and funding of those units-PEFA-Total","PEFA","collection and processing of information to demonstrate the resources that were actually received in cash and kind by the most common frontline service delivery units focus on primary schools and primary health clinics in relation to the overall resources made available to the sectors irrespective of which level of government is responsible for the operation and funding of those units","Total","Collection and processing of information to demonstrate the resources that were actually received in cash and kind by the most common frontline service delivery units focus on primary schools and primary health clinics in relation to the overall resources made available to the sectors irrespective of which level of government is responsible for the operation and funding of those units","77-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"38","collection ratio for gross tax arrears being the percentage of tax arrears at the beginning of a fiscal year which was collected during that fiscal year average of the last two fiscal years-PEFA-Total","PEFA","collection ratio for gross tax arrears being the percentage of tax arrears at the beginning of a fiscal year which was collected during that fiscal year average of the last two fiscal years","Total","Collection ratio for gross tax arrears being the percentage of tax arrears at the beginning of a fiscal year which was collected during that fiscal year average of the last two fiscal years","44-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.157,"Public Sector Management","Public Expenditure Management","Other","Collection ratio for gross tax arrears being the percentage of tax arrears at the beginning of a fiscal year which was collected during that fiscal year average of the last two fiscal years (i)","",NA,"","","","","",NA,"","","","","PEFA38","PEFA38","","",""
"39","completeness and timeliness of budget estimates by donors for project support-PEFA-Total","PEFA","completeness and timeliness of budget estimates by donors for project support","Total","Completeness and timeliness of budget estimates by donors for project support","103-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.886,"Public Sector Management","Public Expenditure Management","Other","Completeness and timeliness of budget estimates by donors for project support (i)","",NA,"","","","","",NA,"","","","","PEFA39","PEFA39","","",""
"40","completeness of the financial statements-PEFA-Total","PEFA","completeness of the financial statements","Total","Completeness of the financial statements","83-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.546,"Public Sector Management","Public Expenditure Management","Other","Completeness of the financial statements (i)","",NA,"","","","","",NA,"","","","","PEFA40","PEFA40","","",""
"41","compliance with payment controls-PEFA-Total","PEFA","compliance with payment controls","Total","Compliance with payment controls","199-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"42","composition of expenditure out-turn compared to original approved budget-PEFA-Total","PEFA","composition of expenditure out-turn compared to original approved budget","Total","Composition of expenditure out-turn compared to original approved budget","3-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.316,"Public Sector Management","Public Expenditure Management","Other","Composition of expenditure outturn compared to original approved budget","",NA,"","","","","",NA,"","","","","PEFA5","PEFA5","","",""
"43","comprehensiveness of information included in budget documentation-PEFA-Total","PEFA","comprehensiveness of information included in budget documentation","Total","Comprehensiveness of information included in budget documentation","13-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.434,"Public Sector Management","Public Expenditure Management","Other","Comprehensiveness of information included in budget documentation","",NA,"","","","","",NA,"","","","","PEFA6","PEFA6","","",""
"44","comprehensiveness relevance and understanding of other internal control rules procedures-PEFA-Total","PEFA","comprehensiveness relevance and understanding of other internal control rules procedures","Total","Comprehensiveness relevance and understanding of other internal control rules procedures","67-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.368,"Public Sector Management","Public Expenditure Management","Other","Comprehensiveness relevance and understanding of other internal control rules procedures (ii)","",NA,"","","","","",NA,"","","","","PEFA68","PEFA68","","",""
"45","consistency of budgets with preious year estimates-PEFA-Total","PEFA","consistency of budgets with preious year estimates","Total","Consistency of budgets with preious year estimates","161-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"46","consolidation of cash balances-PEFA-Total","PEFA","consolidation of cash balances","Total","Consolidation of cash balances","181-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"47","contingent liabilities and other fiscal risks-PEFA-Total","PEFA","contingent liabilities and other fiscal risks","Total","Contingent liabilities and other fiscal risks","135-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"48","controls in the taxpayer registration system-PEFA-Total","PEFA","controls in the taxpayer registration system","Total","Controls in the taxpayer registration system","40-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",5.025,"Public Sector Management","Public Expenditure Management","Other","Controls in the taxpayer registration system (i)","",NA,"","","","","",NA,"","","","","PEFA41","PEFA41","","",""
"49","coverage and quality of the internal audit function-PEFA-Total","PEFA","coverage and quality of the internal audit function","Total","Coverage and quality of the internal audit function","70-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.105,"Public Sector Management","Public Expenditure Management","Other","Coverage and quality of the internal audit function (i)","",NA,"","","","","",NA,"","","","","PEFA42","PEFA42","","",""
"50","debt management strategy-PEFA-Total","PEFA","debt management strategy","Total","Debt management strategy","148-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"51","debt management-PEFA-Total","PEFA","debt management","Total","Debt management","145-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"52","degree of compliance with rules for processing and recording transactions-PEFA-Total","PEFA","degree of compliance with rules for processing and recording transactions","Total","Degree of compliance with rules for processing and recording transactions","68-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.115,"Public Sector Management","Public Expenditure Management","Other","Degree of compliance with rules for processing and recording transactions (iii)","",NA,"","","","","",NA,"","","","","PEFA92","PEFA92","","",""
"53","degree of integration and reconciliation between personnel records and payroll data-PEFA-Total","PEFA","degree of integration and reconciliation between personnel records and payroll data","Total","Degree of integration and reconciliation between personnel records and payroll data","56-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",5.036,"Public Sector Management","Public Expenditure Management","Other","Degree of integration and reconciliation between personnel records and payroll data (i)","",NA,"","","","","",NA,"","","","","PEFA43","PEFA43","","",""
"54","economic analysis of inestment proposals-PEFA-Total","PEFA","economic analysis of inestment proposals","Total","Economic analysis of inestment proposals","137-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"55","effectieness of expenditure commitment controls-PEFA-Total","PEFA","effectieness of expenditure commitment controls","Total","Effectieness of expenditure commitment controls","198-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"56","effectiveness in collection of tax payments-PEFA-Total","PEFA","effectiveness in collection of tax payments","Total","Effectiveness in collection of tax payments","43-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.388,"Public Sector Management","Public Expenditure Management","Other","Effectiveness in collection of tax payments","",NA,"","","","","",NA,"","","","","PEFA7","PEFA7","","",""
"57","effectiveness of expenditure commitment controls-PEFA-Total","PEFA","effectiveness of expenditure commitment controls","Total","Effectiveness of expenditure commitment controls","66-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.447,"Public Sector Management","Public Expenditure Management","Other","Effectiveness of expenditure commitment controls (i)","",NA,"","","","","",NA,"","","","","PEFA44","PEFA44","","",""
"58","effectiveness of internal audit-PEFA-Total","PEFA","effectiveness of internal audit","Total","Effectiveness of internal audit","69-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",3.07,"Public Sector Management","Public Expenditure Management","Other","Effectiveness of internal audit","",NA,"","","","","",NA,"","","","","PEFA8","PEFA8","","",""
"59","effectiveness of internal controls for nonsalary expenditure-PEFA-Total","PEFA","effectiveness of internal controls for nonsalary expenditure","Total","Effectiveness of internal controls for nonsalary expenditure","65-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",3.08,"Public Sector Management","Public Expenditure Management","Other","Effectiveness of internal controls for nonsalary expenditure","",NA,"","","","","",NA,"","","","","PEFA9","PEFA9","","",""
"60","effectiveness of measures for taxpayer registration and tax assessment-PEFA-Total","PEFA","effectiveness of measures for taxpayer registration and tax assessment","Total","Effectiveness of measures for taxpayer registration and tax assessment","39-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.967,"Public Sector Management","Public Expenditure Management","Other","Effectiveness of measures for taxpayer registration and tax assessment","",NA,"","","","","",NA,"","","","","PEFA10","PEFA10","","",""
"61","effectiveness of payroll controls-PEFA-Total","PEFA","effectiveness of payroll controls","Total","Effectiveness of payroll controls","55-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.793,"Public Sector Management","Public Expenditure Management","Other","Effectiveness of payroll controls","",NA,"","","","","",NA,"","","","","PEFA11","PEFA11","","",""
"62","effectiveness of penalties for noncompliance with registration and declaration obligations-PEFA-Total","PEFA","effectiveness of penalties for noncompliance with registration and declaration obligations","Total","Effectiveness of penalties for noncompliance with registration and declaration obligations","41-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.013,"Public Sector Management","Public Expenditure Management","Other","Effectiveness of penalties for noncompliance with registration and declaration obligations (ii)","",NA,"","","","","",NA,"","","","","PEFA69","PEFA69","","",""
"63","effectiveness of transfer of tax collections to the treasury by the revenue administration-PEFA-Total","PEFA","effectiveness of transfer of tax collections to the treasury by the revenue administration","Total","Effectiveness of transfer of tax collections to the treasury by the revenue administration","45-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.663,"Public Sector Management","Public Expenditure Management","Other","Effectiveness of transfer of tax collections to the Treasury by the revenue administration (ii)","",NA,"","","","","",NA,"","","","","PEFA70","PEFA70","","",""
"64","evidence of follow up on audit recommendations-PEFA-Total","PEFA","evidence of follow up on audit recommendations","Total","Evidence of follow up on audit recommendations","89-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",5.077,"Public Sector Management","Public Expenditure Management","Other","Evidence of follow up on audit recommendations (iii)","",NA,"","","","","",NA,"","","","","PEFA93","PEFA93","","",""
"65","existence and functioning of a tax appeals mechanism-PEFA-Total","PEFA","existence and functioning of a tax appeals mechanism","Total","Existence and functioning of a tax appeals mechanism","38-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.002,"Public Sector Management","Public Expenditure Management","Other","Existence and functioning of a tax appeals mechanism (iii)","",NA,"","","","","",NA,"","","","","PEFA94","PEFA94","","",""
