"","Indicator","Indicator_Id","Indicator_Name","answer","Display_Name","Dataset","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"11","budgetary policy-SGI-Total","13-SGI-Total"," Budgetary Policy","Total"," Budgetary Policy","SGI","Total","Total","Value",2.01,"Public Sector Management","Public Expenditure Management","Other","Budgetary Policy","",NA,"","","","","",NA,"","","","","SGI11","SGI11","","",""
"12","budgets-SGI-Total","24-SGI-Total"," Budgets","Total"," Budgets","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"13","cabinet committees-SGI-Total","35-SGI-Total"," Cabinet Committees","Total"," Cabinet Committees","SGI","Total","Total","Value",4.296,"Public Sector Management","Administrative and Policymaking capacity","Other","Cabinet Committees","",NA,"","","","","",NA,"","","","","SGI13","SGI13","","",""
"14","candidacy procedures-SGI-Total","51-SGI-Total"," Candidacy Procedures","Total"," Candidacy Procedures","SGI","Total","Total","Value",5.141,"Public Sector Management","Personnel Management","Other","Candidacy Procedures","",NA,"","","","","",NA,"","","","","SGI14","SGI14","","",""
"15","child care density, age 0-2-SGI-Total","62-SGI-Total"," Child Care Density, Age 0-2","Total"," Child Care Density, Age 0-2","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"16","child care density, age 3-5-SGI-Total","73-SGI-Total"," Child Care Density, Age 3-5","Total"," Child Care Density, Age 3-5","SGI","Total","Total","Value",5.113,"Public Sector Management","Service Delivery","Other","Child Care Density Age 35","",NA,"","","","","",NA,"","","","","SGI16","SGI16","","",""
"17","child poverty-SGI-Total","84-SGI-Total"," Child Poverty","Total"," Child Poverty","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"18","citizens' participatory competence-SGI-Total","93-SGI-Total"," Citizens' Participatory Competence","Total"," Citizens' Participatory Competence","SGI","Total","Total","Value",4.297,"Citizen Engagement","Civil Society Participation","Other","Citizens Participatory Competence","",NA,"","","","","",NA,"","","","","SGI18","SGI18","","",""
"19","civil rights and political liberties-SGI-Total","96-SGI-Total"," Civil Rights and Political Liberties","Total"," Civil Rights and Political Liberties","SGI","Total","Total","Value",4.237,"Citizen Engagement","Civil Society Participation","Other","Civil Rights and Political Liberties","",NA,"","","","","",NA,"","","","","SGI20","SGI20","","",""
"20","civil rights-SGI-Total","94-SGI-Total"," Civil Rights","Total"," Civil Rights","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"21","coherent communication-SGI-Total","97-SGI-Total"," Coherent Communication","Total"," Coherent Communication","SGI","Total","Total","Value",4.035,"Public Sector Management","Administrative and Policymaking capacity","Other","Coherent Communication","",NA,"","","","","",NA,"","","","","SGI21","SGI21","","",""
"22","confidence in police-SGI-Total","98-SGI-Total"," Confidence in Police","Total"," Confidence in Police","SGI","Total","Total","Value",2.01,"Trust","Trust in Government","Other","Confidence in Police","",NA,"","","","","",NA,"","","","","SGI22","SGI22","","",""
"23","constitutional discretion-SGI-Total","99-SGI-Total"," Constitutional Discretion","Total"," Constitutional Discretion","SGI","Total","Total","Value",4.546,"Checks and Balances","Oversight institutions","Other","Constitutional Discretion","",NA,"","","","","",NA,"","","","","SGI23","SGI23","","",""
"24","corruption prevention-SGI-Total","100-SGI-Total"," Corruption Prevention","Total"," Corruption Prevention","SGI","Total","Total","Value",2.06,"Absence of Corruption","Prevention and sanction","Other","Corruption Prevention","",NA,"","","","","",NA,"","","","","SGI24","SGI24","","",""
"25","debt interest ratio-SGI-Total","101-SGI-Total"," Debt Interest Ratio","Total"," Debt Interest Ratio","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"26","debt to gdp-SGI-Total","102-SGI-Total"," Debt to GDP","Total"," Debt to GDP","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"27","domestic adaptability-SGI-Total","103-SGI-Total"," Domestic Adaptability","Total"," Domestic Adaptability","SGI","Total","Total","Value",5.098,"Public Sector Management","Administrative and Policymaking capacity","Other","Domestic Adaptability","",NA,"","","","","",NA,"","","","","SGI27","SGI27","","",""
"28","economic policies-SGI-Total","104-SGI-Total"," Economic Policies","Total"," Economic Policies","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"29","economic policy-SGI-Total","105-SGI-Total"," Economic Policy","Total"," Economic Policy","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"30","economy-SGI-Total","107-SGI-Total"," Economy","Total"," Economy","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"31","education policy-SGI-Total","109-SGI-Total"," Education Policy","Total"," Education Policy","SGI","Total","Total","Value",4.26,"Public Sector Management","Administrative and Policymaking capacity","Other","Education Policy","",NA,"","","","","",NA,"","","","","SGI32","SGI32","","",""
"32","education-SGI-Total","108-SGI-Total"," Education","Total"," Education","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"33","electoral processes-SGI-Total","110-SGI-Total"," Electoral Processes","Total"," Electoral Processes","SGI","Total","Total","Value",2.03,"Political Accountability","Elections","Other","Electoral Processes","",NA,"","","","","",NA,"","","","","SGI33","SGI33","","",""
"34","employment rate-SGI-Total","111-SGI-Total"," Employment Rate","Total"," Employment Rate","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"35","energy productivity-SGI-Total","112-SGI-Total"," Energy Productivity","Total"," Energy Productivity","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"36","environment-SGI-Total","113-SGI-Total"," Environment","Total"," Environment","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"37","environmental policies-SGI-Total","114-SGI-Total"," Environmental Policies","Total"," Environmental Policies","SGI","Total","Total","Value",4.074,"Public Sector Management","Service Delivery","Other","Environmental Policies","",NA,"","","","","",NA,"","","","","SGI37","SGI37","","",""
"38","environmental policy-SGI-Total","115-SGI-Total"," Environmental Policy","Total"," Environmental Policy","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"39","evidence-based instruments-SGI-Total","116-SGI-Total"," Evidence-based Instruments","Total"," Evidence-based Instruments","SGI","Total","Total","Value",4.997,"Public Sector Management","Administrative and Policymaking capacity","Other","Evidence-based Instruments¥Ë_","",NA,"","","","","",NA,"","","","","SGI39","SGI39","","",""
"40","executive accountability-SGI-Total","118-SGI-Total"," Executive Accountability","Total"," Executive Accountability","SGI","Total","Total","Value",2.08,"Political Accountability","Public Accountability Mechanisns","Other","Executive Accountability","",NA,"","","","","",NA,"","","","","SGI40","SGI40","","",""
"41","executive capacity-SGI-Total","119-SGI-Total"," Executive Capacity","Total"," Executive Capacity","SGI","Total","Total","Value",4.809,"Public Sector Management","Administrative and Policymaking capacity","Other","Executive Capacity","",NA,"","","","","",NA,"","","","","SGI41","SGI41","","",""
"42","families-SGI-Total","124-SGI-Total"," Families","Total"," Families","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"43","family policy-SGI-Total","125-SGI-Total"," Family Policy","Total"," Family Policy","SGI","Total","Total","Value",4.324,"Public Sector Management","Service Delivery","Other","Family Policy","",NA,"","","","","",NA,"","","","","SGI47","SGI47","","",""
"44","fb-n employment-SGI-Total","120-SGI-Total"," FB-N Employment","Total"," FB-N Employment","SGI","Total","Total","Value",4.065,"Public Sector Management","Personnel Management","Other","FBN Employment","",NA,"","","","","",NA,"","","","","SGI42","SGI42","","",""
"45","fb-n tertiary attainment-SGI-Total","121-SGI-Total"," FB-N Tertiary Attainment","Total"," FB-N Tertiary Attainment","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"46","fb-n unemployment-SGI-Total","122-SGI-Total"," FB-N Unemployment","Total"," FB-N Unemployment","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"47","fb-n upper secondary attainment-SGI-Total","123-SGI-Total"," FB-N Upper Secondary Attainment","Total"," FB-N Upper Secondary Attainment","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"48","fertility rate-SGI-Total","126-SGI-Total"," Fertility Rate","Total"," Fertility Rate","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"49","gdp per capita-SGI-Total","127-SGI-Total"," GDP per Capita","Total"," GDP per Capita","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"50","gender equality in parliaments-SGI-Total","131-SGI-Total"," Gender Equality in Parliaments","Total"," Gender Equality in Parliaments","SGI","Total","Total","Value",3.02,"Checks and Balances","Legislative System","Other","Gender Equality in Parliaments","",NA,"","","","","",NA,"","","","","SGI52","SGI52","","",""
"51","gini coefficient-SGI-Total","132-SGI-Total"," Gini Coefficient","Total"," Gini Coefficient","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"52","global environmental policy-SGI-Total","133-SGI-Total"," Global Environmental Policy","Total"," Global Environmental Policy","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"53","global environmental protection-SGI-Total","134-SGI-Total"," Global Environmental Protection","Total"," Global Environmental Protection","SGI","Total","Total","Value",4.984,"Public Sector Management","Service Delivery","Other","Global Environmental Protection","",NA,"","","","","",NA,"","","","","SGI55","SGI55","","",""
"54","global financial system-SGI-Total","135-SGI-Total"," Global Financial System","Total"," Global Financial System","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"55","global inequalities-SGI-Total","136-SGI-Total"," Global Inequalities","Total"," Global Inequalities","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"56","global social policy-SGI-Total","137-SGI-Total"," Global Social Policy","Total"," Global Social Policy","SGI","Total","Total","Value",4.941,"Public Sector Management","Service Delivery","Other","Global Social Policy","",NA,"","","","","",NA,"","","","","SGI58","SGI58","","",""
"57","go expertise-SGI-Total","129-SGI-Total"," GO Expertise","Total"," GO Expertise","SGI","Total","Total","Value",4.212,"Public Sector Management","Administrative and Policymaking capacity","Other","GO Expertise","",NA,"","","","","",NA,"","","","","SGI50","SGI50","","",""
"58","go gatekeeping-SGI-Total","130-SGI-Total"," GO Gatekeeping","Total"," GO Gatekeeping","SGI","Total","Total","Value",5.079,"Public Sector Management","Administrative and Policymaking capacity","Other","GO Gatekeeping","",NA,"","","","","",NA,"","","","","SGI51","SGI51","","",""
"59","governance-SGI-Total","138-SGI-Total"," Governance","Total"," Governance","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"60","government efficiency-SGI-Total","140-SGI-Total"," Government Efficiency","Total"," Government Efficiency","SGI","Total","Total","Value",2.03,"General Governance","Overall Governance","Other","Government Efficiency","",NA,"","","","","",NA,"","","","","SGI60","SGI60","","",""
"61","greenhouse gas emissions-SGI-Total","141-SGI-Total"," Greenhouse Gas Emissions","Total"," Greenhouse Gas Emissions","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"62","gross fixed capital formation-SGI-Total","142-SGI-Total"," Gross Fixed Capital Formation","Total"," Gross Fixed Capital Formation","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"63","health policy-SGI-Total","144-SGI-Total"," Health Policy","Total"," Health Policy","SGI","Total","Total","Value",5.074,"Public Sector Management","Service Delivery","Other","Health Policy","",NA,"","","","","",NA,"","","","","SGI64","SGI64","","",""
"64","health-SGI-Total","143-SGI-Total"," Health","Total"," Health","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"65","homicides-SGI-Total","145-SGI-Total"," Homicides","Total"," Homicides","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"66","implementation-SGI-Total","146-SGI-Total"," Implementation","Total"," Implementation","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"67","infant mortality-SGI-Total","147-SGI-Total"," Infant Mortality","Total"," Infant Mortality","SGI","Total","Total","Value",5.14,"Public Sector Management","Service Delivery","Other","Infant Mortality","",NA,"","","","","",NA,"","","","","SGI67","SGI67","","",""
"68","inflation-SGI-Total","148-SGI-Total"," Inflation","Total"," Inflation","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"69","informal coordination-SGI-Total","149-SGI-Total"," Informal Coordination","Total"," Informal Coordination","SGI","Total","Total","Value",4.074,"Security","Violent conflict","Other","Informal Coordination","",NA,"","","","","",NA,"","","","","SGI69","SGI69","","",""
"70","institutional reform-SGI-Total","151-SGI-Total"," Institutional Reform","Total"," Institutional Reform","SGI","Total","Total","Value",1.01,"General Governance","Overall Governance","Other","Institutional Reform","",NA,"","","","","",NA,"","","","","SGI70","SGI70","","",""
"71","integration policy-SGI-Total","153-SGI-Total"," Integration Policy","Total"," Integration Policy","SGI","Total","Total","Value",5.081,"Public Sector Management","Service Delivery","Other","Integration Policy","",NA,"","","","","",NA,"","","","","SGI72","SGI72","","",""
"72","integration-SGI-Total","152-SGI-Total"," Integration","Total"," Integration","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"73","intellectual property licenses-SGI-Total","154-SGI-Total"," Intellectual Property Licenses","Total"," Intellectual Property Licenses","SGI","Total","Total","Value",4.443,"Private Sector Interface","Property rights and contracts","Other","Intellectual Property Licenses","",NA,"","","","","",NA,"","","","","SGI73","SGI73","","",""
"74","interministerial coordination-SGI-Total","155-SGI-Total"," Interministerial Coordination","Total"," Interministerial Coordination","SGI","Total","Total","Value",5.046,"Public Sector Management","Administrative and Policymaking capacity","Other","Interministerial Coordination","",NA,"","","","","",NA,"","","","","SGI74","SGI74","","",""
"75","international coordination-SGI-Total","156-SGI-Total"," International Coordination","Total"," International Coordination","SGI","Total","Total","Value",4.452,"Public Sector Management","Administrative and Policymaking capacity","Other","International Coordination","",NA,"","","","","",NA,"","","","","SGI75","SGI75","","",""
"76","intra-party democracy-SGI-Total","157-SGI-Total"," Intra-party Democracy","Total"," Intra-party Democracy","SGI","Total","Total","Value",3.03,"Political Accountability","Political Parties","Other","Intraparty Democracy","",NA,"","","","","",NA,"","","","","SGI76","SGI76","","",""
"77","judicial review-SGI-Total","158-SGI-Total"," Judicial Review","Total"," Judicial Review","SGI","Total","Total","Value",5.241,"Checks and Balances","Judiciary System","Other","Judicial Review","",NA,"","","","","",NA,"","","","","SGI77","SGI77","","",""
"78","kyoto participation and achievements-SGI-Total","159-SGI-Total"," Kyoto Participation and Achievements","Total"," Kyoto Participation and Achievements","SGI","Total","Total","Value",4.29,"Public Sector Management","Service Delivery","Other","Kyoto Participation and Achievements","",NA,"","","","","",NA,"","","","","SGI78","SGI78","","",""
"79","labor market policy-SGI-Total","160-SGI-Total"," Labor Market Policy","Total"," Labor Market Policy","SGI","Total","Total","Value",4.438,"Private Sector Interface","Regulation of entry and exit","Other","Labor Market Policy","",NA,"","","","","",NA,"","","","","SGI79","SGI79","","",""
"80","labor markets-SGI-Total","162-SGI-Total"," Labor Markets","Total"," Labor Markets","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"81","legal certainty-SGI-Total","163-SGI-Total"," Legal Certainty","Total"," Legal Certainty","SGI","Total","Total","Value",5.05,"Public Sector Management","Enforcement","Other","Legal Certainty","",NA,"","","","","",NA,"","","","","SGI81","SGI81","","",""
"82","legislative actors' resources-SGI-Total","164-SGI-Total"," Legislative Actors' Resources","Total"," Legislative Actors' Resources","SGI","Total","Total","Value",5.238,"Checks and Balances","Legislative System","Other","Legislative Actors Resources","",NA,"","","","","",NA,"","","","","SGI82","SGI82","","",""
"83","life expectancy-SGI-Total","165-SGI-Total"," Life Expectancy","Total"," Life Expectancy","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"84","life satisfaction-SGI-Total","166-SGI-Total"," Life Satisfaction","Total"," Life Satisfaction","SGI","Total","Total","Value",2.02,"Trust","Social cohesion (trust in others)","Other","Life Satisfaction","",NA,"","","","","",NA,"","","","","SGI84","SGI84","","",""
"85","line ministries-SGI-Total","167-SGI-Total"," Line Ministries","Total"," Line Ministries","SGI","Total","Total","Value",5.066,"Public Sector Management","Administrative and Policymaking capacity","Other","Line Ministries","",NA,"","","","","",NA,"","","","","SGI85","SGI85","","",""
"86","long-term unemployment-SGI-Total","168-SGI-Total"," Long-term Unemployment","Total"," Long-term Unemployment","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"87","low pay incidence-SGI-Total","169-SGI-Total"," Low Pay Incidence","Total"," Low Pay Incidence","SGI","Total","Total","Value",4.62,"Public Sector Management","Personnel Management","Other","Low Pay Incidence","",NA,"","","","","",NA,"","","","","SGI87","SGI87","","",""
"88","low-skilled unemployment-SGI-Total","170-SGI-Total"," Low-skilled Unemployment","Total"," Low-skilled Unemployment","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"89","marginal tax burden for businesses-SGI-Total","171-SGI-Total"," Marginal Tax Burden for Businesses","Total"," Marginal Tax Burden for Businesses","SGI","Total","Total","Value",4.428,"Private Sector Interface","Regulation of entry and exit","Other","Marginal Tax Burden for Businesses","",NA,"","","","","",NA,"","","","","SGI89","SGI89","","",""
"90","material recycling-SGI-Total","173-SGI-Total"," Material Recycling","Total"," Material Recycling","SGI","Total","Total","Value",4.696,"Public Sector Management","Service Delivery","Other","Material Recycling","",NA,"","","","","",NA,"","","","","SGI90","SGI90","","",""
"91","media access-SGI-Total","175-SGI-Total"," Media Access","Total"," Media Access","SGI","Total","Total","Value",4.306,"Citizen Engagement","Freedom of expression","Other","Media Access","",NA,"","","","","",NA,"","","","","SGI92","SGI92","","",""
"92","media freedom-SGI-Total","176-SGI-Total"," Media Freedom","Total"," Media Freedom","SGI","Total","Total","Value",2.05,"Citizen Engagement","Freedom of expression","Other","Media Freedom","",NA,"","","","","",NA,"","","","","SGI93","SGI93","","",""
"93","media pluralism-SGI-Total","177-SGI-Total"," Media Pluralism","Total"," Media Pluralism","SGI","Total","Total","Value",4.152,"Citizen Engagement","Freedom of expression","Other","Media Pluralism","",NA,"","","","","",NA,"","","","","SGI94","SGI94","","",""
"94","media reporting-SGI-Total","178-SGI-Total"," Media Reporting","Total"," Media Reporting","SGI","Total","Total","Value",4.227,"Citizen Engagement","Freedom of expression","Other","Media Reporting","",NA,"","","","","",NA,"","","","","SGI95","SGI95","","",""
"95","media-SGI-Total","174-SGI-Total"," Media","Total"," Media","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"96","ministerial bureaucracy-SGI-Total","179-SGI-Total"," Ministerial Bureaucracy","Total"," Ministerial Bureaucracy","SGI","Total","Total","Value",4.33,"Public Sector Management","Administrative and Policymaking capacity","Other","Ministerial Bureaucracy","",NA,"","","","","",NA,"","","","","SGI96","SGI96","","",""
"97","ministerial compliance-SGI-Total","180-SGI-Total"," Ministerial Compliance","Total"," Ministerial Compliance","SGI","Total","Total","Value",5.337,"Checks and Balances","Oversight institutions","Other","Ministerial Compliance","",NA,"","","","","",NA,"","","","","SGI97","SGI97","","",""
"98","monitoring agencies, bureaucracies-SGI-Total","181-SGI-Total"," Monitoring Agencies, Bureaucracies","Total"," Monitoring Agencies, Bureaucracies","SGI","Total","Total","Value",5.188,"Checks and Balances","Oversight institutions","Other","Monitoring Agencies Bureaucracies","",NA,"","","","","",NA,"","","","","SGI98","SGI98","","",""
"99","monitoring ministries-SGI-Total","182-SGI-Total"," Monitoring Ministries","Total"," Monitoring Ministries","SGI","Total","Total","Value",4.887,"Checks and Balances","Oversight institutions","Other","Monitoring Ministries","",NA,"","","","","",NA,"","","","","SGI99","SGI99","","",""
"100","multilateral environmental agreements-SGI-Total","3-SGI-Total"," Multilateral Environmental Agreements","Total"," Multilateral Environmental Agreements","SGI","Total","Total","Value",4.992,"Public Sector Management","Service Delivery","Other","Multilateral Environmental Agreements","",NA,"","","","","",NA,"","","","","SGI100","SGI100","","",""
"101","national standards-SGI-Total","5-SGI-Total"," National Standards","Total"," National Standards","SGI","Total","Total","Value",4.108,"Public Sector Management","Administrative and Policymaking capacity","Other","National Standards","",NA,"","","","","",NA,"","","","","SGI102","SGI102","","",""
"102","neet rate-SGI-Total","4-SGI-Total"," NEET Rate","Total"," NEET Rate","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"103","negotiating public support-SGI-Total","6-SGI-Total"," Negotiating Public Support","Total"," Negotiating Public Support","SGI","Total","Total","Value",4.417,"Citizen Engagement","Civil Society Participation","Other","Negotiating Public Support","",NA,"","","","","",NA,"","","","","SGI103","SGI103","","",""
"104","newspaper circulation-SGI-Total","7-SGI-Total"," Newspaper Circulation","Total"," Newspaper Circulation","SGI","Total","Total","Value",4.425,"Citizen Engagement","Freedom of expression","Other","Newspaper Circulation","",NA,"","","","","",NA,"","","","","SGI104","SGI104","","",""
"105","non-discrimination-SGI-Total","8-SGI-Total"," Non-discrimination","Total"," Non-discrimination","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"106","non-public r&d spending-SGI-Total","9-SGI-Total"," Non-public R&D Spending","Total"," Non-public R&D Spending","SGI","Total","Total","Value",4.336,"Public Sector Management","Public Expenditure Management","Other","Non-public R&D Spending","",NA,"","","","","",NA,"","","","","SGI106","SGI106","","",""
"107","obtaining documents-SGI-Total","11-SGI-Total"," Obtaining Documents","Total"," Obtaining Documents","SGI","Total","Total","Value",4.517,"Public Sector Management","Service Delivery","Other","Obtaining Documents","",NA,"","","","","",NA,"","","","","SGI108","SGI108","","",""
"108","oda-SGI-Total","10-SGI-Total"," ODA","Total"," ODA","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
