"","Indicator_Id","dataset","iso3","subset","year","group","question","answer","value","Indicator"
"14","1-CPIA-Total","CPIA","IND","All",2013,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"15","1-CPIA-Total","CPIA","DMA","All",2006,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"16","1-CPIA-Total","CPIA","UZB","All",2014,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"17","1-CPIA-Total","CPIA","ERI","All",2014,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"18","1-CPIA-Total","CPIA","SLE","All",2015,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"19","1-CPIA-Total","CPIA","SLE","All",2007,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"20","1-CPIA-Total","CPIA","BOL","All",2015,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"21","1-CPIA-Total","CPIA","MRT","All",2016,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"22","1-CPIA-Total","CPIA","FXS","All",2016,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.08333333333333,"building human resources-CPIA-Total"
"23","1-CPIA-Total","CPIA","MDV","All",2008,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"24","1-CPIA-Total","CPIA","COG","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"25","1-CPIA-Total","CPIA","DSF","All",2008,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",2.8,"building human resources-CPIA-Total"
"26","1-CPIA-Total","CPIA","GRD","All",2009,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"27","1-CPIA-Total","CPIA","TJK","All",2010,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"28","1-CPIA-Total","CPIA","MMR","All",2013,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"29","1-CPIA-Total","CPIA","CMR","All",2010,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"30","1-CPIA-Total","CPIA","NER","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"31","1-CPIA-Total","CPIA","AFG","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"32","1-CPIA-Total","CPIA","ZMB","All",2015,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"33","1-CPIA-Total","CPIA","MDV","All",2012,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"34","1-CPIA-Total","CPIA","DNF","All",2012,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.83720930232558,"building human resources-CPIA-Total"
"35","1-CPIA-Total","CPIA","KEN","All",2013,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"36","1-CPIA-Total","CPIA","ERI","All",2006,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"37","1-CPIA-Total","CPIA","VUT","All",2014,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"38","1-CPIA-Total","CPIA","ETH","All",2014,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4.5,"building human resources-CPIA-Total"
"39","1-CPIA-Total","CPIA","SLB","All",2015,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"40","1-CPIA-Total","CPIA","SLB","All",2007,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"41","1-CPIA-Total","CPIA","BFA","All",2015,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"42","1-CPIA-Total","CPIA","FSM","All",2016,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"43","1-CPIA-Total","CPIA","DSF","All",2016,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.20588235294118,"building human resources-CPIA-Total"
"44","1-CPIA-Total","CPIA","MLI","All",2008,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"45","1-CPIA-Total","CPIA","CIV","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"46","1-CPIA-Total","CPIA","DNS","All",2008,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.61904761904762,"building human resources-CPIA-Total"
"47","1-CPIA-Total","CPIA","GIN","All",2009,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"48","1-CPIA-Total","CPIA","TZA","All",2010,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"49","1-CPIA-Total","CPIA","NPL","All",2013,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4.5,"building human resources-CPIA-Total"
"50","1-CPIA-Total","CPIA","CAF","All",2010,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",2.5,"building human resources-CPIA-Total"
"51","1-CPIA-Total","CPIA","NGA","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"52","1-CPIA-Total","CPIA","AGO","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"53","1-CPIA-Total","CPIA","ZWE","All",2015,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"54","1-CPIA-Total","CPIA","MLI","All",2012,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"55","1-CPIA-Total","CPIA","NXS","All",2012,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.92307692307692,"building human resources-CPIA-Total"
"56","1-CPIA-Total","CPIA","KIR","All",2013,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"57","1-CPIA-Total","CPIA","ETH","All",2006,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"58","1-CPIA-Total","CPIA","VNM","All",2014,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"59","1-CPIA-Total","CPIA","GMB","All",2014,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"60","1-CPIA-Total","CPIA","SSD","All",2015,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",2.5,"building human resources-CPIA-Total"
"61","1-CPIA-Total","CPIA","LKA","All",2007,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"62","1-CPIA-Total","CPIA","BDI","All",2015,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"63","1-CPIA-Total","CPIA","MDA","All",2016,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"64","1-CPIA-Total","CPIA","DNS","All",2016,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.83333333333333,"building human resources-CPIA-Total"
"65","1-CPIA-Total","CPIA","MRT","All",2008,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"66","1-CPIA-Total","CPIA","DJI","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"67","1-CPIA-Total","CPIA","DNF","All",2008,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.66279069767442,"building human resources-CPIA-Total"
"68","1-CPIA-Total","CPIA","GNB","All",2009,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",2,"building human resources-CPIA-Total"
"69","1-CPIA-Total","CPIA","TLS","All",2010,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"70","1-CPIA-Total","CPIA","NIC","All",2013,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"71","1-CPIA-Total","CPIA","TCD","All",2010,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",2.5,"building human resources-CPIA-Total"
"72","1-CPIA-Total","CPIA","PAK","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"73","1-CPIA-Total","CPIA","ARM","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"74","1-CPIA-Total","CPIA","DFS","All",2014,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.2,"building human resources-CPIA-Total"
"75","1-CPIA-Total","CPIA","MHL","All",2012,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"76","1-CPIA-Total","CPIA","IDA","All",2012,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.54166666666667,"building human resources-CPIA-Total"
"77","1-CPIA-Total","CPIA","XKX","All",2013,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"78","1-CPIA-Total","CPIA","GMB","All",2006,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"79","1-CPIA-Total","CPIA","YEM","All",2014,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"80","1-CPIA-Total","CPIA","GHA","All",2014,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"81","1-CPIA-Total","CPIA","LKA","All",2015,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4.5,"building human resources-CPIA-Total"
"82","1-CPIA-Total","CPIA","LCA","All",2007,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"83","1-CPIA-Total","CPIA","BIH","All",2007,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"84","1-CPIA-Total","CPIA","MNG","All",2016,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"85","1-CPIA-Total","CPIA","DNF","All",2016,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.8953488372093,"building human resources-CPIA-Total"
"86","1-CPIA-Total","CPIA","MDA","All",2008,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"87","1-CPIA-Total","CPIA","DMA","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4.5,"building human resources-CPIA-Total"
"88","1-CPIA-Total","CPIA","NXS","All",2008,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.75,"building human resources-CPIA-Total"
"89","1-CPIA-Total","CPIA","GUY","All",2009,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"90","1-CPIA-Total","CPIA","TGO","All",2010,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"91","1-CPIA-Total","CPIA","NER","All",2013,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"92","1-CPIA-Total","CPIA","COM","All",2010,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"93","1-CPIA-Total","CPIA","PNG","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",2.5,"building human resources-CPIA-Total"
"94","1-CPIA-Total","CPIA","BGD","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"95","1-CPIA-Total","CPIA","FXS","All",2014,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.125,"building human resources-CPIA-Total"
"96","1-CPIA-Total","CPIA","MRT","All",2012,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"97","1-CPIA-Total","CPIA","DXS","All",2012,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.64864864864865,"building human resources-CPIA-Total"
"98","1-CPIA-Total","CPIA","KGZ","All",2013,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"99","1-CPIA-Total","CPIA","GEO","All",2006,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"100","1-CPIA-Total","CPIA","ZMB","All",2014,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"101","1-CPIA-Total","CPIA","GRD","All",2014,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4.5,"building human resources-CPIA-Total"
"102","1-CPIA-Total","CPIA","LCA","All",2015,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"103","1-CPIA-Total","CPIA","VCT","All",2007,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"104","1-CPIA-Total","CPIA","BFA","All",2007,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"105","1-CPIA-Total","CPIA","MOZ","All",2016,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"106","1-CPIA-Total","CPIA","NXS","All",2016,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.95652173913044,"building human resources-CPIA-Total"
"107","1-CPIA-Total","CPIA","MNG","All",2008,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"108","1-CPIA-Total","CPIA","ERI","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"109","1-CPIA-Total","CPIA","IDA","All",2008,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.37878787878788,"building human resources-CPIA-Total"
"110","1-CPIA-Total","CPIA","HTI","All",2009,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",2.5,"building human resources-CPIA-Total"
"111","1-CPIA-Total","CPIA","TON","All",2010,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"112","1-CPIA-Total","CPIA","NGA","All",2013,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"113","1-CPIA-Total","CPIA","COD","All",2010,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"114","1-CPIA-Total","CPIA","RWA","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4.5,"building human resources-CPIA-Total"
"115","1-CPIA-Total","CPIA","BEN","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"116","1-CPIA-Total","CPIA","DSF","All",2014,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.20588235294118,"building human resources-CPIA-Total"
"117","1-CPIA-Total","CPIA","FSM","All",2012,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"118","1-CPIA-Total","CPIA","NRS","All",2012,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.68421052631579,"building human resources-CPIA-Total"
"119","1-CPIA-Total","CPIA","LAO","All",2013,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"120","1-CPIA-Total","CPIA","GHA","All",2006,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"121","1-CPIA-Total","CPIA","ZWE","All",2014,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"122","1-CPIA-Total","CPIA","GIN","All",2014,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"123","1-CPIA-Total","CPIA","VCT","All",2015,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4.5,"building human resources-CPIA-Total"
"124","1-CPIA-Total","CPIA","SDN","All",2007,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",2.5,"building human resources-CPIA-Total"
"125","1-CPIA-Total","CPIA","BDI","All",2007,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"126","1-CPIA-Total","CPIA","MMR","All",2016,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"127","1-CPIA-Total","CPIA","IDA","All",2016,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.6027397260274,"building human resources-CPIA-Total"
"128","1-CPIA-Total","CPIA","MOZ","All",2008,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"129","1-CPIA-Total","CPIA","ETH","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4.5,"building human resources-CPIA-Total"
"130","1-CPIA-Total","CPIA","DXS","All",2008,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.56060606060606,"building human resources-CPIA-Total"
"131","1-CPIA-Total","CPIA","HND","All",2009,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"132","1-CPIA-Total","CPIA","UGA","All",2010,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"133","1-CPIA-Total","CPIA","PAK","All",2013,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"134","1-CPIA-Total","CPIA","COG","All",2010,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"135","1-CPIA-Total","CPIA","WSM","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"136","1-CPIA-Total","CPIA","BTN","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4.5,"building human resources-CPIA-Total"
"137","1-CPIA-Total","CPIA","DNS","All",2014,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.78571428571429,"building human resources-CPIA-Total"
"138","1-CPIA-Total","CPIA","MDA","All",2012,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"139","1-CPIA-Total","CPIA","NLS","All",2012,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.78571428571429,"building human resources-CPIA-Total"
"140","1-CPIA-Total","CPIA","LSO","All",2013,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"141","1-CPIA-Total","CPIA","GRD","All",2006,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"142","1-CPIA-Total","CPIA","DFS","All",2013,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.13333333333333,"building human resources-CPIA-Total"
"143","1-CPIA-Total","CPIA","GNB","All",2014,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",2.5,"building human resources-CPIA-Total"
"144","1-CPIA-Total","CPIA","SDN","All",2015,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"145","1-CPIA-Total","CPIA","TJK","All",2007,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"146","1-CPIA-Total","CPIA","CPV","All",2007,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4.5,"building human resources-CPIA-Total"
"147","1-CPIA-Total","CPIA","NPL","All",2016,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4.5,"building human resources-CPIA-Total"
"148","1-CPIA-Total","CPIA","DXS","All",2016,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.65714285714286,"building human resources-CPIA-Total"
"149","1-CPIA-Total","CPIA","NPL","All",2008,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"150","1-CPIA-Total","CPIA","GMB","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"151","1-CPIA-Total","CPIA","NRS","All",2008,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.3421052631579,"building human resources-CPIA-Total"
"152","1-CPIA-Total","CPIA","IND","All",2009,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"153","1-CPIA-Total","CPIA","UZB","All",2010,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"154","1-CPIA-Total","CPIA","PNG","All",2013,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",2.5,"building human resources-CPIA-Total"
"155","1-CPIA-Total","CPIA","CIV","All",2010,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",2.5,"building human resources-CPIA-Total"
"156","1-CPIA-Total","CPIA","STP","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"157","1-CPIA-Total","CPIA","BOL","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"158","1-CPIA-Total","CPIA","DNF","All",2014,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.86046511627907,"building human resources-CPIA-Total"
"159","1-CPIA-Total","CPIA","MNG","All",2012,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"160","1-CPIA-Total","CPIA","RRS","All",2012,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.25,"building human resources-CPIA-Total"
"161","1-CPIA-Total","CPIA","LBR","All",2013,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"162","1-CPIA-Total","CPIA","GIN","All",2006,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"163","1-CPIA-Total","CPIA","FXS","All",2013,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.04166666666667,"building human resources-CPIA-Total"
"164","1-CPIA-Total","CPIA","GUY","All",2014,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"165","1-CPIA-Total","CPIA","TJK","All",2015,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"166","1-CPIA-Total","CPIA","TZA","All",2007,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
