"","Indicator","Indicator_Id","Indicator_Name","Display_Name","Dataset","answer","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"19","crime is effectively controlled-WJP-Total","66-WJP-Total","5.1","Crime is effectively controlled","WJP","Total","Total","Total","Value",4.436,"Citizen Engagement","Open Government and Transparency","Other","Crime is effectively controlled (51)","",NA,"","","","","",NA,"","","","","WJP36","WJP36","","",""
"20","crime is effectively controlled-WJP-Total","66-WJP-Total","5.1","Crime is effectively controlled","WJP","Total","Total","Total","Value",4.028,"Security","Crime","Other","Crime is effectively controlled (31)","",NA,"","","","","",NA,"","","","","WJP17","WJP17","","",""
"21","crime is effectively controlled-WJP-Total","39-WJP-Total","3.1","Crime is effectively controlled","WJP","Total","Total","Total","Value",4.436,"Citizen Engagement","Open Government and Transparency","Other","Crime is effectively controlled (51)","",NA,"","","","","",NA,"","","","","WJP36","WJP36","","",""
"22","crime is effectively controlled-WJP-Total","39-WJP-Total","3.1","Crime is effectively controlled","WJP","Total","Total","Total","Value",4.028,"Security","Crime","Other","Crime is effectively controlled (31)","",NA,"","","","","",NA,"","","","","WJP17","WJP17","","",""
"23","criminal adjudication system is timely and effective-WJP-Total","6-WJP-Total","8.2","Criminal adjudication system is timely and effective","WJP","Total","Total","Total","Value",5.53,"Checks and Balances","Judiciary System","Other","Criminal adjudication system is timely and effective (82)","",NA,"","","","","",NA,"","","","","WJP60","WJP60","","",""
"24","criminal investigation system is effective-WJP-Total","7-WJP-Total","8.1","Criminal investigation system is effective","WJP","Total","Total","Total","Value",4.539,"Checks and Balances","Judiciary System","Other","Criminal investigation system is effective (81)","",NA,"","","","","",NA,"","","","","WJP59","WJP59","","",""
"25","criminal system is free of corruption-WJP-Total","3-WJP-Total","8.5","Criminal system is free of corruption","WJP","Total","Total","Total","Value",4.972,"Checks and Balances","Judiciary System","Other","Criminal system is free of corruption (85)","",4.002,"Absence of Corruption","Prevention and sanction","Other","Criminal system is free of corruption (85)","",4.003,"Absence of Corruption","Incidence","Other","Criminal system is free of corruption (85)","WJP63","WJP63","","",""
"26","criminal system is free of improper government influence-WJP-Total","2-WJP-Total","8.6","Criminal system is free of improper government influence","WJP","Total","Total","Total","Value",4.013,"Checks and Balances","Judiciary System","Other","Criminal system is free of improper government influence (86)","",4.005,"Absence of Corruption","Prevention and sanction","Other","Criminal system is free of improper government influence (86)","",4.002,"Absence of Corruption","Incidence","Other","Criminal system is free of improper government influence (86)","WJP64","WJP64","","",""
"27","criminal system is impartial-WJP-Total","4-WJP-Total","8.4","Criminal system is impartial","WJP","Total","Total","Total","Value",5.323,"Checks and Balances","Judiciary System","Other","Criminal system is impartial (84)","",NA,"","","","","",NA,"","","","","WJP62","WJP62","","",""
"28","due process is respected in administrative proceedings-WJP-Total","18-WJP-Total","6.4","Due process is respected in administrative proceedings","WJP","Total","Total","Total","Value",2.06,"Public Sector Management","Enforcement","Other","Due process is respected in administrative proceedings (64)","",NA,"","","","","",NA,"","","","","WJP46","WJP46","","",""
"29","due process of law and rights of the accused-WJP-Total","33-WJP-Total","4.3","Due process of law and rights of the accused","WJP","Total","Total","Total","Value",1.01,"Citizen Engagement","Civil Rights","Other","Due process of law and rights of the accused (43)","",NA,"","","","","",NA,"","","","","WJP30","WJP30","","",""
"30","due process of law and rights of the accused-WJP-Total","33-WJP-Total","4.3","Due process of law and rights of the accused","WJP","Total","Total","Total","Value",4.317,"Checks and Balances","Judiciary System","Other","Due process of law and rights of the accused (87)","",NA,"","","","","",NA,"","","","","WJP65","WJP65","","",""
"31","due process of law and rights of the accused-WJP-Total","1-WJP-Total","8.7","Due process of law and rights of the accused","WJP","Total","Total","Total","Value",1.01,"Citizen Engagement","Civil Rights","Other","Due process of law and rights of the accused (43)","",NA,"","","","","",NA,"","","","","WJP30","WJP30","","",""
"32","due process of law and rights of the accused-WJP-Total","1-WJP-Total","8.7","Due process of law and rights of the accused","WJP","Total","Total","Total","Value",4.317,"Checks and Balances","Judiciary System","Other","Due process of law and rights of the accused (87)","",NA,"","","","","",NA,"","","","","WJP65","WJP65","","",""
"33","due process of law and the rights of the accused-WJP-Total","72-WJP-Total","8.7","Due process of law and the rights of the accused","WJP","Total","Total","Total","Value",4.717,"Checks and Balances","Judiciary System","Other","Due process of law and the rights of the accused (87)","",NA,"","","","","",NA,"","","","","WJP66","WJP66","","",""
"34","equal treatment and absence of discrimination-WJP-Total","35-WJP-Total","4.1","Equal treatment and absence of discrimination","WJP","Total","Total","Total","Value",2.02,"Citizen Engagement","Civil Rights","Other","Equal treatment and absence of discrimination (41)","",NA,"","","","","",NA,"","","","","WJP28","WJP28","","",""
"35","factor 1 constraints on government powers-WJP-Total","53-WJP-Total","Factor 1","Factor 1 Constraints on Government Powers","WJP","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"36","factor 1 limited government powers-WJP-Total","52-WJP-Total","Factor 1","Factor 1 Limited Government Powers","WJP","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"37","factor 2 absence of corruption-WJP-Total","45-WJP-Total","Factor 2","Factor 2 Absence of Corruption","WJP","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"38","factor 3 open government-WJP-Total","60-WJP-Total","Factor 3","Factor 3 Open Government","WJP","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"39","factor 3 order and security-WJP-Total","40-WJP-Total","Factor 3","Factor 3 Order and Security","WJP","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"40","factor 4 fundamental rights-WJP-Total","36-WJP-Total","Factor 4","Factor 4 Fundamental Rights","WJP","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"41","factor 5 open government-WJP-Total","27-WJP-Total","Factor 5","Factor 5 Open Government","WJP","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"42","factor 5 order and security-WJP-Total","65-WJP-Total","Factor 5","Factor 5 Order and Security","WJP","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"43","factor 6 regulatory enforcement-WJP-Total","22-WJP-Total","Factor 6","Factor 6 Regulatory Enforcement","WJP","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"44","factor 7 civil justice-WJP-Total","16-WJP-Total","Factor 7","Factor 7 Civil Justice","WJP","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"45","factor 8 criminal justice-WJP-Total","8-WJP-Total","Factor 8","Factor 8 Criminal Justice","WJP","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"46","freedom from arbitrary interference with privacy is effectively guaranteed-WJP-Total","30-WJP-Total","4.6","Freedom from arbitrary interference with privacy is effectively guaranteed","WJP","Total","Total","Total","Value",4.231,"Citizen Engagement","Civil Rights","Other","Freedom from arbitrary interference with privacy is effectively guaranteed (46)","",NA,"","","","","",NA,"","","","","WJP33","WJP33","","",""
"47","freedom of assembly and association is effectively guaranteed-WJP-Total","29-WJP-Total","4.7","Freedom of assembly and association is effectively guaranteed","WJP","Total","Total","Total","Value",4.223,"Citizen Engagement","Civil Society Participation","Other","Freedom of assembly and association is effectively guaranteed (47)","",NA,"","","","","",NA,"","","","","WJP34","WJP34","","",""
"48","freedom of belief and religion is effectively guaranteed-WJP-Total","31-WJP-Total","4.5","Freedom of belief and religion is effectively guaranteed","WJP","Total","Total","Total","Value",2.01,"Citizen Engagement","Civil Rights","Other","Freedom of belief and religion is effectively guaranteed (45)","",NA,"","","","","",NA,"","","","","WJP32","WJP32","","",""
"49","freedom of opinion and expression is effectively guaranteed-WJP-Total","32-WJP-Total","4.4","Freedom of opinion and expression is effectively guaranteed","WJP","Total","Total","Total","Value",1.02,"Citizen Engagement","Freedom of expression","Other","Freedom of opinion and expression is effectively guaranteed (44)","",NA,"","","","","",NA,"","","","","WJP31","WJP31","","",""
"50","fundamental labor rights are effectively guaranteed-WJP-Total","28-WJP-Total","4.8","Fundamental labor rights are effectively guaranteed","WJP","Total","Total","Total","Value",4.265,"Citizen Engagement","Civil Rights","Other","Fundamental labor rights are effectively guaranteed (48)","",NA,"","","","","",NA,"","","","","WJP35","WJP35","","",""
"51","government officials are sanctioned for misconduct-WJP-Total","57-WJP-Total","1.4","Government officials are sanctioned for misconduct","WJP","Total","Total","Total","Value",4.752,"Checks and Balances","Judiciary System","Other","Government officials are sanctioned for misconduct (15)","",NA,"","","","","",NA,"","","","","WJP8","WJP8","","",""
"52","government officials are sanctioned for misconduct-WJP-Total","57-WJP-Total","1.4","Government officials are sanctioned for misconduct","WJP","Total","Total","Total","Value",4.302,"Checks and Balances","Oversight institutions","Other","Government officials are sanctioned for misconduct (14)","",NA,"","","","","",NA,"","","","","WJP6","WJP6","","",""
"53","government officials are sanctioned for misconduct-WJP-Total","48-WJP-Total","1.5","Government officials are sanctioned for misconduct","WJP","Total","Total","Total","Value",4.752,"Checks and Balances","Judiciary System","Other","Government officials are sanctioned for misconduct (15)","",NA,"","","","","",NA,"","","","","WJP8","WJP8","","",""
"54","government officials are sanctioned for misconduct-WJP-Total","48-WJP-Total","1.5","Government officials are sanctioned for misconduct","WJP","Total","Total","Total","Value",4.302,"Checks and Balances","Oversight institutions","Other","Government officials are sanctioned for misconduct (14)","",NA,"","","","","",NA,"","","","","WJP6","WJP6","","",""
"55","government officials in the executive branch do not use public office for private gain-WJP-Total","44-WJP-Total","2.1","Government officials in the executive branch do not use public office for private gain","WJP","Total","Total","Total","Value",4.672,"Public Sector Management","Personnel Management","Other","Government officials in the executive branch do not use public office for private gain (21)","",4.004,"Absence of Corruption","Perception","Other","Government officials in the executive branch do not use public office for private gain (21)","",NA,"","","","","WJP13","WJP13","","",""
"56","government officials in the judicial branch do not use public office for private gain-WJP-Total","43-WJP-Total","2.2","Government officials in the judicial branch do not use public office for private gain","WJP","Total","Total","Total","Value",4.122,"Absence of Corruption","Perception","Other","Government officials in the judicial branch do not use public office for private gain (22)","",NA,"","","","","",NA,"","","","","WJP14","WJP14","","",""
"57","government officials in the legislative branch do not use public office for private gain-WJP-Total","41-WJP-Total","2.4","Government officials in the legislative branch do not use public office for private gain","WJP","Total","Total","Total","Value",5.366,"Checks and Balances","Legislative System","Other","Government officials in the legislative branch do not use public office for private gain (24)","",4.003,"Absence of Corruption","Perception","Other","Government officials in the legislative branch do not use public office for private gain (24)","",NA,"","","","","WJP16","WJP16","","",""
"58","government officials in the police and the military do not use public office for private gain-WJP-Total","42-WJP-Total","2.3","Government officials in the police and the military do not use public office for private gain","WJP","Total","Total","Total","Value",3.05,"Absence of Corruption","Perception","Other","Government officials in the police and the military do not use public office for private gain (23)","",4.007,"Security","Police and Military","Other","Government officials in the police and the military do not use public office for private gain (23)","",NA,"","","","","WJP15","WJP15","","",""
"59","government powers are effectively limited by independent auditing and review-WJP-Total","56-WJP-Total","1.3","Government powers are effectively limited by independent auditing and review","WJP","Total","Total","Total","Value",4.639,"Checks and Balances","Judiciary System","Other","Government powers are effectively limited by independent auditing and review (13)","",NA,"","","","","",NA,"","","","","WJP4","WJP4","","",""
"60","government powers are effectively limited by independent auditing and review-WJP-Total","56-WJP-Total","1.3","Government powers are effectively limited by independent auditing and review","WJP","Total","Total","Total","Value",3.06,"Checks and Balances","Oversight institutions","Other","Government powers are effectively limited by independent auditing and review (14)","",NA,"","","","","",NA,"","","","","WJP7","WJP7","","",""
"61","government powers are effectively limited by independent auditing and review-WJP-Total","49-WJP-Total","1.4","Government powers are effectively limited by independent auditing and review","WJP","Total","Total","Total","Value",4.639,"Checks and Balances","Judiciary System","Other","Government powers are effectively limited by independent auditing and review (13)","",NA,"","","","","",NA,"","","","","WJP4","WJP4","","",""
"62","government powers are effectively limited by independent auditing and review-WJP-Total","49-WJP-Total","1.4","Government powers are effectively limited by independent auditing and review","WJP","Total","Total","Total","Value",3.06,"Checks and Balances","Oversight institutions","Other","Government powers are effectively limited by independent auditing and review (14)","",NA,"","","","","",NA,"","","","","WJP7","WJP7","","",""
"63","government powers are effectively limited by the judiciary-WJP-Total","50-WJP-Total","1.3","Government powers are effectively limited by the judiciary","WJP","Total","Total","Total","Value",5.393,"Checks and Balances","Legislative System","Other","Government powers are effectively limited by the judiciary (12)","",NA,"","","","","",NA,"","","","","WJP2","WJP2","","",""
"64","government powers are effectively limited by the judiciary-WJP-Total","50-WJP-Total","1.3","Government powers are effectively limited by the judiciary","WJP","Total","Total","Total","Value",5.471,"Checks and Balances","Judiciary System","Other","Government powers are effectively limited by the judiciary (13)","",NA,"","","","","",NA,"","","","","WJP5","WJP5","","",""
"65","government powers are effectively limited by the judiciary-WJP-Total","55-WJP-Total","1.2","Government powers are effectively limited by the judiciary","WJP","Total","Total","Total","Value",5.393,"Checks and Balances","Legislative System","Other","Government powers are effectively limited by the judiciary (12)","",NA,"","","","","",NA,"","","","","WJP2","WJP2","","",""
"66","government powers are effectively limited by the judiciary-WJP-Total","55-WJP-Total","1.2","Government powers are effectively limited by the judiciary","WJP","Total","Total","Total","Value",5.471,"Checks and Balances","Judiciary System","Other","Government powers are effectively limited by the judiciary (13)","",NA,"","","","","",NA,"","","","","WJP5","WJP5","","",""
"67","government powers are effectively limited by the legislature-WJP-Total","54-WJP-Total","1.1","Government powers are effectively limited by the legislature","WJP","Total","Total","Total","Value",4.729,"Checks and Balances","Judiciary System","Other","Government powers are effectively limited by the legislature (11)","",NA,"","","","","",NA,"","","","","WJP1","WJP1","","",""
"68","government powers are effectively limited by the legislature-WJP-Total","54-WJP-Total","1.1","Government powers are effectively limited by the legislature","WJP","Total","Total","Total","Value",2.08,"Checks and Balances","Legislative System","Other","Government powers are effectively limited by the legislature (12)","",NA,"","","","","",NA,"","","","","WJP3","WJP3","","",""
"69","government powers are effectively limited by the legislature-WJP-Total","51-WJP-Total","1.2","Government powers are effectively limited by the legislature","WJP","Total","Total","Total","Value",4.729,"Checks and Balances","Judiciary System","Other","Government powers are effectively limited by the legislature (11)","",NA,"","","","","",NA,"","","","","WJP1","WJP1","","",""
"70","government powers are effectively limited by the legislature-WJP-Total","51-WJP-Total","1.2","Government powers are effectively limited by the legislature","WJP","Total","Total","Total","Value",2.08,"Checks and Balances","Legislative System","Other","Government powers are effectively limited by the legislature (12)","",NA,"","","","","",NA,"","","","","WJP3","WJP3","","",""
"71","government powers are subject to nongovernmental checks-WJP-Total","47-WJP-Total","1.6","Government powers are subject to nongovernmental checks","WJP","Total","Total","Total","Value",4.244,"Political Accountability","Public Accountability Mechanisns","Other","Government powers are subject to non-governmental checks (16)","",NA,"","","","","",NA,"","","","","WJP10","WJP10","","",""
"72","government powers are subject to nongovernmental checks-WJP-Total","47-WJP-Total","1.6","Government powers are subject to nongovernmental checks","WJP","Total","Total","Total","Value",3.07,"Checks and Balances","Judiciary System","Other","Government powers are subject to non-governmental checks (15)¥Ë_","",NA,"","","","","",NA,"","","","","WJP9","WJP9","","",""
"73","government powers are subject to nongovernmental checks-WJP-Total","58-WJP-Total","1.5","Government powers are subject to nongovernmental checks","WJP","Total","Total","Total","Value",4.244,"Political Accountability","Public Accountability Mechanisns","Other","Government powers are subject to non-governmental checks (16)","",NA,"","","","","",NA,"","","","","WJP10","WJP10","","",""
"74","government powers are subject to nongovernmental checks-WJP-Total","58-WJP-Total","1.5","Government powers are subject to nongovernmental checks","WJP","Total","Total","Total","Value",3.07,"Checks and Balances","Judiciary System","Other","Government powers are subject to non-governmental checks (15)¥Ë_","",NA,"","","","","",NA,"","","","","WJP9","WJP9","","",""
"75","government regulations are applied and enforced without improper influence-WJP-Total","20-WJP-Total","6.2","Government regulations are applied and enforced without improper influence","WJP","Total","Total","Total","Value",4.289,"Public Sector Management","Enforcement","Other","Government regulations are applied and enforced without improper influence (62)","",NA,"","","","","",NA,"","","","","WJP44","WJP44","","",""
"76","government regulations are effectively enforced-WJP-Total","21-WJP-Total","6.1","Government regulations are effectively enforced","WJP","Total","Total","Total","Value",3.05,"Public Sector Management","Enforcement","Other","Government regulations are effectively enforced (61)","",NA,"","","","","",NA,"","","","","WJP43","WJP43","","",""
"77","official information is available on request-WJP-Total","76-WJP-Total","3.4","Official information is available on request","WJP","Total","Total","Total","Value",2.07,"Citizen Engagement","Open Government and Transparency","Other","Official information is available on request (54)","",NA,"","","","","",NA,"","","","","WJP42","WJP42","","",""
"78","official information is available on request-WJP-Total","76-WJP-Total","3.4","Official information is available on request","WJP","Total","Total","Total","Value",4.254,"Checks and Balances","Oversight institutions","Other","Official information is available on request (34)","",NA,"","","","","",NA,"","","","","WJP27","WJP27","","",""
"79","official information is available on request-WJP-Total","23-WJP-Total","5.4","Official information is available on request","WJP","Total","Total","Total","Value",2.07,"Citizen Engagement","Open Government and Transparency","Other","Official information is available on request (54)","",NA,"","","","","",NA,"","","","","WJP42","WJP42","","",""
"80","official information is available on request-WJP-Total","23-WJP-Total","5.4","Official information is available on request","WJP","Total","Total","Total","Value",4.254,"Checks and Balances","Oversight institutions","Other","Official information is available on request (34)","",NA,"","","","","",NA,"","","","","WJP27","WJP27","","",""
"81","people can access and afford civil justice-WJP-Total","15-WJP-Total","7.1","People can access and afford civil justice","WJP","Total","Total","Total","Value",4.262,"Checks and Balances","Judiciary System","Other","People can access and afford civil justice (71)","",NA,"","","","","",NA,"","","","","WJP49","WJP49","","",""
"82","people do not resort to violence to redress personal grievances-WJP-Total","68-WJP-Total","5.3","People do not resort to violence to redress personal grievances","WJP","Total","Total","Total","Value",4.082,"Security","Crime","Other","People do not resort to violence to redress personal grievances (33)","",NA,"","","","","",NA,"","","","","WJP24","WJP24","","",""
"83","people do not resort to violence to redress personal grievances-WJP-Total","68-WJP-Total","5.3","People do not resort to violence to redress personal grievances","WJP","Total","Total","Total","Value",2.09,"Citizen Engagement","Open Government and Transparency","Other","People do not resort to violence to redress personal grievances (53)","",NA,"","","","","",NA,"","","","","WJP40","WJP40","","",""
"84","people do not resort to violence to redress personal grievances-WJP-Total","37-WJP-Total","3.3","People do not resort to violence to redress personal grievances","WJP","Total","Total","Total","Value",4.082,"Security","Crime","Other","People do not resort to violence to redress personal grievances (33)","",NA,"","","","","",NA,"","","","","WJP24","WJP24","","",""
"85","people do not resort to violence to redress personal grievances-WJP-Total","37-WJP-Total","3.3","People do not resort to violence to redress personal grievances","WJP","Total","Total","Total","Value",2.09,"Citizen Engagement","Open Government and Transparency","Other","People do not resort to violence to redress personal grievances (53)","",NA,"","","","","",NA,"","","","","WJP40","WJP40","","",""
"86","publicized laws and government data-WJP-Total","61-WJP-Total","3.1","Publicized laws and government data","WJP","Total","Total","Total","Value",4.03,"Security","Crime","Other","Publicized laws and government data (31)","",NA,"","","","","",NA,"","","","","WJP18","WJP18","","",""
"87","right to information-WJP-Total","62-WJP-Total","3.2","Right to information","WJP","Total","Total","Total","Value",4.045,"Security","Crime","Other","Right to information (32)","",NA,"","","","","",NA,"","","","","WJP21","WJP21","","",""
"88","right to petition the government and public participation-WJP-Total","24-WJP-Total","5.3","Right to petition the government and public participation","WJP","Total","Total","Total","Value",2.08,"Citizen Engagement","Open Government and Transparency","Other","Right to petition the government and public participation (53)","",NA,"","","","","",NA,"","","","","WJP41","WJP41","","",""
"89","right to petition the government and public participation-WJP-Total","24-WJP-Total","5.3","Right to petition the government and public participation","WJP","Total","Total","Total","Value",3.03,"Security","Crime","Other","Right to petition the government and public participation (33)","",NA,"","","","","",NA,"","","","","WJP25","WJP25","","",""
"90","right to petition the government and public participation-WJP-Total","75-WJP-Total","3.3","Right to petition the government and public participation","WJP","Total","Total","Total","Value",2.08,"Citizen Engagement","Open Government and Transparency","Other","Right to petition the government and public participation (53)","",NA,"","","","","",NA,"","","","","WJP41","WJP41","","",""
"91","right to petition the government and public participation-WJP-Total","75-WJP-Total","3.3","Right to petition the government and public participation","WJP","Total","Total","Total","Value",3.03,"Security","Crime","Other","Right to petition the government and public participation (33)","",NA,"","","","","",NA,"","","","","WJP25","WJP25","","",""
"92","the government does not expropriate without adequate compensation-WJP-Total","17-WJP-Total","6.5","The Government does not expropriate without adequate compensation","WJP","Total","Total","Total","Value",4.496,"Public Sector Management","Enforcement","Other","The Government does not expropriate without adequate compensation (65)","",NA,"","","","","",NA,"","","","","WJP47","WJP47","","",""
"93","the government does not expropriate without lawful process and adequate compensation-WJP-Total","69-WJP-Total","6.5","The government does not expropriate without lawful process and adequate compensation","WJP","Total","Total","Total","Value",4.36,"Public Sector Management","Enforcement","Other","The government does not expropriate without lawful process and adequate compensation (65)","",NA,"","","","","",NA,"","","","","WJP48","WJP48","","",""
"94","the laws are publicized and accessible-WJP-Total","73-WJP-Total","3.1","The laws are publicized and accessible","WJP","Total","Total","Total","Value",2.09,"Citizen Engagement","Open Government and Transparency","Other","The laws are publicized and accessible (51)","",NA,"","","","","",NA,"","","","","WJP37","WJP37","","",""
"95","the laws are publicized and accessible-WJP-Total","73-WJP-Total","3.1","The laws are publicized and accessible","WJP","Total","Total","Total","Value",3.08,"Security","Crime","Other","The laws are publicized and accessible (31)","",NA,"","","","","",NA,"","","","","WJP19","WJP19","","",""
"96","the laws are publicized and accessible-WJP-Total","26-WJP-Total","5.1","The laws are publicized and accessible","WJP","Total","Total","Total","Value",2.09,"Citizen Engagement","Open Government and Transparency","Other","The laws are publicized and accessible (51)","",NA,"","","","","",NA,"","","","","WJP37","WJP37","","",""
