"","Indicator","Indicator_Id","Indicator_Name","answer","Display_Name","Dataset","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"20","regulatory quality-WGI-Lower","14-WGI-Lower","Regulatory Quality","Lower","Regulatory Quality","WGI","lower_bound","Lower Bound","Index Lower Bound",3.003,"Investment","Risk and Policy Uncertainty","Governance","Regulatory Quality","",NA,"Public Sector Management","Administrative and Policymaking capacity","Other","Regulatory Quality","",NA,"Private Sector Interface","Regulation of entry and exit","Other","Regulatory Quality","","398","","",""
"21","regulatory quality-WGI-NumSrc","16-WGI-NumSrc","Regulatory Quality","NumSrc","Regulatory Quality","WGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"22","regulatory quality-WGI-Rank","15-WGI-Rank","Regulatory Quality","Rank","Regulatory Quality","WGI","Percentile Rank","Percentile Rank","Percentile Rank",3.003,"Investment","Risk and Policy Uncertainty","Governance","Regulatory Quality","",NA,"Public Sector Management","Administrative and Policymaking capacity","Other","Regulatory Quality","",NA,"Private Sector Interface","Regulation of entry and exit","Other","Regulatory Quality","","397","","",""
"23","regulatory quality-WGI-StdErr","17-WGI-StdErr","Regulatory Quality","StdErr","Regulatory Quality","WGI","standard_error","Standard Error","Index Standard Error",3.003,"Investment","Risk and Policy Uncertainty","Governance","Regulatory Quality","",NA,"Public Sector Management","Administrative and Policymaking capacity","Other","Regulatory Quality","",NA,"Private Sector Interface","Regulation of entry and exit","Other","Regulatory Quality","","396","","",""
"24","regulatory quality-WGI-Upper","13-WGI-Upper","Regulatory Quality","Upper","Regulatory Quality","WGI","upper_bound","Upper Bound","Index Upper Bound",3.003,"Investment","Risk and Policy Uncertainty","Governance","Regulatory Quality","",NA,"Public Sector Management","Administrative and Policymaking capacity","Other","Regulatory Quality","",NA,"Private Sector Interface","Regulation of entry and exit","Other","Regulatory Quality","","399","","",""
"25","rule of law-WGI-Estimate","12-WGI-Estimate","Rule of Law","Estimate","Rule of Law","WGI","Estimate","Estimate","Estimate",3.004,"Investment","Risk and Policy Uncertainty","Governance","Rule of Law","",NA,"Public Sector Management","Enforcement","Other","Rule of Law","",NA,"Checks and Balances","Judiciary System","Other","Rule of Law","","370","","",""
"26","rule of law-WGI-Lower","8-WGI-Lower","Rule of Law","Lower","Rule of Law","WGI","lower_bound","Lower Bound","Index Lower Bound",3.004,"Investment","Risk and Policy Uncertainty","Governance","Rule of Law","",NA,"Public Sector Management","Enforcement","Other","Rule of Law","",NA,"Checks and Balances","Judiciary System","Other","Rule of Law","","374","","",""
"27","rule of law-WGI-NumSrc","10-WGI-NumSrc","Rule of Law","NumSrc","Rule of Law","WGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"28","rule of law-WGI-Rank","9-WGI-Rank","Rule of Law","Rank","Rule of Law","WGI","Percentile Rank","Percentile Rank","Percentile Rank",3.004,"Investment","Risk and Policy Uncertainty","Governance","Rule of Law","",NA,"Public Sector Management","Enforcement","Other","Rule of Law","",NA,"Checks and Balances","Judiciary System","Other","Rule of Law","","373","","",""
"29","rule of law-WGI-StdErr","11-WGI-StdErr","Rule of Law","StdErr","Rule of Law","WGI","standard_error","Standard Error","Index Standard Error",3.004,"Investment","Risk and Policy Uncertainty","Governance","Rule of Law","",NA,"Investment","FCS Investment Trends","Institutional Resilience","Risk and Policy Uncertainty","Rule of Law",NA,"Public Sector Management","Enforcement","Other","Rule of Law","","372","","",""
"30","rule of law-WGI-Upper","7-WGI-Upper","Rule of Law","Upper","Rule of Law","WGI","upper_bound","Upper Bound","Index Upper Bound",3.004,"Investment","Risk and Policy Uncertainty","Governance","Rule of Law","",NA,"Public Sector Management","Enforcement","Other","Rule of Law","",NA,"Checks and Balances","Judiciary System","Other","Rule of Law","","375","","",""
"31","voice and accountability-WGI-Estimate","36-WGI-Estimate","Voice and Accountability","Estimate","Voice and Accountability","WGI","Estimate","Estimate","Estimate",3.005,"Investment","Risk and Policy Uncertainty","Governance","Voice and Accountability","",NA,"Political Accountability","Elections","Other","Voice and Accountability","",NA,"Citizen Engagement","Civil Society Participation","Other","Voice and Accountability","","382","","",""
"32","voice and accountability-WGI-Lower","32-WGI-Lower","Voice and Accountability","Lower","Voice and Accountability","WGI","lower_bound","Lower Bound","Index Lower Bound",3.005,"Investment","Risk and Policy Uncertainty","Governance","Voice and Accountability","",NA,"Political Accountability","Elections","Other","Voice and Accountability","",NA,"Citizen Engagement","Civil Society Participation","Other","Voice and Accountability","","386","","",""
"33","voice and accountability-WGI-NumSrc","34-WGI-NumSrc","Voice and Accountability","NumSrc","Voice and Accountability","WGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"34","voice and accountability-WGI-Rank","33-WGI-Rank","Voice and Accountability","Rank","Voice and Accountability","WGI","Percentile Rank","Percentile Rank","Percentile Rank",3.005,"Investment","Risk and Policy Uncertainty","Governance","Voice and Accountability","",NA,"Political Accountability","Elections","Other","Voice and Accountability","",NA,"Citizen Engagement","Civil Society Participation","Other","Voice and Accountability","","385","","",""
"35","voice and accountability-WGI-StdErr","35-WGI-StdErr","Voice and Accountability","StdErr","Voice and Accountability","WGI","standard_error","Standard Error","Index Standard Error",3.005,"Investment","Risk and Policy Uncertainty","Governance","Voice and Accountability","",NA,"Investment","FCS Investment Trends","Institutional Resilience","Risk and Policy Uncertainty","Voice and Accountability",NA,"Political Accountability","Elections","Other","Voice and Accountability","","384","","",""
"36","voice and accountability-WGI-Upper","31-WGI-Upper","Voice and Accountability","Upper","Voice and Accountability","WGI","upper_bound","Upper Bound","Index Upper Bound",3.005,"Investment","Risk and Policy Uncertainty","Governance","Voice and Accountability","",NA,"Political Accountability","Elections","Other","Voice and Accountability","",NA,"Citizen Engagement","Civil Society Participation","Other","Voice and Accountability","","387","","",""
