"","Indicator","Indicator_Id","Indicator_Name","answer","Dataset","Display_Name","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"25","Business costs of crime and violence-GCI-Rank","36-GCI-Rank","Business costs of crime and violence, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"26","Business costs of crime and violence-GCI-Value","35-GCI-Value","Business costs of crime and violence, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"27","Business costs of terrorism-GCI-Rank","34-GCI-Rank","Business costs of terrorism, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"28","Business costs of terrorism-GCI-Value","33-GCI-Value","Business costs of terrorism, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"29","Business impact of HIV AIDS-GCI-Rank","108-GCI-Rank","Business impact of HIV/AIDS, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"30","Business impact of HIV AIDS-GCI-Value","107-GCI-Value","Business impact of HIV/AIDS, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"31","Business impact of malaria-GCI-Rank","100-GCI-Rank","Business impact of malaria, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"32","Business impact of malaria-GCI-Value","99-GCI-Value","Business impact of malaria, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"33","Business impact of rules on FDI-GCI-Rank","174-GCI-Rank","Business impact of rules on FDI, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"34","Business impact of rules on FDI-GCI-Value","173-GCI-Value","Business impact of rules on FDI, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"35","Business impact of tuberculosis-GCI-Rank","104-GCI-Rank","Business impact of tuberculosis, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"36","Business impact of tuberculosis-GCI-Value","103-GCI-Value","Business impact of tuberculosis, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"37","Buyer sophistication-GCI-Rank","188-GCI-Rank","Buyer sophistication, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"38","Buyer sophistication-GCI-Value","187-GCI-Value","Buyer sophistication, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"39","Capacity for innovation-GCI-Rank","296-GCI-Rank","Capacity for innovation, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"40","Capacity for innovation-GCI-Value","295-GCI-Value","Capacity for innovation, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"41","Company spending on R D-GCI-Rank","300-GCI-Rank","Company spending on R&D, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"42","Company spending on R D-GCI-Value","299-GCI-Value","Company spending on R&D, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"43","Competition-GCI-Rank","184-GCI-Rank","A. Competition","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"44","Competition-GCI-Value","183-GCI-Value","A. Competition","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"45","Control of international distribution-GCI-Rank","288-GCI-Rank","Control of international distribution, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"46","Control of international distribution-GCI-Value","287-GCI-Value","Control of international distribution, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"47","Cooperation in labor employer relations-GCI-Rank","194-GCI-Rank","Cooperation in labor-employer relations, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"48","Cooperation in labor employer relations-GCI-Value","193-GCI-Value","Cooperation in labor-employer relations, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"49","Corporate ethics-GCI-Rank","48-GCI-Rank","1. Corporate ethics","Rank","GCI","Corporate ethics","Rank","Rank","Value",4.377,"Private Sector Interface","Corporate Governance","Other","Corporate ethics","",NA,"","","","","",NA,"","","","","GCI1.1","28912","","",""
"50","Corporate ethics-GCI-Value","47-GCI-Value","1. Corporate ethics","Value","GCI","Corporate ethics","Value","Value","Index",4.377,"Private Sector Interface","Corporate Governance","Other","Corporate ethics","",NA,"","","","","",NA,"","","","","GCI1.2","GCI1","","",""
"51","Country capacity to attract talent-GCI-Rank","212-GCI-Rank","Country capacity to attract talent, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"52","Country capacity to attract talent-GCI-Value","211-GCI-Value","Country capacity to attract talent, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"53","Country capacity to retain talent-GCI-Rank","210-GCI-Rank","Country capacity to retain talent, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"54","Country capacity to retain talent-GCI-Value","209-GCI-Value","Country capacity to retain talent, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"55","Country credit rating-GCI-Rank","96-GCI-Rank","Country credit rating, 0–100 (best)*","Rank","GCI","Country credit rating","Rank","Rank","Value",4.018,"General Governance","Overall Governance","Other","Country credit rating","",NA,"","","","","",NA,"","","","","GCI67","GCI67","","",""
"56","Country credit rating-GCI-Value","95-GCI-Value","Country credit rating, 0–100 (best)*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"57","Degree of customer orientation-GCI-Rank","186-GCI-Rank","Degree of customer orientation, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"58","Degree of customer orientation-GCI-Value","185-GCI-Value","Degree of customer orientation, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"59","Diversion of public funds-GCI-Rank","8-GCI-Rank","Diversion of public funds, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"60","Diversion of public funds-GCI-Value","7-GCI-Value","Diversion of public funds, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"61","Domestic competition-GCI-Rank","168-GCI-Rank","1. Domestic competition ","Rank","GCI","Domestic competition","Rank","Rank","Value",4.016,"Private Sector Interface","Regulation of entry and exit","Other","Domestic competition","",NA,"","","","","",NA,"","","","","GCI2.1","28942","","",""
"62","Domestic competition-GCI-Value","167-GCI-Value","1. Domestic competition ","Value","GCI","Domestic competition","Value","Value","Index",4.016,"Private Sector Interface","Regulation of entry and exit","Other","Domestic competition","",NA,"","","","","",NA,"","","","","GCI2.2","GCI2","","",""
"63","Domestic market size index-GCI-Rank","266-GCI-Rank","Domestic market size index, 1–7 (best)*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"64","Domestic market size index-GCI-Value","265-GCI-Value","Domestic market size index, 1–7 (best)*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"65","Domestic market size-GCI-Rank","268-GCI-Rank","A. Domestic market size","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"66","Domestic market size-GCI-Value","267-GCI-Value","A. Domestic market size","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"67","Ease of access to loans-GCI-Rank","226-GCI-Rank","Ease of access to loans, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"68","Ease of access to loans-GCI-Value","225-GCI-Value","Ease of access to loans, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"69","Effect of taxation on incentives to invest-GCI-Rank","158-GCI-Rank","Effect of taxation on incentives to invest, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"70","Effect of taxation on incentives to invest-GCI-Value","157-GCI-Value","Effect of taxation on incentives to invest, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"71","Effect of taxation on incentives to work-GCI-Rank","200-GCI-Rank","Effect of taxation on incentives to work, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"72","Effect of taxation on incentives to work-GCI-Value","199-GCI-Value","Effect of taxation on incentives to work, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"73","Effectiveness of anti monopoly policy-GCI-Rank","156-GCI-Rank","Effectiveness of anti-monopoly policy, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"74","Effectiveness of anti monopoly policy-GCI-Value","155-GCI-Value","Effectiveness of anti-monopoly policy, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"75","Efficacy of corporate boards-GCI-Rank","52-GCI-Rank","Efficacy of corporate boards, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"76","Efficacy of corporate boards-GCI-Value","51-GCI-Value","Efficacy of corporate boards, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"77","Efficiency enhancers-GCI-Rank","276-GCI-Rank","Efficiency enhancers","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"78","Efficiency enhancers-GCI-Value","275-GCI-Value","Efficiency enhancers","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"79","Efficiency of government spending-GCI-Rank","22-GCI-Rank","Efficiency of government spending, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"80","Efficiency of government spending-GCI-Value","21-GCI-Value","Efficiency of government spending, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"81","Efficiency of legal framework in challenging regs-GCI-Rank","28-GCI-Rank","Efficiency of legal framework in challenging regs., 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"82","Efficiency of legal framework in challenging regs-GCI-Value","27-GCI-Value","Efficiency of legal framework in challenging regs., 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"83","Efficiency of legal framework in settling disputes-GCI-Rank","26-GCI-Rank","Efficiency of legal framework in settling disputes, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"84","Efficiency of legal framework in settling disputes-GCI-Value","25-GCI-Value","Efficiency of legal framework in settling disputes, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"85","Efficiency-GCI-Rank","230-GCI-Rank","A. Efficiency","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"86","Efficiency-GCI-Value","229-GCI-Value","A. Efficiency","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"87","Efficient use of talent-GCI-Rank","216-GCI-Rank","B. Efficient use of talent","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"88","Efficient use of talent-GCI-Value","215-GCI-Value","B. Efficient use of talent","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"89","Electricity and telephony infrastructure-GCI-Rank","84-GCI-Rank","B. Electricity and telephony infrastructure","Rank","GCI","Electricity and telephony infrastructure","Rank","Rank","Value",4.594,"Public Sector Management","Service Delivery","Other","Electricity and telephony infrastructure","",NA,"","","","","",NA,"","","","","GCI146.1","28926","","",""
"90","Electricity and telephony infrastructure-GCI-Value","83-GCI-Value","B. Electricity and telephony infrastructure","Value","GCI","Electricity and telephony infrastructure","Value","Value","Index",4.594,"Public Sector Management","Service Delivery","Other","Electricity and telephony infrastructure","",NA,"","","","","",NA,"","","","","GCI146.2","GCI146","","",""
"91","Ethical behavior of firms-GCI-Rank","46-GCI-Rank","Ethical behavior of firms, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"92","Ethical behavior of firms-GCI-Value","45-GCI-Value","Ethical behavior of firms, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"93","Ethics and corruption-GCI-Rank","14-GCI-Rank","2. Ethics and corruption","Rank","GCI","Ethics and corruption","Rank","Rank","Value",2.03,"Absence of Corruption","Perception","Other","Ethics and corruption","",NA,"","","","","",NA,"","","","","GCI50.1","28948","","",""
"94","Ethics and corruption-GCI-Value","13-GCI-Value","2. Ethics and corruption","Value","GCI","Ethics and corruption","Value","Value","Index",2.03,"Absence of Corruption","Perception","Other","Ethics and corruption","",NA,"","","","","",NA,"","","","","GCI50.2","GCI50","","",""
"95","Exports as a percentage of GDP-GCI-Rank","264-GCI-Rank","Exports as a percentage of GDP*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"96","Exports as a percentage of GDP-GCI-Value","263-GCI-Value","Exports as a percentage of GDP*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"97","Extent of market dominance-GCI-Rank","154-GCI-Rank","Extent of market dominance, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"98","Extent of market dominance-GCI-Value","153-GCI-Value","Extent of market dominance, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"99","Extent of marketing-GCI-Rank","290-GCI-Rank","Extent of marketing, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"100","Extent of marketing-GCI-Value","289-GCI-Value","Extent of marketing, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"101","Extent of staff training-GCI-Rank","146-GCI-Rank","Extent of staff training, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"102","Extent of staff training-GCI-Value","145-GCI-Value","Extent of staff training, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"103","Favoritism in decisions of government officials-GCI-Rank","18-GCI-Rank","Favoritism in decisions of government officials, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"104","Favoritism in decisions of government officials-GCI-Value","17-GCI-Value","Favoritism in decisions of government officials, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
