"","Indicator","Indicator_Id","Indicator_Name","answer","Display_Name","Dataset","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"57","are development and economic growth a priority for the political authority over and above the declarations-IPD-a5140","1290-IPD-a5140","A5140","A5140","Are development and economic growth a priority for the political authority, over and above the declarations?","IPD","A5140","A5140","Index",4.042,"Fairness and equity","Redistribution mechanism","Other","Are development and economic growth a priority for the political authority over and above the declarations?","",NA,"","","","","",NA,"","","","","IPD43","31199","","",""
"58","are public arrangements in place for formalisationregistration of land rights in rural areas-IPD-b6081","888-IPD-b6081","B6081","B6081","Are public arrangements in place for formalisationregistration of land rights in rural areas?","IPD","B6081","B6081","Index",4.271,"Private Sector Interface","Property rights and contracts","Other","Are public arrangements in place for formalisationregistration of land rights in rural areas?","",NA,"","","","","",NA,"","","","","IPD44","31210","","",""
"59","are public arrangements in place for formalisationregistration of land rights in urban and suburban areas-IPD-b6080","887-IPD-b6080","B6080","B6080","Are public arrangements in place for formalisationregistration of land rights in urban and suburban areas?","IPD","B6080","B6080","Index",4.445,"Private Sector Interface","Property rights and contracts","Other","Are public arrangements in place for formalisationregistration of land rights in urban and suburban areas?","",NA,"","","","","",NA,"","","","","IPD45","31224","","",""
"60","are the majority of the public and semipublic enterprises-IPD-b4030","864-IPD-b4030","B4030","B4030","Are the majority of the public and semipublic enterprises …","IPD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"61","are the municipal authorities elected or appointed by central government-IPD-a1030","1176-IPD-a1030","A1030","A1030","Are the municipal authorities elected or appointed by central government?","IPD","A1030","A1030","Index",4.449,"Public Sector Management","Decentralization","Other","Are the municipal authorities elected or appointed by central government?","",NA,"","","","","",NA,"","","","","IPD47.1","31245","","",""
"62","are the municipal authorities elected or appointed by central government-IPD-a1070","1021-IPD-a1070","A1070","A1070","Are the municipal authorities elected or appointed by central government?","IPD","A1070","A1070","Index",4.449,"Public Sector Management","Decentralization","Other","Are the municipal authorities elected or appointed by central government?","",NA,"","","","","",NA,"","","","","IPD47.2","31246","","",""
"63","are the organisations that represent the interests of these major stakeholders formal or informal-IPD-a5030","1260-IPD-a5030","A5030","A5030","Are the organisations that represent the interests of these major stakeholders formal or informal?","IPD","A5030","A5030","Index",4.908,"Checks and Balances","Power and influence of important actors","Other","Are the organisations that represent the interests of these major stakeholders formal or informal?","",NA,"","","","","",NA,"","","","","IPD48","31257","","",""
"64","are the other local authorities state in the case of federations regions provinces etc elected or appointed by central government-IPD-a1071","1022-IPD-a1071","A1071","A1071","Are the other local authorities (State in the case of federations, Regions, Provinces, etc.) elected or appointed by central government?","IPD","A1071","A1071","Index",4.822,"Public Sector Management","Decentralization","Other","Are the other local authorities (State in the case of federations Regions Provinces etc.) elected or appointed by central government?","",NA,"","","","","",NA,"","","","","IPD49","31267","","",""
"65","are the other local authorities states in the case of federations regions provinces etc elected or appointed by central government-IPD-a1031","1177-IPD-a1031","A1031","A1031","Are the other local authorities (States in the case of federations, Regions, Provinces, etc) elected or appointed by central government?","IPD","A1031","A1031","Index",4.589,"Public Sector Management","Decentralization","Other","Are the other local authorities (States in the case of federations Regions Provinces etc) elected or appointed by central government?","",NA,"","","","","",NA,"","","","","IPD50","31279","","",""
"66","are the results of local public procurement bids predictable-IPD-a3041","1054-IPD-a3041","A3041","A3041","Are the results of local public procurement bids predictable?","IPD","A3041","A3041","Index",4.082,"Citizen Engagement","Open Government and Transparency","Other","Are the results of local public procurement bids predictable?","",NA,"","","","","",NA,"","","","","IPD51","31290","","",""
"67","are the results of national public procurement bids predictable-IPD-a3040","1053-IPD-a3040","A3040","A3040","Are the results of national public procurement bids predictable?","IPD","A3040","A3040","Index",4.391,"Citizen Engagement","Open Government and Transparency","Other","Are the results of national public procurement bids predictable?","",NA,"","","","","",NA,"","","","","IPD52","31302","","",""
"68","are the ruling classes capable of driving society to take up these challenges-IPD-a9011","1144-IPD-a9011","A9011","A9011","Are the ruling classes capable of driving society to take up these challenges?","IPD","A9011","A9011","Index",4.001,"Trust","Social cohesion (trust in others)","Other","Are the ruling classes capable of driving society to take up these challenges?","",NA,"","","","","",NA,"","","","","IPD53","31313","","",""
"69","are there any institutions that de jure or de facto have a significant influence over the political running of the country alongside the legal institutions political party religious organisation armed body etc-IPD-a1003","998-IPD-a1003","A1003","A1003","Are there any institutions that de jure or de facto have a significant influence over the political running of the country alongside the legal institutions (political party, religious organisation, armed body, etc.)?","IPD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"70","are there any redistribution mechanisms to help underprivileged regions-IPD-d9062","694-IPD-d9062","D9062","D9062","Are there any redistribution mechanisms to help underprivileged regions?","IPD","D9062","D9062","Index",4.094,"Fairness and equity","Redistribution mechanism","Other","Are there any redistribution mechanisms to help underprivileged regions?","",NA,"","","","","",NA,"","","","","IPD55","31337","","",""
"71","are there any significant rural areas in the country where demand for land is high competition for land price increase-IPD-b6102","897-IPD-b6102","B6102","B6102","Are there any significant rural areas in the country where demand for land is high (competition for land, price increase)?","IPD","B6102","B6102","Index",4.136,"Fairness and equity","Land issues","Other","Are there any significant rural areas in the country where demand for land is high (competition for land price increase)?","",NA,"","","","","",NA,"","","","","IPD56","31347","","",""
"72","are there any transfer mechanisms to help underprivileged social groups-IPD-d9061","693-IPD-d9061","D9061","D9061","Are there any transfer mechanisms to help underprivileged social groups?","IPD","D9061","D9061","Index",4.168,"Fairness and equity","Redistribution mechanism","Other","Are there any transfer mechanisms to help underprivileged social groups?","",NA,"","","","","",NA,"","","","","IPD57","31356","","",""
"73","are there de facto mechanisms to test and evaluate public policies before nation wide implementation-IPD-a5060","1101-IPD-a5060","A5060","A5060","Are there de facto mechanisms to test and evaluate public policies before nation wide implementation?","IPD","A5060","A5060","Index",4.195,"Public Sector Management","Administrative and Policymaking capacity","Other","Are there de facto mechanisms to test and evaluate public policies before nation wide implementation?","",NA,"","","","","",NA,"","","","","IPD58","31365","","",""
"74","are there urban planning and development tools guidelines strategic planning master plan for the large towns and cities-IPD-a3060","1059-IPD-a3060","A3060","A3060","Are there urban planning and development tools (guidelines, strategic planning, master plan) for the large towns and cities?","IPD","A3060","A3060","Index",4.177,"Public Sector Management","Decentralization","Other","Are there urban planning and development tools (guidelines strategic planning master plan) for the large towns and cities?","",NA,"","","","","",NA,"","","","","IPD59","31376","","",""
"75","army andor security services-IPD-a5009","1247-IPD-a5009","A5009","A5009","Army andor security services","IPD","A5009","A5009","Index",4.872,"Checks and Balances","Power and influence of important actors","Other","Army andor security services","",NA,"","","","","",NA,"","","","","IPD60","31389","","",""
"76","arrangements for the protection of intellectual property-IPD-b604","953-IPD-b604","B604","B604","Arrangements for the protection of intellectual property","IPD","B604","B604","Index",4.063,"Private Sector Interface","Property rights and contracts","Other","Arrangements for the protection of intellectual property","",NA,"","","","","",NA,"","","","","IPD61","31400","","",""
"77","assumption of political office in accordance with the rules-IPD-a1051","302-IPD-a1051","A1051","A1051","Assumption of political office in accordance with the rules","IPD","A1051","A1051","Index",4.647,"Public Sector Management","Enforcement","Other","Assumption of political office in accordance with the rules","",NA,"","","","","",NA,"","","","","IPD62","31411","","",""
"78","assumption of political office in accordance with the rules-IPD-a1051","632-IPD-a1051","a1051","a1051","Assumption of political office in accordance with the rules","IPD","A1051","A1051","Index",4.647,"Public Sector Management","Enforcement","Other","Assumption of political office in accordance with the rules","",NA,"","","","","",NA,"","","","","IPD62","31411","","",""
"79","at local civil society level informal traditional andor religious associations and ngos-IPD-a5091","1112-IPD-a5091","A5091","A5091","At local, civil society level (informal traditional andor religious associations and NGOs)","IPD","A5091","A5091","Index",4.009,"Trust","Social cohesion (trust in others)","Other","At local civil society level (informal traditional andor religious associations and NGOs)","",NA,"","","","","",NA,"","","","","IPD63","31422","","",""
"80","at local individual level neighbourhood village etc-IPD-a5090","1111-IPD-a5090","A5090","A5090","At local, individual level (neighbourhood, village, etc.)","IPD","A5090","A5090","Index",4.005,"Trust","Social cohesion (trust in others)","Other","At local individual level (neighbourhood village etc.)","",NA,"","","","","",NA,"","","","","IPD64","31434","","",""
"81","at regional and national civil society level ngos-IPD-a5092","1113-IPD-a5092","A5092","A5092","At regional and national civil society level (NGOs)","IPD","A5092","A5092","Index",4.016,"Trust","Social cohesion (trust in others)","Other","At regional and national civil society level (NGOs)","",NA,"","","","","",NA,"","","","","IPD65","31441","","",""
"82","authority of the political bodies over the government-IPD-a3113","567-IPD-a3113","a3113","a3113","Authority of the political bodies over the government","IPD","A3113","A3113","Index",4.926,"Public Sector Management","Enforcement","Other","Authority of the political bodies over the government","",NA,"","","","","",NA,"","","","","IPD66","31452","","",""
"83","authority of the political bodies over the government-IPD-a3113","243-IPD-a3113","A3113","A3113","Authority of the political bodies over the government","IPD","A3113","A3113","Index",4.926,"Public Sector Management","Enforcement","Other","Authority of the political bodies over the government","",NA,"","","","","",NA,"","","","","IPD66","31452","","",""
"84","authority of the political powers over the administration-IPD-a5102","1277-IPD-a5102","A5102","A5102","Authority of the political powers over the administration","IPD","A5102","A5102","Index",4.544,"Public Sector Management","Administrative and Policymaking capacity","Other","Authority of the political powers over the administration","",NA,"","","","","",NA,"","","","","IPD67","31463","","",""
"85","award of public procurement contracts and delegation of public service-IPD-a306","1221-IPD-a306","A306","A306","Award of public procurement contracts and delegation of public service","IPD","A306","A306","Index",4.513,"Private Sector Interface","Property rights and contracts","Other","Award of public procurement contracts and delegation of public service","",NA,"","","","","",NA,"","","","","IPD68","31474","","",""
"86","award of public procurement contracts and public service delegation to foreign firms-IPD-a3061","1223-IPD-a3061","A3061","A3061","Award of public procurement contracts and public service delegation to foreign firms","IPD","A3061","A3061","Index",4.552,"Private Sector Interface","Property rights and contracts","Other","Award of public procurement contracts and public service delegation to foreign firms","",NA,"","","","","",NA,"","","","","IPD69","31483","","",""
"87","award of public procurement contracts and public service delegation to local firms-IPD-a3060","1222-IPD-a3060","A3060","A3060","Award of public procurement contracts and public service delegation to local firms","IPD","A3060","A3060","Index",4.4,"Private Sector Interface","Property rights and contracts","Other","Award of public procurement contracts and public service delegation to local firms","",NA,"","","","","",NA,"","","","","IPD70","31495","","",""
"88","balance of migration for movements of skilled individuals-IPD-d802","732-IPD-d802","D802","D802","Balance of migration for movements of SKILLED individuals","IPD","D802","D802","Index",4.1,"Fairness and equity","Social protection and labor","Other","Balance of migration for movements of SKILLED individuals","",NA,"","","","","",NA,"","","","","IPD71","31506","","",""
"89","balance of migration for movements of unskilled individuals-IPD-d801","729-IPD-d801","D801","D801","Balance of migration for movements of UNSKILLED individuals","IPD","D801","D801","Index",4.122,"Fairness and equity","Social protection and labor","Other","Balance of migration for movements of UNSKILLED individuals","",NA,"","","","","",NA,"","","","","IPD72","31517","","",""
"90","balance of migration for skilled men-IPD-d8020","733-IPD-d8020","D8020","D8020","Balance of migration for skilled men","IPD","D8020","D8020","Index",4.155,"Fairness and equity","Social protection and labor","Other","Balance of migration for skilled men","",NA,"","","","","",NA,"","","","","IPD73","31528","","",""
"91","balance of migration for skilled women-IPD-d8021","734-IPD-d8021","D8021","D8021","Balance of migration for skilled women","IPD","D8021","D8021","Index",4.161,"Fairness and equity","Social protection and labor","Other","Balance of migration for skilled women","",NA,"","","","","",NA,"","","","","IPD74","31539","","",""
"92","balance of migration for unskilled men-IPD-d8010","730-IPD-d8010","D8010","D8010","Balance of migration for unskilled men","IPD","D8010","D8010","Index",4.119,"Fairness and equity","Social protection and labor","Other","Balance of migration for unskilled men","",NA,"","","","","",NA,"","","","","IPD75","31550","","",""
"93","balance of migration for unskilled women-IPD-d8011","731-IPD-d8011","D8011","D8011","Balance of migration for unskilled women","IPD","D8011","D8011","Index",4.098,"Fairness and equity","Social protection and labor","Other","Balance of migration for unskilled women","",NA,"","","","","",NA,"","","","","IPD76","31562","","",""
