"","Indicator","Indicator_Id","Indicator_Name","answer","Dataset","Display_Name","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"12","accountability of public officials eiu-IIAG-Total","216-IIAG-Total","Accountability_of_Public_Officials_(EIU)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"13","accountability-IIAG-Total","227-IIAG-Total","ACCOUNTABILITY","Total","IIAG","Accountability","Estimation by Source","Estimation by Source","Index",4.039,"Citizen Engagement","Open Government and Transparency","Other","Accountability IIAG_calculation","",4.001,"Absence of Corruption","Prevention and sanction","Other","Accountability IIAG_calculation","",4.001,"Absence of Corruption","Perception","Other","Accountability IIAG_calculation","IIAG14","IIAG14","","",""
"14","agricultural input & produce markets ifad-IIAG-Total","62-IIAG-Total","Agricultural_Input_&_Produce_Markets_(IFAD)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"15","agricultural policy costs wef-IIAG-Total","59-IIAG-Total","Agricultural_Policy_Costs_(WEF)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"16","agricultural support system ifad-IIAG-Total","60-IIAG-Total","Agricultural_Support_System_(IFAD)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"17","air transport   wefgi-IIAG-Total","82-IIAG-Total","Air_Transport___(WEF/GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"18","air transport safety gi-IIAG-Total","80-IIAG-Total","Air_Transport_Safety_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"19","antiretroviral treatment art provision unaids-IIAG-Total","3-IIAG-Total","Antiretroviral_Treatment_(ART)_Provision_(UNAIDS)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"20","art provision for pregnant women unaids-IIAG-Total","1-IIAG-Total","ART_Provision_for_Pregnant_Women_(UNAIDS)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"21","art provision unaids-IIAG-Total","2-IIAG-Total","ART_Provision_(UNAIDS)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"22","barriers to ngo operations gi-IIAG-Total","172-IIAG-Total","Barriers_to_NGO_Operations_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"23","basic health services afr-IIAG-Total","18-IIAG-Total","Basic_Health_Services_(AFR)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"24","birth registration gi-IIAG-Total","119-IIAG-Total","Birth_Registration_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"25","budget balance afdbaucuneca-IIAG-Total","110-IIAG-Total","Budget_Balance_(AfDB/AUC/UNECA)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"26","budget management afdb-IIAG-Total","112-IIAG-Total","Budget_Management_(AfDB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"27","budget management afdbwb-IIAG-Total","113-IIAG-Total","Budget_Management_(AfDB/WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"28","budget management wb-IIAG-Total","111-IIAG-Total","Budget_Management_(WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"29","business bureaucracy & red tape eiu-IIAG-Total","92-IIAG-Total","Business_Bureaucracy_&_Red_Tape_(EIU)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"30","business environment-IIAG-Total","100-IIAG-Total","BUSINESS_ENVIRONMENT","Total","IIAG","Business Environment","Estimation by Source","Estimation by Source","Index",2.09,"Private Sector Interface","Property rights and contracts","Other","Business Environment IIAG_calculation","",4.192,"Private Sector Interface","Permits and Licenses","Other","Business Environment IIAG_calculation","",2.09,"Private Sector Interface","Regulation of entry and exit","Other","Business Environment IIAG_calculation","IIAG29","IIAG29","","",""
"31","censorship gi-IIAG-Total","153-IIAG-Total","Censorship_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"32","child mortality igme-IIAG-Total","16-IIAG-Total","Child_Mortality_(IGME)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"33","civil liberties bsfh-IIAG-Total","146-IIAG-Total","Civil_Liberties_(BS/FH_)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"34","civil liberties fh-IIAG-Total","144-IIAG-Total","Civil_Liberties_(FH)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"35","civil registration gi-IIAG-Total","120-IIAG-Total","Civil_registration_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"36","civil society inclusion vdem-IIAG-Total","174-IIAG-Total","Civil_Society_Inclusion_(V-Dem)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"37","civil society participation bs-IIAG-Total","175-IIAG-Total","Civil_Society_Participation_(BS)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"38","civil society participation bsvdemgi-IIAG-Total","176-IIAG-Total","Civil_Society_Participation_(BS/V-Dem/GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"39","competition bs-IIAG-Total","97-IIAG-Total","Competition_(BS)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"40","competition bsgiafdbwb-IIAG-Total","98-IIAG-Total","Competition_(BS/GI/AfDB/WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"41","competitive environment afdb-IIAG-Total","94-IIAG-Total","Competitive_Environment_(AfDB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"42","competitive environment afdbwb-IIAG-Total","95-IIAG-Total","Competitive_Environment_(AfDB/WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"43","competitive environment wb-IIAG-Total","93-IIAG-Total","Competitive_Environment_(WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"44","cooking fuel deprivation afr-IIAG-Total","39-IIAG-Total","Cooking_Fuel_Deprivation_(AFR)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"45","corruption & bureaucracy wb-IIAG-Total","213-IIAG-Total","Corruption_&_Bureaucracy_(WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"46","corruption in government & public officials  eiu-IIAG-Total","214-IIAG-Total","Corruption_in_Government_&_Public_Officials__(EIU)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"47","corruption investigation gi-IIAG-Total","209-IIAG-Total","Corruption_Investigation_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"48","corruption investigation giafr-IIAG-Total","211-IIAG-Total","Corruption_Investigation_(GI/AFR)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"49","crime eiuafr-IIAG-Total","197-IIAG-Total","Crime_(EIU/AFR)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"50","crossborder tensions  eiu-IIAG-Total","185-IIAG-Total","Cross-border_Tensions__(EIU)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"51","customs procedures wef-IIAG-Total","91-IIAG-Total","Customs_Procedures_(WEF)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"52","death registration gi-IIAG-Total","118-IIAG-Total","Death_Registration_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"53","dialogue between government & rural organisations ifad-IIAG-Total","56-IIAG-Total","Dialogue_between_Government_&_Rural_Organisations_(IFAD)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"54","digital & it infrastructure eiuitu-IIAG-Total","76-IIAG-Total","Digital_&_IT_Infrastructure_(EIU/ITU)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"55","disease who-IIAG-Total","10-IIAG-Total","Disease_(WHO)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"56","diversification afdboecdundp-IIAG-Total","114-IIAG-Total","Diversification_(AfDB/OECD/UNDP)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"57","diversion of public funds wef-IIAG-Total","212-IIAG-Total","Diversion_of_Public_Funds_(WEF)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"58","domestic armed conflict  eiu-IIAG-Total","187-IIAG-Total","Domestic_Armed_Conflict__(EIU)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"59","education provision afr-IIAG-Total","27-IIAG-Total","Education_Provision_(AFR)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"60","education quality bs-IIAG-Total","26-IIAG-Total","Education_Quality_(BS)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"61","education-IIAG-Total","28-IIAG-Total","EDUCATION","Total","IIAG","Education","Estimation by Source","Estimation by Source","Index",4.04,"Public Sector Management","Service Delivery","Other","Education IIAG_calculation","",NA,"","","","","",NA,"","","","","IIAG56","IIAG56","","",""
"62","educational system management wef-IIAG-Total","25-IIAG-Total","Educational_System_Management_(WEF)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"63","election management bodies vdem-IIAG-Total","164-IIAG-Total","Election_Management_Bodies_(V-Dem)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"64","election monitoring agencies gi-IIAG-Total","163-IIAG-Total","Election_Monitoring_Agencies_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"65","election monitoring agencies vdemgi-IIAG-Total","165-IIAG-Total","Election_Monitoring_Agencies_(V-Dem/GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"66","election monitoring agency independence gi-IIAG-Total","162-IIAG-Total","Election_Monitoring_Agency_Independence_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"67","election monitoring agency reporting gi-IIAG-Total","161-IIAG-Total","Election_Monitoring_Agency_Reporting_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"68","electricity infrastructure wefafr-IIAG-Total","79-IIAG-Total","Electricity_Infrastructure_(WEF/AFR)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"69","electricity supply wef-IIAG-Total","78-IIAG-Total","Electricity_Supply_(WEF)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"70","employment creation afr-IIAG-Total","89-IIAG-Total","Employment_Creation_(AFR)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"71","engagement with rural organisations ifad-IIAG-Total","58-IIAG-Total","Engagement_with_Rural_Organisations_(IFAD)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"72","environmental policy bs-IIAG-Total","32-IIAG-Total","Environmental_Policy_(BS)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"73","environmental sustainability afdb-IIAG-Total","30-IIAG-Total","Environmental_Sustainability_(AfDB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"74","environmental sustainability afdbwb-IIAG-Total","31-IIAG-Total","Environmental_Sustainability_(AfDB/WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"75","environmental sustainability wb-IIAG-Total","29-IIAG-Total","Environmental_Sustainability_(WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"76","equity of public resource use afdb-IIAG-Total","35-IIAG-Total","Equity_of_Public_Resource_Use_(AfDB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"77","equity of public resource use afdbwb-IIAG-Total","36-IIAG-Total","Equity_of_Public_Resource_Use_(AfDB/WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"78","equity of public resource use wb-IIAG-Total","34-IIAG-Total","Equity_of_Public_Resource_Use_(WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"79","executive corruption vdem-IIAG-Total","221-IIAG-Total","Executive_Corruption_(V-Dem)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"80","fighting corruption afr-IIAG-Total","208-IIAG-Total","Fighting_Corruption_(AFR)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"81","fiscal policy afdb-IIAG-Total","108-IIAG-Total","Fiscal_Policy_(AfDB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"82","fiscal policy afdbwb-IIAG-Total","109-IIAG-Total","Fiscal_Policy_(AfDB/WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"83","fiscal policy wb-IIAG-Total","107-IIAG-Total","Fiscal_Policy_(WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"84","food deprivation afr-IIAG-Total","41-IIAG-Total","Food_Deprivation_(AFR)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"85","framework for rural organisations ifad-IIAG-Total","57-IIAG-Total","Framework_for_Rural_Organisations_(IFAD)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"86","free & fair elections bs-IIAG-Total","168-IIAG-Total","Free_&_Fair_Elections_(BS)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"87","free & fair elections bscddvdem-IIAG-Total","169-IIAG-Total","Free_&_Fair_Elections_(BS/CDD/V-Dem)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"88","free & fair elections vdem-IIAG-Total","166-IIAG-Total","Free_&_Fair_Elections_(V-Dem)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"89","free & fair executive elections cdd-IIAG-Total","167-IIAG-Total","Free_&_Fair_Executive_Elections_(CDD)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"90","freedom of association & assembly   bsgi-IIAG-Total","150-IIAG-Total","Freedom_of_Association_&_Assembly___(BS/GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"91","freedom of association & assembly bs-IIAG-Total","149-IIAG-Total","Freedom_of_Association_&_Assembly_(BS)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"92","freedom of association gi-IIAG-Total","148-IIAG-Total","Freedom_of_Association_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"93","freedom of expression   bsrsfvdemgi-IIAG-Total","158-IIAG-Total","Freedom_of_Expression___(BS/RSF/V-Dem/GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"94","freedom of expression bs-IIAG-Total","157-IIAG-Total","Freedom_of_Expression_(BS)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"95","freedom of expression vdem-IIAG-Total","154-IIAG-Total","Freedom_of_Expression_(V-Dem)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"96","freedom of ngos gi-IIAG-Total","173-IIAG-Total","Freedom_of_NGOs_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"97","freedom of political parties vdem-IIAG-Total","177-IIAG-Total","Freedom_of_Political_Parties_(V-Dem)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"98","gender balance in education unesco-IIAG-Total","129-IIAG-Total","Gender_Balance_in_Education_(UNESCO)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"99","gender balance in rural decisionmaking ifad-IIAG-Total","55-IIAG-Total","Gender_Balance_in_Rural_Decision-making_(IFAD)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"100","gender equality afdb-IIAG-Total","136-IIAG-Total","Gender_Equality_(AfDB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"101","gender equality afdbwb-IIAG-Total","137-IIAG-Total","Gender_Equality_(AfDB/WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"102","gender equality wb-IIAG-Total","135-IIAG-Total","Gender_Equality_(WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
