"","Indicator","dataset","iso3","subset","year","group","question","answer","value","Indicator_Id"
"19","assembly unicameral-IPU-Number.of.seats","IPU","TZA","All",2018,"Assembly Unicameral","Assembly Unicameral","Number.of.seats",125,"73-IPU-Number.of.seats"
"20","assembly unicameral-IPU-Number.of.women.parliamentarians","IPU","TZA","All",2018,"Assembly Unicameral","Assembly Unicameral","Number.of.women.parliamentarians",31,"150-IPU-Number.of.women.parliamentarians"
"21","assembly unicameral-IPU-Percentage.of.women","IPU","TZA","All",2018,"Assembly Unicameral","Assembly Unicameral","Percentage.of.women",24.8,"227-IPU-Percentage.of.women"
"22","chamber of deputies bicameral-IPU-Number.of.seats","IPU","ATA","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.seats",257,"10-IPU-Number.of.seats"
"23","chamber of deputies bicameral-IPU-Number.of.seats","IPU","MAC","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.seats",500,"10-IPU-Number.of.seats"
"24","chamber of deputies bicameral-IPU-Number.of.seats","IPU","BRB","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.seats",130,"10-IPU-Number.of.seats"
"25","chamber of deputies bicameral-IPU-Number.of.seats","IPU","BRB","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.seats",513,"10-IPU-Number.of.seats"
"26","chamber of deputies bicameral-IPU-Number.of.seats","IPU","ROU","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.seats",329,"10-IPU-Number.of.seats"
"27","chamber of deputies bicameral-IPU-Number.of.seats","IPU","FSM","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.seats",630,"10-IPU-Number.of.seats"
"28","chamber of deputies bicameral-IPU-Number.of.seats","IPU","FSM","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.seats",118,"10-IPU-Number.of.seats"
"29","chamber of deputies bicameral-IPU-Number.of.seats","IPU","RWA","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.seats",80,"10-IPU-Number.of.seats"
"30","chamber of deputies bicameral-IPU-Number.of.seats","IPU","CAN","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.seats",155,"10-IPU-Number.of.seats"
"31","chamber of deputies bicameral-IPU-Number.of.seats","IPU","DOM","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.seats",190,"10-IPU-Number.of.seats"
"32","chamber of deputies bicameral-IPU-Number.of.seats","IPU","CZE","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.seats",200,"10-IPU-Number.of.seats"
"33","chamber of deputies bicameral-IPU-Number.of.seats","IPU","PAN","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.seats",80,"10-IPU-Number.of.seats"
"34","chamber of deputies bicameral-IPU-Number.of.seats","IPU","EGY","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.seats",100,"10-IPU-Number.of.seats"
"35","chamber of deputies bicameral-IPU-Number.of.women.parliamentarians","IPU","ATA","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.women.parliamentarians",100,"87-IPU-Number.of.women.parliamentarians"
"36","chamber of deputies bicameral-IPU-Number.of.women.parliamentarians","IPU","MAC","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.women.parliamentarians",213,"87-IPU-Number.of.women.parliamentarians"
"37","chamber of deputies bicameral-IPU-Number.of.women.parliamentarians","IPU","BRB","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.women.parliamentarians",69,"87-IPU-Number.of.women.parliamentarians"
"38","chamber of deputies bicameral-IPU-Number.of.women.parliamentarians","IPU","BRB","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.women.parliamentarians",55,"87-IPU-Number.of.women.parliamentarians"
"39","chamber of deputies bicameral-IPU-Number.of.women.parliamentarians","IPU","ROU","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.women.parliamentarians",68,"87-IPU-Number.of.women.parliamentarians"
"40","chamber of deputies bicameral-IPU-Number.of.women.parliamentarians","IPU","FSM","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.women.parliamentarians",225,"87-IPU-Number.of.women.parliamentarians"
"41","chamber of deputies bicameral-IPU-Number.of.women.parliamentarians","IPU","FSM","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.women.parliamentarians",3,"87-IPU-Number.of.women.parliamentarians"
"42","chamber of deputies bicameral-IPU-Number.of.women.parliamentarians","IPU","RWA","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.women.parliamentarians",49,"87-IPU-Number.of.women.parliamentarians"
"43","chamber of deputies bicameral-IPU-Number.of.women.parliamentarians","IPU","CAN","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.women.parliamentarians",35,"87-IPU-Number.of.women.parliamentarians"
"44","chamber of deputies bicameral-IPU-Number.of.women.parliamentarians","IPU","DOM","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.women.parliamentarians",51,"87-IPU-Number.of.women.parliamentarians"
"45","chamber of deputies bicameral-IPU-Number.of.women.parliamentarians","IPU","CZE","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.women.parliamentarians",44,"87-IPU-Number.of.women.parliamentarians"
"46","chamber of deputies bicameral-IPU-Number.of.women.parliamentarians","IPU","PAN","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.women.parliamentarians",11,"87-IPU-Number.of.women.parliamentarians"
"47","chamber of deputies bicameral-IPU-Number.of.women.parliamentarians","IPU","EGY","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Number.of.women.parliamentarians",20,"87-IPU-Number.of.women.parliamentarians"
"48","chamber of deputies bicameral-IPU-Percentage.of.women","IPU","ATA","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Percentage.of.women",38.91,"164-IPU-Percentage.of.women"
"49","chamber of deputies bicameral-IPU-Percentage.of.women","IPU","MAC","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Percentage.of.women",42.6,"164-IPU-Percentage.of.women"
"50","chamber of deputies bicameral-IPU-Percentage.of.women","IPU","BRB","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Percentage.of.women",53.08,"164-IPU-Percentage.of.women"
"51","chamber of deputies bicameral-IPU-Percentage.of.women","IPU","BRB","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Percentage.of.women",10.72,"164-IPU-Percentage.of.women"
"52","chamber of deputies bicameral-IPU-Percentage.of.women","IPU","ROU","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Percentage.of.women",20.67,"164-IPU-Percentage.of.women"
"53","chamber of deputies bicameral-IPU-Percentage.of.women","IPU","FSM","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Percentage.of.women",35.71,"164-IPU-Percentage.of.women"
"54","chamber of deputies bicameral-IPU-Percentage.of.women","IPU","FSM","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Percentage.of.women",2.54,"164-IPU-Percentage.of.women"
"55","chamber of deputies bicameral-IPU-Percentage.of.women","IPU","RWA","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Percentage.of.women",61.25,"164-IPU-Percentage.of.women"
"56","chamber of deputies bicameral-IPU-Percentage.of.women","IPU","CAN","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Percentage.of.women",22.58,"164-IPU-Percentage.of.women"
"57","chamber of deputies bicameral-IPU-Percentage.of.women","IPU","DOM","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Percentage.of.women",26.84,"164-IPU-Percentage.of.women"
"58","chamber of deputies bicameral-IPU-Percentage.of.women","IPU","CZE","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Percentage.of.women",22,"164-IPU-Percentage.of.women"
"59","chamber of deputies bicameral-IPU-Percentage.of.women","IPU","PAN","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Percentage.of.women",13.75,"164-IPU-Percentage.of.women"
"60","chamber of deputies bicameral-IPU-Percentage.of.women","IPU","EGY","All",2018,"Chamber of Deputies Bicameral","Chamber of Deputies Bicameral","Percentage.of.women",20,"164-IPU-Percentage.of.women"
"61","chamber of deputies unicameral-IPU-Number.of.seats","IPU","MAC","All",2018,"Chamber of Deputies Unicameral","Chamber of Deputies Unicameral","Number.of.seats",60,"48-IPU-Number.of.seats"
"62","chamber of deputies unicameral-IPU-Number.of.women.parliamentarians","IPU","MAC","All",2018,"Chamber of Deputies Unicameral","Chamber of Deputies Unicameral","Number.of.women.parliamentarians",17,"125-IPU-Number.of.women.parliamentarians"
"63","chamber of deputies unicameral-IPU-Percentage.of.women","IPU","MAC","All",2018,"Chamber of Deputies Unicameral","Chamber of Deputies Unicameral","Percentage.of.women",28.33,"202-IPU-Percentage.of.women"
"64","chamber of senators bicameral-IPU-Number.of.seats","IPU","BRB","All",2018,"Chamber of Senators Bicameral","Chamber of Senators Bicameral","Number.of.seats",36,"18-IPU-Number.of.seats"
"65","chamber of senators bicameral-IPU-Number.of.women.parliamentarians","IPU","BRB","All",2018,"Chamber of Senators Bicameral","Chamber of Senators Bicameral","Number.of.women.parliamentarians",17,"95-IPU-Number.of.women.parliamentarians"
"66","chamber of senators bicameral-IPU-Percentage.of.women","IPU","BRB","All",2018,"Chamber of Senators Bicameral","Chamber of Senators Bicameral","Percentage.of.women",47.22,"172-IPU-Percentage.of.women"
"67","congress of deputies bicameral-IPU-Number.of.seats","IPU","SOM","All",2018,"Congress of Deputies Bicameral","Congress of Deputies Bicameral","Number.of.seats",350,"68-IPU-Number.of.seats"
"68","congress of deputies bicameral-IPU-Number.of.women.parliamentarians","IPU","SOM","All",2018,"Congress of Deputies Bicameral","Congress of Deputies Bicameral","Number.of.women.parliamentarians",137,"145-IPU-Number.of.women.parliamentarians"
"69","congress of deputies bicameral-IPU-Percentage.of.women","IPU","SOM","All",2018,"Congress of Deputies Bicameral","Congress of Deputies Bicameral","Percentage.of.women",39.14,"222-IPU-Percentage.of.women"
"70","congress of the republic unicameral-IPU-Number.of.seats","IPU","PER","All",2018,"Congress of the Republic Unicameral","Congress of the Republic Unicameral","Number.of.seats",130,"37-IPU-Number.of.seats"
"71","congress of the republic unicameral-IPU-Number.of.seats","IPU","FSM","All",2018,"Congress of the Republic Unicameral","Congress of the Republic Unicameral","Number.of.seats",158,"37-IPU-Number.of.seats"
"72","congress of the republic unicameral-IPU-Number.of.women.parliamentarians","IPU","PER","All",2018,"Congress of the Republic Unicameral","Congress of the Republic Unicameral","Number.of.women.parliamentarians",36,"114-IPU-Number.of.women.parliamentarians"
"73","congress of the republic unicameral-IPU-Number.of.women.parliamentarians","IPU","FSM","All",2018,"Congress of the Republic Unicameral","Congress of the Republic Unicameral","Number.of.women.parliamentarians",22,"114-IPU-Number.of.women.parliamentarians"
"74","congress of the republic unicameral-IPU-Percentage.of.women","IPU","PER","All",2018,"Congress of the Republic Unicameral","Congress of the Republic Unicameral","Percentage.of.women",27.69,"191-IPU-Percentage.of.women"
"75","congress of the republic unicameral-IPU-Percentage.of.women","IPU","FSM","All",2018,"Congress of the Republic Unicameral","Congress of the Republic Unicameral","Percentage.of.women",13.92,"191-IPU-Percentage.of.women"
"76","congress unicameral-IPU-Number.of.seats","IPU","MAC","All",2018,"Congress Unicameral","Congress Unicameral","Number.of.seats",14,"50-IPU-Number.of.seats"
"77","congress unicameral-IPU-Number.of.women.parliamentarians","IPU","MAC","All",2018,"Congress Unicameral","Congress Unicameral","Number.of.women.parliamentarians",0,"127-IPU-Number.of.women.parliamentarians"
"78","congress unicameral-IPU-Percentage.of.women","IPU","MAC","All",2018,"Congress Unicameral","Congress Unicameral","Percentage.of.women",0,"204-IPU-Percentage.of.women"
"79","consultative council bicameral-IPU-Number.of.seats","IPU","OMN","All",2018,"Consultative Council Bicameral","Consultative Council Bicameral","Number.of.seats",85,"55-IPU-Number.of.seats"
"80","consultative council bicameral-IPU-Number.of.seats","IPU","WSM","All",2018,"Consultative Council Bicameral","Consultative Council Bicameral","Number.of.seats",111,"55-IPU-Number.of.seats"
"81","consultative council bicameral-IPU-Number.of.women.parliamentarians","IPU","OMN","All",2018,"Consultative Council Bicameral","Consultative Council Bicameral","Number.of.women.parliamentarians",1,"132-IPU-Number.of.women.parliamentarians"
"82","consultative council bicameral-IPU-Number.of.women.parliamentarians","IPU","WSM","All",2018,"Consultative Council Bicameral","Consultative Council Bicameral","Number.of.women.parliamentarians",2,"132-IPU-Number.of.women.parliamentarians"
"83","consultative council bicameral-IPU-Percentage.of.women","IPU","OMN","All",2018,"Consultative Council Bicameral","Consultative Council Bicameral","Percentage.of.women",1.18,"209-IPU-Percentage.of.women"
"84","consultative council bicameral-IPU-Percentage.of.women","IPU","WSM","All",2018,"Consultative Council Bicameral","Consultative Council Bicameral","Percentage.of.women",1.8,"209-IPU-Percentage.of.women"
"85","council of representatives bicameral-IPU-Number.of.seats","IPU","ATA","All",2018,"Council of Representatives Bicameral","Council of Representatives Bicameral","Number.of.seats",40,"14-IPU-Number.of.seats"
"86","council of representatives bicameral-IPU-Number.of.women.parliamentarians","IPU","ATA","All",2018,"Council of Representatives Bicameral","Council of Representatives Bicameral","Number.of.women.parliamentarians",3,"91-IPU-Number.of.women.parliamentarians"
"87","council of representatives bicameral-IPU-Percentage.of.women","IPU","ATA","All",2018,"Council of Representatives Bicameral","Council of Representatives Bicameral","Percentage.of.women",7.5,"168-IPU-Percentage.of.women"
"88","council of representatives of iraq unicameral-IPU-Number.of.seats","IPU","FSM","All",2018,"Council of Representatives of Iraq Unicameral","Council of Representatives of Iraq Unicameral","Number.of.seats",328,"43-IPU-Number.of.seats"
"89","council of representatives of iraq unicameral-IPU-Number.of.women.parliamentarians","IPU","FSM","All",2018,"Council of Representatives of Iraq Unicameral","Council of Representatives of Iraq Unicameral","Number.of.women.parliamentarians",83,"120-IPU-Number.of.women.parliamentarians"
"90","council of representatives of iraq unicameral-IPU-Percentage.of.women","IPU","FSM","All",2018,"Council of Representatives of Iraq Unicameral","Council of Representatives of Iraq Unicameral","Percentage.of.women",25.3,"197-IPU-Percentage.of.women"
"91","council of states bicameral-IPU-Number.of.seats","IPU","SOM","All",2018,"Council of States Bicameral","Council of States Bicameral","Number.of.seats",54,"41-IPU-Number.of.seats"
"92","council of states bicameral-IPU-Number.of.seats","IPU","FSM","All",2018,"Council of States Bicameral","Council of States Bicameral","Number.of.seats",244,"41-IPU-Number.of.seats"
"93","council of states bicameral-IPU-Number.of.seats","IPU","SYC","All",2018,"Council of States Bicameral","Council of States Bicameral","Number.of.seats",46,"41-IPU-Number.of.seats"
"94","council of states bicameral-IPU-Number.of.seats","IPU","SOM","All",2018,"Council of States Bicameral","Council of States Bicameral","Number.of.seats",50,"41-IPU-Number.of.seats"
"95","council of states bicameral-IPU-Number.of.women.parliamentarians","IPU","SOM","All",2018,"Council of States Bicameral","Council of States Bicameral","Number.of.women.parliamentarians",19,"118-IPU-Number.of.women.parliamentarians"
"96","council of states bicameral-IPU-Number.of.women.parliamentarians","IPU","FSM","All",2018,"Council of States Bicameral","Council of States Bicameral","Number.of.women.parliamentarians",0,"118-IPU-Number.of.women.parliamentarians"
"97","council of states bicameral-IPU-Number.of.women.parliamentarians","IPU","SYC","All",2018,"Council of States Bicameral","Council of States Bicameral","Number.of.women.parliamentarians",7,"118-IPU-Number.of.women.parliamentarians"
"98","council of states bicameral-IPU-Number.of.women.parliamentarians","IPU","SOM","All",2018,"Council of States Bicameral","Council of States Bicameral","Number.of.women.parliamentarians",6,"118-IPU-Number.of.women.parliamentarians"
"99","council of states bicameral-IPU-Percentage.of.women","IPU","SOM","All",2018,"Council of States Bicameral","Council of States Bicameral","Percentage.of.women",35.19,"195-IPU-Percentage.of.women"
"100","council of states bicameral-IPU-Percentage.of.women","IPU","FSM","All",2018,"Council of States Bicameral","Council of States Bicameral","Percentage.of.women",0,"195-IPU-Percentage.of.women"
"101","council of states bicameral-IPU-Percentage.of.women","IPU","SYC","All",2018,"Council of States Bicameral","Council of States Bicameral","Percentage.of.women",15.22,"195-IPU-Percentage.of.women"
"102","council of states bicameral-IPU-Percentage.of.women","IPU","SOM","All",2018,"Council of States Bicameral","Council of States Bicameral","Percentage.of.women",12,"195-IPU-Percentage.of.women"
"103","council of the federation bicameral-IPU-Number.of.seats","IPU","RUS","All",2018,"Council of the Federation Bicameral","Council of the Federation Bicameral","Number.of.seats",170,"62-IPU-Number.of.seats"
"104","council of the federation bicameral-IPU-Number.of.women.parliamentarians","IPU","RUS","All",2018,"Council of the Federation Bicameral","Council of the Federation Bicameral","Number.of.women.parliamentarians",29,"139-IPU-Number.of.women.parliamentarians"
"105","council of the federation bicameral-IPU-Percentage.of.women","IPU","RUS","All",2018,"Council of the Federation Bicameral","Council of the Federation Bicameral","Percentage.of.women",17.06,"216-IPU-Percentage.of.women"
"106","council of the nation bicameral-IPU-Number.of.seats","IPU","ALB","All",2018,"Council of the Nation Bicameral","Council of the Nation Bicameral","Number.of.seats",143,"5-IPU-Number.of.seats"
"107","council of the nation bicameral-IPU-Number.of.women.parliamentarians","IPU","ALB","All",2018,"Council of the Nation Bicameral","Council of the Nation Bicameral","Number.of.women.parliamentarians",10,"82-IPU-Number.of.women.parliamentarians"
"108","council of the nation bicameral-IPU-Percentage.of.women","IPU","ALB","All",2018,"Council of the Nation Bicameral","Council of the Nation Bicameral","Percentage.of.women",6.99,"159-IPU-Percentage.of.women"
"109","council of the republic bicameral-IPU-Number.of.seats","IPU","ATA","All",2018,"Council of the Republic Bicameral","Council of the Republic Bicameral","Number.of.seats",56,"16-IPU-Number.of.seats"
"110","council of the republic bicameral-IPU-Number.of.women.parliamentarians","IPU","ATA","All",2018,"Council of the Republic Bicameral","Council of the Republic Bicameral","Number.of.women.parliamentarians",17,"93-IPU-Number.of.women.parliamentarians"
"111","council of the republic bicameral-IPU-Percentage.of.women","IPU","ATA","All",2018,"Council of the Republic Bicameral","Council of the Republic Bicameral","Percentage.of.women",30.36,"170-IPU-Percentage.of.women"
"112","croatian parliament unicameral-IPU-Number.of.seats","IPU","CXR","All",2018,"Croatian Parliament Unicameral","Croatian Parliament Unicameral","Number.of.seats",151,"26-IPU-Number.of.seats"
"113","croatian parliament unicameral-IPU-Number.of.women.parliamentarians","IPU","CXR","All",2018,"Croatian Parliament Unicameral","Croatian Parliament Unicameral","Number.of.women.parliamentarians",28,"103-IPU-Number.of.women.parliamentarians"
"114","croatian parliament unicameral-IPU-Percentage.of.women","IPU","CXR","All",2018,"Croatian Parliament Unicameral","Croatian Parliament Unicameral","Percentage.of.women",18.54,"180-IPU-Percentage.of.women"
"115","diet unicameral-IPU-Number.of.seats","IPU","LBY","All",2018,"Diet Unicameral","Diet Unicameral","Number.of.seats",25,"47-IPU-Number.of.seats"
"116","diet unicameral-IPU-Number.of.women.parliamentarians","IPU","LBY","All",2018,"Diet Unicameral","Diet Unicameral","Number.of.women.parliamentarians",3,"124-IPU-Number.of.women.parliamentarians"
"117","diet unicameral-IPU-Percentage.of.women","IPU","LBY","All",2018,"Diet Unicameral","Diet Unicameral","Percentage.of.women",12,"201-IPU-Percentage.of.women"
"118","federal council bicameral-IPU-Number.of.seats","IPU","FSM","All",2018,"Federal Council Bicameral","Federal Council Bicameral","Number.of.seats",69,"12-IPU-Number.of.seats"
"119","federal council bicameral-IPU-Number.of.seats","IPU","ATA","All",2018,"Federal Council Bicameral","Federal Council Bicameral","Number.of.seats",61,"12-IPU-Number.of.seats"
"120","federal council bicameral-IPU-Number.of.women.parliamentarians","IPU","FSM","All",2018,"Federal Council Bicameral","Federal Council Bicameral","Number.of.women.parliamentarians",27,"89-IPU-Number.of.women.parliamentarians"
"121","federal council bicameral-IPU-Number.of.women.parliamentarians","IPU","ATA","All",2018,"Federal Council Bicameral","Federal Council Bicameral","Number.of.women.parliamentarians",19,"89-IPU-Number.of.women.parliamentarians"
"122","federal council bicameral-IPU-Percentage.of.women","IPU","FSM","All",2018,"Federal Council Bicameral","Federal Council Bicameral","Percentage.of.women",39.13,"166-IPU-Percentage.of.women"
"123","federal council bicameral-IPU-Percentage.of.women","IPU","ATA","All",2018,"Federal Council Bicameral","Federal Council Bicameral","Percentage.of.women",31.15,"166-IPU-Percentage.of.women"
"124","federal national council unicameral-IPU-Number.of.seats","IPU","TZA","All",2018,"Federal National Council Unicameral","Federal National Council Unicameral","Number.of.seats",40,"75-IPU-Number.of.seats"
"125","federal national council unicameral-IPU-Number.of.women.parliamentarians","IPU","TZA","All",2018,"Federal National Council Unicameral","Federal National Council Unicameral","Number.of.women.parliamentarians",9,"152-IPU-Number.of.women.parliamentarians"
"126","federal national council unicameral-IPU-Percentage.of.women","IPU","TZA","All",2018,"Federal National Council Unicameral","Federal National Council Unicameral","Percentage.of.women",22.5,"229-IPU-Percentage.of.women"
"127","federal senate bicameral-IPU-Number.of.seats","IPU","BRB","All",2018,"Federal Senate Bicameral","Federal Senate Bicameral","Number.of.seats",81,"20-IPU-Number.of.seats"
"128","federal senate bicameral-IPU-Number.of.women.parliamentarians","IPU","BRB","All",2018,"Federal Senate Bicameral","Federal Senate Bicameral","Number.of.women.parliamentarians",12,"97-IPU-Number.of.women.parliamentarians"
"129","federal senate bicameral-IPU-Percentage.of.women","IPU","BRB","All",2018,"Federal Senate Bicameral","Federal Senate Bicameral","Percentage.of.women",14.81,"174-IPU-Percentage.of.women"
"130","general council unicameral-IPU-Number.of.seats","IPU","AND","All",2018,"General Council Unicameral","General Council Unicameral","Number.of.seats",28,"6-IPU-Number.of.seats"
"131","general council unicameral-IPU-Number.of.women.parliamentarians","IPU","AND","All",2018,"General Council Unicameral","General Council Unicameral","Number.of.women.parliamentarians",9,"83-IPU-Number.of.women.parliamentarians"
"132","general council unicameral-IPU-Percentage.of.women","IPU","AND","All",2018,"General Council Unicameral","General Council Unicameral","Percentage.of.women",32.14,"160-IPU-Percentage.of.women"
"133","german bundestag bicameral-IPU-Number.of.seats","IPU","FSM","All",2018,"German Bundestag Bicameral","German Bundestag Bicameral","Number.of.seats",709,"35-IPU-Number.of.seats"
"134","german bundestag bicameral-IPU-Number.of.women.parliamentarians","IPU","FSM","All",2018,"German Bundestag Bicameral","German Bundestag Bicameral","Number.of.women.parliamentarians",218,"112-IPU-Number.of.women.parliamentarians"
"135","german bundestag bicameral-IPU-Percentage.of.women","IPU","FSM","All",2018,"German Bundestag Bicameral","German Bundestag Bicameral","Percentage.of.women",30.75,"189-IPU-Percentage.of.women"
"136","grand national assembly of turkey unicameral-IPU-Number.of.seats","IPU","TZA","All",2018,"Grand National Assembly of Turkey Unicameral","Grand National Assembly of Turkey Unicameral","Number.of.seats",549,"72-IPU-Number.of.seats"
"137","grand national assembly of turkey unicameral-IPU-Number.of.women.parliamentarians","IPU","TZA","All",2018,"Grand National Assembly of Turkey Unicameral","Grand National Assembly of Turkey Unicameral","Number.of.women.parliamentarians",80,"149-IPU-Number.of.women.parliamentarians"
"138","grand national assembly of turkey unicameral-IPU-Percentage.of.women","IPU","TZA","All",2018,"Grand National Assembly of Turkey Unicameral","Grand National Assembly of Turkey Unicameral","Percentage.of.women",14.57,"226-IPU-Percentage.of.women"
"139","great and general council unicameral-IPU-Number.of.seats","IPU","SDN","All",2018,"Great and General Council Unicameral","Great and General Council Unicameral","Number.of.seats",60,"63-IPU-Number.of.seats"
