"","X.2","Indicator_Id","X.1","Dataset","X","indicator","Indicator_Name","answer","Display_Name","Category_15","Value_Type_Slug","Value_Type_Descriptor","Units","Category_11","Category_12","Category_13","Category_14","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description","Rank_1"
"11",11,"10-ILO-Total",2071,"ILO",191,"public social protection expenditure on benefits for children as a percent of gdp (%)-ILO-Total","SOC_EBEC_NOC_RT","Total","Public social protection expenditure on benefits for children as a percent of GDP (%)",NA,"Total","Total","%","Public Sector Management","Public Expenditure Management","Other","Public social protection expenditure on benefits for children as a percent of GDP (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ILO8",NA,"GOV","10-ILO-Total","The International Labour Organization is the only tripartite U.N. agency. It brings together governments, employers and workers of 187 member States , to set labour standards, develop policies and devise programmes promoting decent work for all women and men.",3.73
"12",12,"10-IPD-d9040",3356,"IPD",1476,"upward social mobility linked to merit-IPD-d9040","D9040","D9040","Upward social mobility linked to merit",NA,"Score","D9040","Index","Fairness and equity","Social protection and labor","Other","Upward social mobility linked to merit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD960",NA,"GOV","10-IPD-d9040","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.275
"13",13,"10-IPU-Number.of.seats",3401,"IPU",1524,"chamber of deputies bicameral-IPU-Number.of.seats","Chamber of Deputies Bicameral","Number.of.seats","Chamber of Deputies Bicameral",NA,"Number of seats","Number of seats","Value","Checks and Balances","Legislative System","Other","Chamber of Deputies Bicameral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPU6.1","31998","GOV","10-IPU-Number.of.seats","The primary source of data is parliaments themselves. Every IPU member parliament has a correspondent who is responsible for providing information on changes and updates to the IPU Secretariat. Additional information is gathered from other sources, including national electoral commissions and the media, and is regularly cross-checked with parliament.",3.159
"14",14,"10-PEFA-Total",3835,"PEFA",2006,"availability of data for monitoring the stock of expenditure payment arrears-PEFA-Total","availability of data for monitoring the stock of expenditure payment arrears","Total","Availability of data for monitoring the stock of expenditure payment arrears",NA,"Score","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values","Public Sector Management","Public Expenditure Management","Other","Availability of data for monitoring the stock of expenditure payment arrears (ii)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA66","PEFA66","GOV","10-PEFA-Total","PEFA includes 31 performance indicators of activities performed by governments. The indicators are grouped under the seven pillars that capture the performance of the key systems, processes, and institutions of government.",3.129
"15",15,"10-SC-Total",4086,"SC",1736,"import and export price indexes-SC-Total","5.04.01.02.impexp","Total","Import and Export Price Indexes",NA,"Total","Total","Value","Public Sector Management","Administrative and Policymaking capacity","Other","Import and Export Price Indexes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SC15","SC15","GOV","10-SC-Total","The World Bank's Statistical Capacity Indicator is a composite score assessing the capacity of a country's statistical system. It is based on a diagnostic framework assessing the following areas: methodology, data sources, and periodicity and timeliness. Countries are scored against 25 criteria in these areas, using publicly available information and/or country input. The overall Statistical Capacity score is then being calculated as simple average of all three area scores on a scale of 0-100.",3.467
"16",16,"10-WJP-Total",4315,"WJP",1914,"civil justice is effectively enforced-WJP-Total","7.6","Total","Civil justice is effectively enforced",NA,"Total","Total","Value","Checks and Balances","Judiciary System","Other","Civil justice is effectively enforced (76)",NA,"","","","",NA,NA,"","","","","WJP55","WJP55","GOV","10-WJP-Total","The World Justice Project developed the conceptual framework summarized in the Index's 9 factors and 47 sub-factors, in consultation with academics, practitioners, and community leaders from around the world. The Index team developed a set of five questionnaires based on the Index's conceptual framework, to be administered to experts and the general public.",3.165
"17",17,"100-IIAG-Total",2036,"IIAG",156,"business environment-IIAG-Total","BUSINESS_ENVIRONMENT","Total","Business Environment",NA,"Estimation by Source","Estimation by Source","Index","Private Sector Interface","Property rights and contracts","Other","Business Environment IIAG_calculation","4.192","Private Sector Interface","Permits and Licenses","Other","Business Environment IIAG_calculation",NA,"2.09","Private Sector Interface","Regulation of entry and exit","Other","Business Environment IIAG_calculation","IIAG29","IIAG29","GOV","100-IIAG-Total","The 2017 IIAG Ibrahim Index of African Governance covers the entire continent, 54 countries. It consists of 100 indicators built up into 4 categories: Safety & Rule of Law, Participation & Human Rights, Sustainable Economic Opportunity and Human Development. It includes four data types from 36 different sources: Qualitative Assessment, Opinion Surveys, Official Data and Public Attitude Survey.",2.05
"18",18,"100-IPD-b7000",2298,"IPD",418,"de facto obstacles of an administrative nature red tape etc-IPD-b7000","B7000","B7000","De facto obstacles of an administrative nature (red tape, etc)",NA,"Score","B7000","Index","Checks and Balances","Power and influence of important actors","Other","De facto obstacles of an administrative nature (red tape etc)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD158",NA,"GOV","100-IPD-b7000","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.208
"19",19,"100-IPU-Number.of.women.parliamentarians",3528,"IPU",1669,"national peoples congress unicameral-IPU-Number.of.women.parliamentarians","National People's Congress Unicameral","Number.of.women.parliamentarians","National People's Congress Unicameral",NA,"Number of women parliamentarians","Number of women parliamentarians","Value","Checks and Balances","Legislative System","Other","National Peoples Congress Unicameral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPU56.2","31987","GOV","100-IPU-Number.of.women.parliamentarians","The primary source of data is parliaments themselves. Every IPU member parliament has a correspondent who is responsible for providing information on changes and updates to the IPU Secretariat. Additional information is gathered from other sources, including national electoral commissions and the media, and is regularly cross-checked with parliament.",5.475
"20",20,"100-PEFA-Total",3832,"PEFA",2003,"annual deviation of actual budget support from the forecast provided by the donor agencies at least six weeks prior to the government submitting its budget proposals to the legislature or equivalent approving body-PEFA-Total","annual deviation of actual budget support from the forecast provided by the donor agencies at least six weeks prior to the government submitting its budget proposals to the legislature or equivalent approving body","Total","Annual deviation of actual budget support from the forecast provided by the donor agencies at least six weeks prior to the government submitting its budget proposals to the legislature or equivalent approving body",NA,"Score","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values","Public Sector Management","Public Expenditure Management","Other","Annual deviation of actual budget support from the forecast provided by the donor agencies at least six weeks prior to the government submitting its budget proposals to the legislature/equivalent (i)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA34","PEFA34","GOV","100-PEFA-Total","PEFA includes 31 performance indicators of activities performed by governments. The indicators are grouped under the seven pillars that capture the performance of the key systems, processes, and institutions of government.",3.115
"21",21,"100-SGI-Total",4118,"SGI",1768,"corruption prevention-SGI-Total"," Corruption Prevention","Total","Corruption Prevention",NA,"Total","Total","Value","Absence of Corruption","Prevention and sanction","Other","Corruption Prevention",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SGI24","SGI24","GOV","100-SGI-Total","The Sustainable Governance Indicators (SGI) draw on established survey and aggregation methods. In order to ensure the proper operationalization of the individual index components, the SGI relies on a combination of qualitative and quantitative data.",2.08
"22",22,"1000-IPD-a1010",2842,"IPD",962,"mechanisms for population participation other than in elections in national political decisions polls committees public debates etc-IPD-a1010","A1010","A1010","Mechanisms for population participation (other than in elections) in national political decisions (polls, committees, public debates, etc.)",NA,"Score","A1010","Index","Citizen Engagement","Civil Society Participation","Other","Mechanisms for population participation (other than in elections) in national political decisions (polls committees public debates etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD583",NA,"GOV","1000-IPD-a1010","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.386
"23",23,"1001-IPD-a1011",3324,"IPD",1444,"traditional or modern mechanisms for population participation other than in elections in local political decisions polls committees consultations public debates etc-IPD-a1011","A1011","A1011","Traditional or modern mechanisms for population participation (other than in elections) in local political decisions (polls, committees, consultations, public debates, etc.)",NA,"Score","A1011","Index","Citizen Engagement","Civil Society Participation","Other","Traditional or modern mechanisms for population participation (other than in elections) in local political decisions (polls committees consultations public debates etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD942",NA,"GOV","1001-IPD-a1011","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.445
"24",24,"1002-IPD-a1012",2232,"IPD",352,"civil society opposition or political or social expression practices using the internet or mobile telephones-IPD-a1012","A1012","A1012","Civil society opposition or political or social expression practices using the Internet or mobile telephones",NA,"Score","A1012","Index","Citizen Engagement","Civil Society Participation","Other","Civil society opposition or political or social expression practices using the Internet or mobile telephones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD112",NA,"GOV","1002-IPD-a1012","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.52
"25",25,"1003-IPD-a1020",2933,"IPD",1053,"power to table bills or propose measures to the executive body-IPD-a1020","A1020","A1020","Power to table bills or propose measures to the executive body",NA,"Score","A1020","Index","Checks and Balances","Power and influence of important actors","Other","Power to table bills or propose measures to the executive body",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD655",NA,"GOV","1003-IPD-a1020","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",5.508
"26",26,"1004-IPD-a1021",2932,"IPD",1052,"power of control over the executive body-IPD-a1021","A1021","A1021","Power of control over the executive body",NA,"Score","A1021","Index","Checks and Balances","Power and influence of important actors","Other","Power of control over the executive body",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD654",NA,"GOV","1004-IPD-a1021","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",5.507
"27",27,"1006-IPD-a1031",2558,"IPD",678,"freedom of association-IPD-a1031","A1031","A1031","Freedom of association",NA,"Score","A1031","Index","Citizen Engagement","Civil Rights","Other","Freedom of association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD353.3",NA,"GOV","1006-IPD-a1031","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.275
"28",28,"1007-IPD-a1032",2554,"IPD",674,"freedom of assembly and demonstration-IPD-a1032","A1032","A1032","Freedom of assembly and demonstration",NA,"Score","A1032","Index","Citizen Engagement","Civil Rights","Other","Freedom of assembly and demonstration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD352.3",NA,"GOV","1007-IPD-a1032","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.271
"29",29,"1008-IPD-a1033",3089,"IPD",1209,"respect for law in relations between citizens and administrations-IPD-a1033","A1033","A1033","Respect for law in relations between citizens and administrations",NA,"Score","A1033","Index","Trust","Trust in Government","Other","Respect for law in relations between citizens and administrations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD767",NA,"GOV","1008-IPD-a1033","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.42
"30",30,"1009-IPD-a1034",3092,"IPD",1212,"respect for minorities ethnic religious linguistic etc-IPD-a1034","A1034","A1034","Respect for minorities (ethnic, religious, linguistic, etc.)",NA,"Score","A1034","Index","Trust","Social cohesion (trust in others)","Other","Respect for minorities (ethnic religious linguistic etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD770",NA,"GOV","1009-IPD-a1034","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.45
"31",31,"101-GCI-Value",237,"GCI",128,"Malaria cases-GCI-Value","Malaria cases/100,000 pop.*","Value","Malaria cases",NA,"100000 pop","100000 pop","Index","Public Sector Management","Service Delivery","Other","Malaria cases",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI70.2","GCI70","GOV","101-GCI-Value","The Global Competitiveness Report 2015–2016 presents information and data that were compiled and/or collected by the World Economic Forum.
It is grouped into 12 categories, the pillars of competitiveness: Institutions, Infrastructure, Macroeconomic environment, Health and primary education, Higher education and training, Goods market efficiency, Labor market efficiency, Financial market development, Technological readiness, Market size, Business sophistication, Innovation.",3.56
"32",32,"101-IPD-b6092",2946,"IPD",1066,"price tension on land averagesized towns-IPD-b6092","B6092","B6092","Price tension on land: averagesized towns",NA,"Score","B6092","Index","Fairness and equity","Land issues","Other","Price tension on land: averagesized towns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD665",NA,"GOV","101-IPD-b6092","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.17
"33",33,"101-PEFA-Total",3877,"PEFA",2048,"in-year timeliness of donor disbursements compliance with aggregate quarterly estimates-PEFA-Total","in-year timeliness of donor disbursements compliance with aggregate quarterly estimates","Total","In-year timeliness of donor disbursements compliance with aggregate quarterly estimates",NA,"Score","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values","Public Sector Management","Public Expenditure Management","Other","In-year timeliness of donor disbursements compliance with aggregate quarterly estimates (ii)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA78","PEFA78","GOV","101-PEFA-Total","PEFA includes 31 performance indicators of activities performed by governments. The indicators are grouped under the seven pillars that capture the performance of the key systems, processes, and institutions of government.",3.529
"34",34,"1010-IPD-a1040",2397,"IPD",517,"does the state control the content of the information in the different media de jure or de facto-IPD-a1040","A1040","A1040","Does the State control the content of the information in the different media, de jure or de facto?",NA,"Score","A1040","Index","Checks and Balances","Power and influence of important actors","Other","Does the State control the content of the information in the different media de jure or de facto?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD225",NA,"GOV","1010-IPD-a1040","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.234
"35",35,"1011-IPD-a1041",2504,"IPD",624,"extent of concentration of private media-IPD-a1041","A1041","A1041","Extent of concentration of private media",NA,"Score","A1041","Index","Citizen Engagement","Freedom of expression","Other","Extent of concentration of private media",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD316",NA,"GOV","1011-IPD-a1041","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.251
"36",36,"1012-IPD-a1042",3227,"IPD",1347,"state control over internet access-IPD-a1042","A1042","A1042","State control over Internet access",NA,"Score","A1042","Index","Citizen Engagement","Freedom of expression","Other","State control over Internet access",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD880",NA,"GOV","1012-IPD-a1042","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.437
"37",37,"1013-IPD-a1050",2614,"IPD",734,"have the rules in force when the current head of state or government came to power changed in the last three years to improve the head of state or governments chances of staying in hisher position-IPD-a1050","A1050","A1050","Have the rules in force when the current head of state or government came to power changed in the last three years to improve the head of state or governments chances of staying in hisher position?",NA,"Score","A1050","Index","Political Accountability","Public Accountability Mechanisns","Other","Have the rules in force when the current head of state or government came to power changed in the last three years to improve the head of state or governments chances of staying in hisher position?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD395",NA,"GOV","1013-IPD-a1050","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.58
"38",38,"1014-IPD-a1051",2323,"IPD",443,"did the current head of state or government come to power in compliance with the changed rules in force at the moment of hisher accession election dynastic succession etc-IPD-a1051","A1051","A1051","Did the current head of state or government come to power in compliance with the (changed) rules in force at the moment of hisher accession (election, dynastic succession, etc.)?",NA,"Score","A1051","Index","Political Accountability","Public Accountability Mechanisns","Other","Did the current head of state or government come to power in compliance with the (changed) rules in force at the moment of hisher accession (election dynastic succession etc.)?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD176",NA,"GOV","1014-IPD-a1051","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.51
"39",39,"1015-IPD-a1052",3312,"IPD",1432,"the legality of the process appointing these political authorities-IPD-a1052","A1052","A1052","The legality of the process appointing these political authorities",NA,"Score","A1052","Index","Public Sector Management","Enforcement","Other","The legality of the process appointing these political authorities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD931",NA,"GOV","1015-IPD-a1052","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.918
"40",40,"1016-IPD-a1060",2921,"IPD",1041,"political parties acceptance or dispute of most recent change at highest level of government-IPD-a1060","A1060","A1060","Political parties acceptance or dispute of most recent change at highest level of government",NA,"Score","A1060","Index","Political Accountability","Political Parties","Other","Political parties acceptance or dispute of most recent change at highest level of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD642",NA,"GOV","1016-IPD-a1060","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.095
"41",41,"1017-IPD-a1061",2925,"IPD",1045,"population acceptance or dispute of most recent change at highest level of government-IPD-a1061","A1061","A1061","Population acceptance or dispute of most recent change at highest level of government",NA,"Score","A1061","Index","Trust","Trust in Government","Other","Population acceptance or dispute of most recent change at highest level of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD649",NA,"GOV","1017-IPD-a1061","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.4
"42",42,"1018-IPD-a1062",3309,"IPD",1429,"the capacity of the political authorites to secure an economic benefit jobs income etc for a large proportion of the population-IPD-a1062","A1062","A1062","The capacity of the political authorites to secure an economic benefit (jobs, income, etc.) for a large proportion of the population",NA,"Score","A1062","Index","Fairness and equity","Redistribution mechanism","Other","The capacity of the political authorites to secure an economic benefit (jobs income etc.) for a large proportion of the population",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD928",NA,"GOV","1018-IPD-a1062","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.267
"43",43,"1019-IPD-a1063",3311,"IPD",1431,"the capacity of the political authorities to provide broadbased access to education healthcare culture etc for the population-IPD-a1063","A1063","A1063","The capacity of the political authorities to provide broadbased access to education, healthcare, culture, etc. for the population",NA,"Score","A1063","Index","Fairness and equity","Redistribution mechanism","Other","The capacity of the political authorities to provide broadbased access to education healthcare culture etc. for the population",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD930",NA,"GOV","1019-IPD-a1063","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.268
"44",44,"102-GCI-Rank",236,"GCI",127,"Malaria cases-GCI-Rank","Malaria cases/100,000 pop.*","Rank","Malaria cases",NA,"Rank","Rank","Value","Public Sector Management","Service Delivery","Other","Malaria cases",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI70.1","28962","GOV","102-GCI-Rank","The Global Competitiveness Report 2015–2016 presents information and data that were compiled and/or collected by the World Economic Forum.
It is grouped into 12 categories, the pillars of competitiveness: Institutions, Infrastructure, Macroeconomic environment, Health and primary education, Higher education and training, Goods market efficiency, Labor market efficiency, Financial market development, Technological readiness, Market size, Business sophistication, Innovation.",3.561
"45",45,"102-IPD-b6091",2949,"IPD",1069,"price tension on land large conglomerations-IPD-b6091","B6091","B6091","Price tension on land: large conglomerations",NA,"Score","B6091","Index","Fairness and equity","Land issues","Other","Price tension on land: large conglomerations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD666",NA,"GOV","102-IPD-b6091","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.172
