Indicator ID,Indicator Code,Indicator Name,Display Name,Dataset,Value Type Slug,Value Type Descriptor,Units,Rank 1,Category 1 - slug,Category 1.1,Category 1.2,Category 1.3,Category 1.4,Category 1.5,Rank 2,Category 2 - slug,Category 2.1,Category 2.2,Category 2.3,Category 2.4,Category 2.5,Rank 3,Category 3 - slug,Category 3.1,Category 3.2,Category 3.3,Category 3.4,Category 3.5,Rank 4,Category 4 - slug,Category 4.1,Category 4.2,Category 4.3,Category 4.4,Category 4.5,Rank 5,Category 5 - slug,Category 5.1,Category 5.2,Category 5.3,Category 5.4,Category 5.5,Rank 6,Category 6 - slug,Category 6.1,Category 6.2,Category 6.3,Category 6.4,Category 6.5,Hidden
32651,,Innovation Input Sub-index 2017,Innovation Input Sub-index 2017,Global Innovation Index,Score (0-100),Score (0-100),Normalized Score (using min-max normalization into 0-100 range),5.053,inn.ref.gii,Innovation,Reform Progress,Global Innovation Pillars,Innovation Input Sub-index 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40006,,"DTF - Dealing with construction permits(DB16-18 methodology)",Dealing with construction permits (DB16-18 methodology),Doing Business,dtf,Overall Distance to Frontier,Distance to Frontier,3.001,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Dealing with construction permits (DB16-18 methodology),,,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Dealing with construction permits (DB16-18 methodology),,prop.rights,Private Sector Interface,Property rights and contracts,Other,Dealing with construction permits (DB16-18 methodology),,,hc26c13ea,Private Sector Interface,Permits and Licenses,Other,Dealing with construction permits (DB16-18 methodology),,,regulation,Private Sector Interface,Regulation of entry and exit,Other,Dealing with construction permits (DB16-18 methodology),,,,,,,,,
32650,,Innovation Input Sub-index 2017,Innovation Input Sub-index 2017,Global Innovation Index,Rank,Rank,Rank,5.053,inn.ref.gii,Innovation,Reform Progress,Global Innovation Pillars,Innovation Input Sub-index 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40007,,"DTF - Dealing with construction permits(DB06-14 methodology)",Dealing with construction permits (DB06-14 methodology),Doing Business,dtf,Overall Distance to Frontier,Distance to Frontier,5.155,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Dealing with construction permits (DB06-14 methodology),,,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Dealing with construction permits (DB06-14 methodology),,prop.rights,Private Sector Interface,Property rights and contracts,Other,Dealing with construction permits (DB06-14 methodology),,,hc26c13ea,Private Sector Interface,Permits and Licenses,Other,Dealing with construction permits (DB06-14 methodology),,,regulation,Private Sector Interface,Regulation of entry and exit,Other,Dealing with construction permits (DB06-14 methodology),,,,,,,,,
40008,,DTF - Getting electricity  (DB16-18 methodology),Getting electricity (DB16-18 methodology),Doing Business,dtf,Overall Distance to Frontier,Distance to Frontier,3.004,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Getting electricity (DB16-18 methodology),,,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Getting electricity (DB16-18 methodology),,prop.rights,Private Sector Interface,Property rights and contracts,Other,Getting electricity (DB16-18 methodology),,,hc26c13ea,Private Sector Interface,Permits and Licenses,Other,Getting electricity (DB16-18 methodology),,,regulation,Private Sector Interface,Regulation of entry and exit,Other,Getting electricity (DB16-18 methodology),,,,,,,,,
32652,,Innovation Output Sub-index 2017,Innovation Output Sub-index 2017,Global Innovation Index,Rank,Rank,Rank,5.054,inn.ref.gii,Innovation,Reform Progress,Global Innovation Pillars,Innovation Output Sub-index 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40009,,"DTF - Getting electricity(DB10-14 methodology)",Getting electricity (DB10-14 methodology),Doing Business,dtf,Overall Distance to Frontier,Distance to Frontier,5.156,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Getting electricity (DB10-14 methodology),,,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Getting electricity (DB10-14 methodology),,prop.rights,Private Sector Interface,Property rights and contracts,Other,Getting electricity (DB10-14 methodology),,,hc26c13ea,Private Sector Interface,Permits and Licenses,Other,Getting electricity (DB10-14 methodology),,,regulation,Private Sector Interface,Regulation of entry and exit,Other,Getting electricity (DB10-14 methodology),,,,,,,,,
32653,,Innovation Output Sub-index 2017,Innovation Output Sub-index 2017,Global Innovation Index,Score (0-100),Score (0-100),Normalized Score (using min-max normalization into 0-100 range),5.054,inn.ref.gii,Innovation,Reform Progress,Global Innovation Pillars,Innovation Output Sub-index 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40010,,"DTF - Registering property(DB17-18 methodology)",Registering property (DB17-18 methodology),Doing Business,dtf,Overall Distance to Frontier,Distance to Frontier,3.007,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Registering property (DB17-18 methodology),,,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Registering property (DB17-18 methodology),,prop.rights,Private Sector Interface,Property rights and contracts,Other,Registering property (DB17-18 methodology),,,hc26c13ea,Private Sector Interface,Permits and Licenses,Other,Registering property (DB17-18 methodology),,,regulation,Private Sector Interface,Regulation of entry and exit,Other,Registering property (DB17-18 methodology),,,,,,,,,
32654,,Institutions 2017,Institutions 2017,Global Innovation Index,Rank,Rank,Rank,5.055,inn.ref.gii,Innovation,Reform Progress,Global Innovation Pillars,Institutions 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40011,,"DTF - Registering property(DB16 methodology)",Registering property (DB16 methodology),Doing Business,dtf,Overall Distance to Frontier,Distance to Frontier,5.157,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Registering property (DB16 methodology),,,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Registering property (DB16 methodology),,prop.rights,Private Sector Interface,Property rights and contracts,Other,Registering property (DB16 methodology),,,hc26c13ea,Private Sector Interface,Permits and Licenses,Other,Registering property (DB16 methodology),,,regulation,Private Sector Interface,Regulation of entry and exit,Other,Registering property (DB16 methodology),,,,,,,,,
32655,,Institutions 2017,Institutions 2017,Global Innovation Index,Score (0-100),Score (0-100),Normalized Score (using min-max normalization into 0-100 range),5.055,inn.ref.gii,Innovation,Reform Progress,Global Innovation Pillars,Institutions 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32657,,Political environment 2017,Political environment 2017,Global Innovation Index,Score (0-100),Score (0-100),Normalized Score (using min-max normalization into 0-100 range),5.056,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Political environment 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40012,,"DTF - Registering property(DB05-14 methodology)",Registering property (DB05-14 methodology),Doing Business,dtf,Overall Distance to Frontier,Distance to Frontier,5.158,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Registering property (DB05-14 methodology),,,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Registering property (DB05-14 methodology),,prop.rights,Private Sector Interface,Property rights and contracts,Other,Registering property (DB05-14 methodology),,,hc26c13ea,Private Sector Interface,Permits and Licenses,Other,Registering property (DB05-14 methodology),,,regulation,Private Sector Interface,Regulation of entry and exit,Other,Registering property (DB05-14 methodology),,,,,,,,,
32656,,Political environment 2017,Political environment 2017,Global Innovation Index,Rank,Rank,Rank,5.056,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Political environment 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40013,,DTF - Getting credit (DB15-18 methodology) ,Getting credit (DB15-18 methodology) ,Doing Business,dtf,Overall Distance to Frontier,Distance to Frontier,3.003,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Getting credit (DB15-18 methodology) ,,,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Getting credit (DB15-18 methodology) ,,prop.rights,Private Sector Interface,Property rights and contracts,Other,Getting credit (DB15-18 methodology) ,,,hc26c13ea,Private Sector Interface,Permits and Licenses,Other,Getting credit (DB15-18 methodology) ,,,regulation,Private Sector Interface,Regulation of entry and exit,Other,Getting credit (DB15-18 methodology) ,,,,,,,,,
32660,,Political stability and absence of violence/terrorism 2017,Political stability and absence of violence/terrorism 2017,Global Innovation Index,Score (0-100),Score (0-100),Normalized Score (using min-max normalization into 0-100 range),5.057,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Political stability and absence of violence/terrorism 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40017,,"DTF - Getting credit(DB05-13 methodology)",Getting credit (DB05-13 methodology),Doing Business,dtf,Overall Distance to Frontier,Distance to Frontier,5.159,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Getting credit (DB05-13 methodology),,,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Getting credit (DB05-13 methodology),,prop.rights,Private Sector Interface,Property rights and contracts,Other,Getting credit (DB05-13 methodology),,,hc26c13ea,Private Sector Interface,Permits and Licenses,Other,Getting credit (DB05-13 methodology),,,regulation,Private Sector Interface,Regulation of entry and exit,Other,Getting credit (DB05-13 methodology),,,,,,,,,
32658,,Political stability and absence of violence/terrorism 2017,Political stability and absence of violence/terrorism 2017,Global Innovation Index,Index,Index,Index,5.057,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Political stability and absence of violence/terrorism 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40021,,"DTF - Protecting minority investors(DB15-18 methodology) ",Protecting minority investors (DB15-18 methodology) ,Doing Business,dtf,Overall Distance to Frontier,Distance to Frontier,3.006,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Protecting minority investors (DB15-18 methodology) ,,,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Protecting minority investors (DB15-18 methodology) ,,prop.rights,Private Sector Interface,Property rights and contracts,Other,Protecting minority investors (DB15-18 methodology) ,,,hc26c13ea,Private Sector Interface,Permits and Licenses,Other,Protecting minority investors (DB15-18 methodology) ,,,regulation,Private Sector Interface,Regulation of entry and exit,Other,Protecting minority investors (DB15-18 methodology) ,,,,,,,,,
40020,,"DTF - Protecting minority investors(DB06-13 methodology)",Protecting minority investors (DB06-13 methodology),Doing Business,dtf,Overall Distance to Frontier,Distance to Frontier,5.16,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Protecting minority investors (DB06-13 methodology),,,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Protecting minority investors (DB06-13 methodology),,prop.rights,Private Sector Interface,Property rights and contracts,Other,Protecting minority investors (DB06-13 methodology),,,hc26c13ea,Private Sector Interface,Permits and Licenses,Other,Protecting minority investors (DB06-13 methodology),,,regulation,Private Sector Interface,Regulation of entry and exit,Other,Protecting minority investors (DB06-13 methodology),,,,,,,,,
32659,,Political stability and absence of violence/terrorism 2017,Political stability and absence of violence/terrorism 2017,Global Innovation Index,Rank,Rank,Rank,5.057,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Political stability and absence of violence/terrorism 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40019,,DTF - Paying taxes (DB17-18 methodology),Paying taxes (DB17-18 methodology),Doing Business,dtf,Overall Distance to Frontier,Distance to Frontier,3.005,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Paying taxes (DB17-18 methodology),,,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Paying taxes (DB17-18 methodology),,prop.rights,Private Sector Interface,Property rights and contracts,Other,Paying taxes (DB17-18 methodology),,,hc26c13ea,Private Sector Interface,Permits and Licenses,Other,Paying taxes (DB17-18 methodology),,,regulation,Private Sector Interface,Regulation of entry and exit,Other,Paying taxes (DB17-18 methodology),,,,,,,,,
32661,,Government effectiveness 2017,Government effectiveness 2017,Global Innovation Index,Index,Index,Index,5.058,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Government effectiveness 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32662,,Government effectiveness 2017,Government effectiveness 2017,Global Innovation Index,Rank,Rank,Rank,5.058,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Government effectiveness 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40018,,DTF - Paying taxes (DB06-15 methodology),Paying taxes (DB06-15 methodology),Doing Business,dtf,Overall Distance to Frontier,Distance to Frontier,5.161,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Paying taxes (DB06-15 methodology),,,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Paying taxes (DB06-15 methodology),,prop.rights,Private Sector Interface,Property rights and contracts,Other,Paying taxes (DB06-15 methodology),,,hc26c13ea,Private Sector Interface,Permits and Licenses,Other,Paying taxes (DB06-15 methodology),,,regulation,Private Sector Interface,Regulation of entry and exit,Other,Paying taxes (DB06-15 methodology),,,,,,,,,
32663,,Government effectiveness 2017,Government effectiveness 2017,Global Innovation Index,Score (0-100),Score (0-100),Normalized Score (using min-max normalization into 0-100 range),5.058,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Government effectiveness 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40025,,"DTF - Trading across borders(DB16-18 methodology)",Trading across borders (DB16-18 methodology),Doing Business,dtf,Overall Distance to Frontier,Distance to Frontier,2.002,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Trading across borders (DB16-18 methodology),,,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Trading across borders (DB16-18 methodology),,prop.rights,Private Sector Interface,Property rights and contracts,Other,Trading across borders (DB16-18 methodology),,,hc26c13ea,Private Sector Interface,Permits and Licenses,Other,Trading across borders (DB16-18 methodology),,,regulation,Private Sector Interface,Regulation of entry and exit,Other,Trading across borders (DB16-18 methodology),,,,,,,,,
40024,,"DTF - Trading across borders(DB06-15 methodology)",Trading across borders (DB06-15 methodology),Doing Business,dtf,Overall Distance to Frontier,Distance to Frontier,5.162,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Trading across borders (DB06-15 methodology),,,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Trading across borders (DB06-15 methodology),,prop.rights,Private Sector Interface,Property rights and contracts,Other,Trading across borders (DB06-15 methodology),,,hc26c13ea,Private Sector Interface,Permits and Licenses,Other,Trading across borders (DB06-15 methodology),,,regulation,Private Sector Interface,Regulation of entry and exit,Other,Trading across borders (DB06-15 methodology),,,,,,,,,
32664,,Regulatory environment 2017,Regulatory environment 2017,Global Innovation Index,Rank,Rank,Rank,5.059,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Regulatory environment 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32665,,Regulatory environment 2017,Regulatory environment 2017,Global Innovation Index,Score (0-100),Score (0-100),Normalized Score (using min-max normalization into 0-100 range),5.059,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Regulatory environment 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40016,,"DTF - Enforcing contract(DB17-18 methodology)",Enforcing contracts (DB17-18 methodology),Doing Business,dtf,Overall Distance to Frontier,Distance to Frontier,3.002,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Enforcing contracts (DB17-18 methodology),,,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Enforcing contracts (DB17-18 methodology),,prop.rights,Private Sector Interface,Property rights and contracts,Other,Enforcing contracts (DB17-18 methodology),,,hc26c13ea,Private Sector Interface,Permits and Licenses,Other,Enforcing contracts (DB17-18 methodology),,,regulation,Private Sector Interface,Regulation of entry and exit,Other,Enforcing contracts (DB17-18 methodology),,,,,,,,,
40015,,"DTF - Enforcing contracts(DB16 methodology)",Enforcing contracts (DB16 methodology),Doing Business,dtf,Overall Distance to Frontier,Distance to Frontier,5.163,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Enforcing contracts (DB16 methodology),,,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Enforcing contracts (DB16 methodology),,prop.rights,Private Sector Interface,Property rights and contracts,Other,Enforcing contracts (DB16 methodology),,,hc26c13ea,Private Sector Interface,Permits and Licenses,Other,Enforcing contracts (DB16 methodology),,,regulation,Private Sector Interface,Regulation of entry and exit,Other,Enforcing contracts (DB16 methodology),,,,,,,,,
32667,,Regulatory quality 2017,Regulatory quality 2017,Global Innovation Index,Rank,Rank,Rank,5.06,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Regulatory quality 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40014,,"DTF - Enforcing contracts(DB04-14 methodology)",Enforcing contracts (DB04-14 methodology),Doing Business,dtf,Overall Distance to Frontier,Distance to Frontier,5.164,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Enforcing contracts (DB04-14 methodology),,,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Enforcing contracts (DB04-14 methodology),,prop.rights,Private Sector Interface,Property rights and contracts,Other,Enforcing contracts (DB04-14 methodology),,,hc26c13ea,Private Sector Interface,Permits and Licenses,Other,Enforcing contracts (DB04-14 methodology),,,regulation,Private Sector Interface,Regulation of entry and exit,Other,Enforcing contracts (DB04-14 methodology),,,,,,,,,
32668,,Regulatory quality 2017,Regulatory quality 2017,Global Innovation Index,Score (0-100),Score (0-100),Normalized Score (using min-max normalization into 0-100 range),5.06,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Regulatory quality 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32666,,Regulatory quality 2017,Regulatory quality 2017,Global Innovation Index,Index,Index,Index,5.06,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Regulatory quality 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40023,,DTF - Resolving insolvency (DB15-18 methodology),Resolving insolvency (DB15-18 methodology),Doing Business,dtf,Overall Distance to Frontier,Distance to Frontier,3.008,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Resolving insolvency (DB15-18 methodology),,,entrp.pol,Innovation,Entrepreneurship,Entrepreneurial Ecosystem,Entrepreneurial Policy,Resolving insolvency (DB15-18 methodology),,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Resolving insolvency (DB15-18 methodology),,prop.rights,Private Sector Interface,Property rights and contracts,Other,Resolving insolvency (DB15-18 methodology),,,hc26c13ea,Private Sector Interface,Permits and Licenses,Other,Resolving insolvency (DB15-18 methodology),,,regulation,Private Sector Interface,Regulation of entry and exit,Other,Resolving insolvency (DB15-18 methodology),,
32671,,Rule of law 2017,Rule of law 2017,Global Innovation Index,Score (0-100),Score (0-100),Normalized Score (using min-max normalization into 0-100 range),5.061,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Rule of law 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40022,,DTF - Resolving insolvency (DB04-13 methodology),Resolving insolvency (DB04-13 methodology),Doing Business,dtf,Overall Distance to Frontier,Distance to Frontier,5.165,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Resolving insolvency (DB04-13 methodology),,,entrp.pol,Innovation,Entrepreneurship,Entrepreneurial Ecosystem,Entrepreneurial Policy,Resolving insolvency (DB04-13 methodology),,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Resolving insolvency (DB04-13 methodology),,prop.rights,Private Sector Interface,Property rights and contracts,Other,Resolving insolvency (DB04-13 methodology),,,hc26c13ea,Private Sector Interface,Permits and Licenses,Other,Resolving insolvency (DB04-13 methodology),,,regulation,Private Sector Interface,Regulation of entry and exit,Other,Resolving insolvency (DB04-13 methodology),,
32670,,Rule of law 2017,Rule of law 2017,Global Innovation Index,Rank,Rank,Rank,5.061,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Rule of law 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32669,,Rule of law 2017,Rule of law 2017,Global Innovation Index,Index,Index,Index,5.061,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Rule of law 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32673,,Cost of redundancy dismissal 2017,Cost of redundancy dismissal 2017,Global Innovation Index,Rank,Rank,Rank,5.062,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Cost of redundancy dismissal 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32672,,Cost of redundancy dismissal 2017,Cost of redundancy dismissal 2017,Global Innovation Index,Value,Value,salary weeks,5.062,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Cost of redundancy dismissal 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32674,,Cost of redundancy dismissal 2017,Cost of redundancy dismissal 2017,Global Innovation Index,Score (0-100),Score (0-100),Normalized Score (using min-max normalization into 0-100 range),5.062,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Cost of redundancy dismissal 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32676,,Business environment 2017,Business environment 2017,Global Innovation Index,Score (0-100),Score (0-100),Normalized Score (using min-max normalization into 0-100 range),5.063,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Business environment 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32675,,Business environment 2017,Business environment 2017,Global Innovation Index,Rank,Rank,Rank,5.063,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Business environment 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32677,,Ease of starting a business 2017,Ease of starting a business 2017,Global Innovation Index,Distance to Frontier,Distance to Frontier,Distance to Frontier,5.064,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Ease of starting a business 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32678,,Ease of starting a business 2017,Ease of starting a business 2017,Global Innovation Index,Rank,Rank,Rank,5.064,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Ease of starting a business 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32679,,Ease of starting a business 2017,Ease of starting a business 2017,Global Innovation Index,Score (0-100),Score (0-100),Normalized Score (using min-max normalization into 0-100 range),5.064,inn.ref.gii.institution,Innovation,Reform Progress,Global Innovation Pillars,Institutions Pillar,Ease of starting a business 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
