overlap;Indicator_Id;Indicator_Code;Indicator_Name;Display_Name;Dataset;Value_Type_Slug;Value_Type_Descriptor;Units;Description;Rank_1;Category_11;Category_12;Category_13;Category_14;Category_15;Rank_2;Category_21;Category_22;Category_23;Category_24;Category_25;Rank_3;Category_31;Category_32;Category_33;Category_34;answer
GOV;BEEPS168;BEEPS168;j6;What percent of the contract value would be typically paid in informal payments or gifts to secure the contract? (average);BEEPS;%;%;%;;4.040;Absence of Corruption;Incidence;;;;.;;;;;;.;;;;;Mean
GOV;BEEPS17;BEEPS17;c8;Average duration of power outages (average);BEEPS;Mean;Mean;Hours;;4.641;Public Sector Management;Service Delivery;;;;.;;;;;;.;;;;;Mean
GOV;BEEPS18;BEEPS18;d4;Average number of days to clear customs (average);BEEPS;Mean;Mean;Value;;4.519;Public Sector Management;Tax and Customs;;;;.;;;;;;.;;;;;Mean
GOV;BEEPS19;BEEPS19;c7;Average number of power outages per month (average);BEEPS;Count;Count;Times;;4.700;Public Sector Management;Service Delivery;;;;.;;;;;;.;;;;;Mean
GOV;BEEPS222;BEEPS222;c13;In reference to that application for a water connection approximately how many days did it take to obtain it from the day of the application to the day the service was received? (median);BEEPS;Median;Median;Value;;4.395;Public Sector Management;Service Delivery;;;;.;;;;;;.;;;;;Median
GOV;BEEPS232;BEEPS232;c9a;% Loss as percent of total annual sales due to power outages (median);BEEPS;Median;Median;%;;4.217;Public Sector Management;Service Delivery;;;;.;;;;;;.;;;;;Median
GOV;BEEPS233;BEEPS233;i4a;Losses as percent of total annual sales (median);BEEPS;Median;Median;%;;4.045;Security;Crime;;;;.;;;;;;.;;;;;Median
GOV;BEEPS240;BEEPS240;i2a;Percent of total annual sales for security (median);BEEPS;Median;Median;%;;4.081;Security;Crime;;;;.;;;;;;.;;;;;Median
GOV;BEEPS244;BEEPS244;j2;Senior managements time spent on dealing with regulations (median);BEEPS;%;%;Value;;4.461;Private Sector Interface;Regulation of entry and exit;;;;.;;;;;;.;;;;;Median
GOV;BEEPS247;BEEPS247;j4;Times inspected or met with tax officials (median);BEEPS;Count;Count;Value;;4.484;Public Sector Management;Tax and Customs;;;;.;;;;;;.;;;;;Median
GOV;BEEPS249;BEEPS249;g3;Wait for a constructionrelated permit (median);BEEPS;Median;Median;Days;;4.036;Private Sector Interface;Permits and Licenses;;;;.;;;;;;.;;;;;Median
GOV;BEEPS250;BEEPS250;c4;Wait for electrical connection (median);BEEPS;Median;Median;Days;;4.420;Public Sector Management;Service Delivery;;;;.;;;;;;.;;;;;Median
GOV;BEEPS251;BEEPS251;j11;Wait for import license (median);BEEPS;Median;Median;Days;;4.117;Private Sector Interface;Permits and Licenses;;;;.;;;;;;.;;;;;Median
GOV;BEEPS252;BEEPS252;j14;Wait for operating license (median);BEEPS;Median;Median;Days;;4.366;Private Sector Interface;Permits and Licenses;;;;.;;;;;;.;;;;;Median
GOV;BEEPS253;BEEPS253;c20;Wait for telephone connection (median);BEEPS;Median;Median;Days;;4.575;Public Sector Management;Service Delivery;;;;.;;;;;;.;;;;;Median
GOV;BEEPS268;BEEPS268;j6;What percent of the contract value would be typically paid in informal payments or gifts to secure the contract? (median);BEEPS;%;%;%;;4.080;Absence of Corruption;Incidence;;;;.;;;;;;.;;;;;Median
GOV;BEEPS27;BEEPS27;c8;Average duration of power outages (median);BEEPS;Median;Median;Hours;;4.925;Public Sector Management;Service Delivery;;;;.;;;;;;.;;;;;Median
GOV;BEEPS28;BEEPS28;d4;Average number of days to clear customs (median);BEEPS;Median;Median;Value;;4.489;Public Sector Management;Tax and Customs;;;;.;;;;;;.;;;;;Median
GOV;BEEPS29;BEEPS29;c7;Average number of power outages per month (median);BEEPS;Count;Count;Times;;4.296;Public Sector Management;Service Delivery;;;;.;;;;;;.;;;;;Median
GOV;BTI1;BTI1;Q15.3 ;Anti-corruption policy ;BTI;Score;Score;Index;;1.020;Absence of Corruption;Prevention and sanction;;;;.;;;;;;.;;;;;Total
GOV;BTI11;BTI11;Q3.4 ;Civil rights;BTI;Score;Score;Index;;4.121;Citizen Engagement;Civil Rights;;;;.;;;;;;.;;;;;Total
GOV;BTI12;BTI12;Q16.4 ;Civil society participation;BTI;Score;Score;Index;;3.070;Citizen Engagement;Civil Society Participation;;;;.;;;;;;.;;;;;Total
GOV;BTI13;BTI13;Q13.2 ;Civil society traditions;BTI;Score;Score;Index;;4.055;Citizen Engagement;Civil Society Participation;;;;.;;;;;;.;;;;;Total
GOV;BTI14;BTI14;Q16.3 ;Cleavage conflict management;BTI;Score;Score;Index;;4.280;Public Sector Management;Administrative and Policymaking capacity;;;;2.020;Security;Violent conflict;;;;.;;;;;Total
GOV;BTI15;BTI15;Q4.2 ;Commitment to democratic institutions;BTI;Score;Score;Index;;3.050;Governance;Overall Governance;;;;.;;;;;;.;;;;;Total
GOV;BTI16;BTI16;Q13.3 ;Conflict intensity;BTI;Score;Score;Index;;3.030;Security;Violent conflict;;;;.;;;;;;.;;;;;Total
GOV;BTI17;BTI17;Q16.1 ;Consensus on goals;BTI;Score;Score;Index;;4.527;Public Sector Management;Administrative and Policymaking capacity;;;;.;;;;;;.;;;;;Total
GOV;BTI2;BTI2;Q16.2 ;Anti-democratic actors;BTI;Score;Score;Index;;3.020;Security;Police and Military;;;;.;;;;;;.;;;;;Total
GOV;BTI30;BTI30;Q12.2 ;Education policy R&D;BTI;Score;Score;Index;;4.329;Public Sector Management;Administrative and Policymaking capacity;;;;.;;;;;;.;;;;;Total
GOV;BTI31;BTI31;Q2.2 ;Effective power to govern;BTI;Score;Score;Index;;4.142;Public Sector Management;Administrative and Policymaking capacity;;;;.;;;;;;.;;;;;Total
GOV;BTI32;BTI32;Q17.1 ;Effective use of support;BTI;Score;Score;Index;;4.241;Public Sector Management;Administrative and Policymaking capacity;;;;.;;;;;;.;;;;;Total
GOV;BTI33;BTI33;Q15.1 ;Efficient use of assets;BTI;Score;Score;Index;;3.010;Public Sector Management;Public Expenditure Management;;;;.;;;;;;.;;;;;Total
GOV;BTI34;BTI34;Q12.1 ;Environmental policy;BTI;Score;Score;Index;;4.573;Public Sector Management;Administrative and Policymaking capacity;;;;.;;;;;;.;;;;;Total
GOV;BTI35;BTI35;Q10.2 ;Equal opportunity;BTI;Score;Score;Index;;3.030;Governance;Overall Governance;;;;.;;;;;;.;;;;;Total
GOV;BTI37;BTI37;Q2.1 ;Free and fair elections;BTI;Score;Score;Index;;2.010;Political Accountability;Elections;;;;.;;;;;;.;;;;;Total
GOV;BTI38;BTI38;Q2.4 ;Freedom of expression;BTI;Score;Score;Index;;3.060;Citizen Engagement;Freedom of expression;;;;.;;;;;;.;;;;;Total
TC;BTI4;BTI4;Q7.2 ;Anti-monopoly policy;BTI;Score;Score;Index;;2.080;Private Sector Interface;Regulation of entry and exit;;;;.;;;;;;.;;;;;Total
GOV;BTI41;BTI41;Q3.2 ;Independent judiciary;BTI;Score;Score;Index;;1.010;Checks and Balances;Judiciary System;;;;.;;;;;;.;;;;;Total
GOV;BTI42;BTI42;Q5.2 ;Interest groups;BTI;Score;Score;Index;;4.430;Citizen Engagement;Civil Society Participation;;;;.;;;;;;.;;;;;Total
GOV;BTI43;BTI43;Q17 ;International Cooperation;BTI;Score;Score;Index;;4.092;Public Sector Management;Administrative and Policymaking capacity;;;;.;;;;;;.;;;;;Total
GOV;BTI49;BTI49;MII ;Management Performance;BTI;Score;Score;Index;;4.665;Public Sector Management;Administrative and Policymaking capacity;;;;.;;;;;;.;;;;;Total
GOV;BTI5;BTI5;Q5.3 ;Approval of democracy;BTI;Score;Score;Index;;1.010;Trust;Trust in Government;;;;.;;;;;;.;;;;;Total
TC;BTI57;BTI57;Q7.1 ;Market-based competition;BTI;Score;Score;Index;;4.107;Private Sector Interface;Regulation of entry and exit;;;;.;;;;;;.;;;;;Total
GOV;BTI58;BTI58;Q1.1 ;Monopoly on the use of force;BTI;Score;Score;Index;;3.040;Security;Police and Military;;;;.;;;;;;.;;;;;Total
GOV;BTI59;BTI59;Q1.3 ;No interference of religious dogmas;BTI;Score;Score;Index;;4.426;Citizen Engagement;Freedom of expression;;;;.;;;;;;.;;;;;Total
GOV;BTI6;BTI6;Q2.3 ;Association assembly rights;BTI;Score;Score;Index;;4.057;Citizen Engagement;Civil Society Participation;;;;.;;;;;;.;;;;;Total
GOV;BTI60;BTI60;Q7 ;Organization of the Market and Competition;BTI;Score;Score;Index;;4.296;Private Sector Interface;Regulation of entry and exit;;;;.;;;;;;.;;;;;Total
GOV;BTI62;BTI62;Q5.1 ;Party system;BTI;Score;Score;Index;;2.040;Political Accountability;Political Parties;;;;.;;;;;;.;;;;;Total
GOV;BTI63;BTI63;Q4.1 ;Performance of democratic institutions;BTI;Score;Score;Index;;3.060;Governance;Overall Governance;;;;.;;;;;;.;;;;;Total
GOV;BTI64;BTI64;Q15.2 ;Policy coordination;BTI;Score;Score;Index;;4.288;Public Sector Management;Administrative and Policymaking capacity;;;;.;;;;;;.;;;;;Total
GOV;BTI65;BTI65;Q14.3 ;Policy learning;BTI;Score;Score;Index;;4.063;Public Sector Management;Administrative and Policymaking capacity;;;;.;;;;;;.;;;;;Total
GOV;BTI66;BTI66;Q2 ;Political Participation;BTI;Score;Score;Index;;1.010;Political Accountability;Political Parties;;;;.;;;;;;.;;;;;Total
GOV;BTI67;BTI67;Q5 ;Political and Social Integration;BTI;Score;Score;Index;;3.040;Governance;Overall Governance;;;;.;;;;;;.;;;;;Total
GOV;BTI69;BTI69;Q9 ;Private Property;BTI;Score;Score;Index;;4.543;Private Sector Interface;Property rights and contracts;;;;.;;;;;;.;;;;;Total
GOV;BTI7;BTI7;Q13.6 ;Stateless & Rule of Law ;BTI;Score;Score;Index;;2.020;Political Accountability;Elections;;;;3.030;Governance;Overall Governance;;;;.;;;;;Total
TC;BTI70;BTI70;Q9.2 ;Private enterprise;BTI;Score;Score;Index;;1.020;Private Sector Interface;Permits and Licenses;;;;.;;;;;;.;;;;;Total
GOV;BTI71;BTI71;Q9.1 ;Property rights;BTI;Score;Score;Index;;3.020;Private Sector Interface;Property rights and contracts;;;;.;;;;;;.;;;;;Total
GOV;BTI72;BTI72;Q3.3 ;Prosecution of office abuse;BTI;Score;Score;Index;;1.020;Checks and Balances;Judiciary System;;;;.;;;;;;.;;;;;Total
GOV;BTI76;BTI76;Q17.3 ;Regional cooperation;BTI;Score;Score;Index;;4.846;Public Sector Management;Administrative and Policymaking capacity;;;;.;;;;;;.;;;;;Total
GOV;BTI77;BTI77;Q15 ;Resource Efficiency;BTI;Score;Score;Index;;4.318;Public Sector Management;Public Expenditure Management;;;;.;;;;;;.;;;;;Total
GOV;BTI78;BTI78;Q3 ;Rule of Law;BTI;Score;Score;Index;;3.080;Governance;Overall Governance;;;;.;;;;;;.;;;;;Total
GOV;BTI84;BTI84;Q3.1 ;Separation of powers;BTI;Score;Score;Index;;2.010;Checks and Balances;Judiciary System;;;;1.020;Checks and Balances;Legislative System;;;;.;;;;;Total
GOV;BTI85;BTI85;Q5.4 ;Social capital;BTI;Score;Score;Index;;2.040;Trust;Trust in Government;;;;.;;;;;;.;;;;;Total
GOV;BTI86;BTI86;Q10.1 ;Social safety nets;BTI;Score;Score;Index;;4.540;Public Sector Management;Administrative and Policymaking capacity;;;;.;;;;;;.;;;;;Total
GOV;BTI87;BTI87;Q6.1 ;Socioeconomic barriers;BTI;Score;Score;Index;;4.130;Citizen Engagement;Civil Society Participation;;;;.;;;;;;.;;;;;Total
GOV;BTI88;BTI88;Q4 ;Stability of Democratic Institutions;BTI;Score;Score;Index;;3.070;Governance;Overall Governance;;;;.;;;;;;.;;;;;Total
GOV;BTI89;BTI89;Q1.2 ;State identity;BTI;Score;Score;Index;;2.050;Trust;Trust in Government;;;;.;;;;;;.;;;;;Total
GOV;BTI9;BTI9;Q1.4 ;Basic administration;BTI;Score;Score;Index;;3.040;Public Sector Management;Administrative and Policymaking capacity;;;;.;;;;;;.;;;;;Total
GOV;BTI92;BTI92;Q14 ;Steering Capability;BTI;Score;Score;Index;;4.209;Public Sector Management;Administrative and Policymaking capacity;;;;.;;;;;;.;;;;;Total
GOV;BTI93;BTI93;Q13.1 ;Structural constraints;BTI;Score;Score;Index;;4.368;Public Sector Management;Administrative and Policymaking capacity;;;;.;;;;;;.;;;;;Total
GOV;BTI99;BTI99;Q10 ;Welfare Regime;BTI;Score;Score;Index;;4.181;Public Sector Management;Administrative and Policymaking capacity;;;;.;;;;;;.;;;;;Total
GOV;CDG15;CDG15;Government R&D;Government R&D;CDG;Score;Score;Value;;4.428;Public Sector Management;Innovation;;;;.;;;;;;.;;;;;Total
GOV;CDG18;CDG18;Military spending (% of GDP) / Peacekeeping & humanitarian interventions;Military spending (% of GDP) / Peacekeeping & humanitarian interventions;CDG;Score;Score;%;;4.047;Security;Police and Military;;;;.;;;;;;.;;;;;Total
GOV;CDG19;CDG19;Military spending (% of GDP) / Score;Military spending (% of GDP) / Score;CDG;Score;Score;%;;4.023;Security;Police and Military;;;;.;;;;;;.;;;;;Total
GOV;CDG2;CDG2;Arms exports / Score;Arms exports / Score;CDG;Score;Score;Value;;4.048;Security;Police and Military;;;;.;;;;;;.;;;;;Total
GOV;CDG20;CDG20;Military spending (% of GDP) / Sea lanes protection;Military spending (% of GDP) / Sea lanes protection;CDG;Score;Score;%;;4.019;Security;Police and Military;;;;.;;;;;;.;;;;;Total
GOV;CDG21;CDG21;Military spending (% of GDP) / Total;Military spending (% of GDP) / Total;CDG;Score;Score;%;;4.036;Security;Police and Military;;;;.;;;;;;.;;;;;Total
GOV;CDG3;CDG3;Arms exports / Weighted exports/GDP;Arms exports / Weighted exports/GDP;CDG;Score;Score;Value;;4.012;Security;Police and Military;;;;.;;;;;;.;;;;;Total
API;CPIA1;CPIA1;IQ.CPA.HRES.XQ;Building human resources ;CPIA;1 low to 6 high;1 low to 6 high;rating;This criterion assesses the national policies and public and private sector service delivery that affect access to and quality of: (a) health and nutrition services, including population and reproductive health, (b) education, ECD, training and literacy programs, and (c) prevention and treatment of HIV/AIDS, tuberculosis, and malaria;4.103;Public Sector Management;Personnel Management;;;;.;;;;;;.;;;;;Total
API;CPIA11;CPIA11;IQ.CPA.SOCI.XQ;Policies for social inclusion/equity (Topic Average);CPIA;1 low to 6 high;1 low to 6 high;average;;4.200;Public Sector Management;Administrative and Policymaking capacity;;;;.;;;;;;.;;;;;Total
API;CPIA12;CPIA12;IQ.CPA.ENVR.XQ;Policy and institutions for environmental sustainability ;CPIA;1 low to 6 high;1 low to 6 high;rating;This criterion assesses the extent to which environmental policies foster the protection and sustainable use of natural resources and the management of pollution. Assessment of environmental sustainability requires multi-dimension criteria (i.e. for air, water, waste, conservation management, coastal zones management, natural resources management). ;4.936;Public Sector Management;Administrative and Policymaking capacity;;;;.;;;;;;.;;;;;Total
API;CPIA13;CPIA13;IQ.CPA.PROP.XQ;Property rights and rule-based governance ;CPIA;1 low to 6 high;1 low to 6 high;rating;"This criterion assesses the extent to which private economic activity is facilitated by an effective legal system and rule-based governance structure in which property and contract rights are reliably respected and enforced. Each of three dimensions should be rated separately: (a) legal basis for secure property and contract rights; (b) predictability, transparency, and impartiality of laws and regulations affecting economic activity, and their enforcement by the legal and judicial system; and (c) crime and violence as an impediment to economic activity. ";2.070;Private Sector Interface;Property rights and contracts;;;;.;;;;;;.;;;;;Total
API;CPIA14;CPIA14;IQ.CPA.PUBS.XQ;Public sector management and institutions (Topic Average);CPIA;1 low to 6 high;1 low to 6 high;average;;2.080;Public Sector Management;Personnel Management;;;;.;;;;;;.;;;;;Total
API;CPIA15;CPIA15;IQ.CPA.FINQ.XQ;Quality of budgetary and financial management ;CPIA;1 low to 6 high;1 low to 6 high;rating;"This criterion assesses the extent to which there is: (a) a comprehensive and credible budget, linked to policy priorities; (b) effective financial management systems to ensure that the budget is implemented as intended in a controlled and predictable way; and (c) timely and accurate accounting and fiscal reporting, including timely and audited public accounts and effective arrangements for follow up. ";2.090;Public Sector Management;Public Expenditure Management;;;;.;;;;;;.;;;;;Total
API;CPIA16;CPIA16;IQ.CPA.PADM.XQ;Quality of public administration ;CPIA;1 low to 6 high;1 low to 6 high;rating;"This criterion assesses the extent to which civilian central government staffs (including teachers, health workers, and police) are structured to design and implement government policy and deliver services effectively. The key dimensions for assessment are: a. Policy coordination and responsiveness; b. Service delivery and operational efficiency; c. Merit and ethics;d. Pay adequacy and management of the wage bill.";4.707;Public Sector Management;Personnel Management;;;;.;;;;;;.;;;;;Total
API;CPIA17;CPIA17;IQ.CPA.PROT.XQ;Social protection and labor;CPIA;1 low to 6 high;1 low to 6 high;rating;"This criterion assesses government policies in the area of social protection and labor market regulation, which reduce the risk of becoming poor, assist those who are poor to better manage further risks, and ensure a minimal level of welfare to all people. Criterion 10 is a composite indicator of five different areas of social protection and labor policy: (a) social safety net programs; (b) protection of basic labor standards; (c) labor market regulations; (d) community driven initiatives; and (e) pension and old age savings programs. ";4.107;Public Sector Management;Administrative and Policymaking capacity;;;;.;;;;;;.;;;;;Total
API;CPIA18;CPIA18;IQ.CPA.STRC.XQ;Structural policies (Topic Average);CPIA;1 low to 6 high;1 low to 6 high;average;;4.187;Public Sector Management;Administrative and Policymaking capacity;;;;.;;;;;;.;;;;;Total
API;CPIA2;CPIA2;IQ.CPA.BREG.XQ;Business regulatory environment ;CPIA;1 low to 6 high;1 low to 6 high;rating;"This criterion assesses the extent to which the legal, regulatory, and policy environment helps or hinders private business in investing, creating jobs, and becoming more productive. Three sub-components are measured: (a) regulations affecting entry, exit, and competition; (b) regulations of ongoing business operations; and (c) regulations of factor markets (labor and land). ";1.010;Private Sector Interface;Regulation of entry and exit;;;;.;;;;;;.;;;;;Total
API;CPIA20;CPIA20;IQ.CPA.TRAN.XQ;Transparency accountability and corruption in the public sector ;CPIA;1 low to 6 high;1 low to 6 high;rating;"This criterion assesses the extent to which the executive can be held accountable for its use of funds and the results of its actions by the electorate and by the legislature and judiciary, and the extent to which public employees within the executive are required to account for the use of resources, administrative decisions, and results obtained. Each of three dimensions should be rated separately: (a) the accountability of the executive to oversight institutions and of public employees for their performance; (b) access of civil society to information on public affairs; and (c) state capture by narrow vested interests.";2.010;Absence of Corruption;Perception;;;;.;;;;;;.;;;;;Total
API;CPIA4;CPIA4;IQ.CPA.ECON.XQ;Economic management (Topic Average);CPIA;1 low to 6 high;1 low to 6 high;average;;4.610;Public Sector Management;Administrative and Policymaking capacity;;;;.;;;;;;.;;;;;Total
API;CPIA5;CPIA5;IQ.CPA.REVN.XQ;Efficiency of revenue mobilization ;CPIA;1 low to 6 high;1 low to 6 high;rating;"This criterion assesses the overall pattern of revenue mobilization--not only the tax structure as it exists on paper, but revenue from all sources as they are actually collected. Separate sub-ratings should be provided for (a) tax policy and; (b) tax administration. ";2.050;Public Sector Management;Public Expenditure Management;;;;.;;;;;;.;;;;;Total
API;CPIA6;CPIA6;IQ.CPA.PRES.XQ;Equity of public resource use ;CPIA;1 low to 6 high;1 low to 6 high;rating;"This criterion assesses the extent to which the pattern of public expenditures and revenue collection affects the poor and is consistent with national poverty reduction priorities. The assessment takes into account the extent to which: (a) individuals, groups, or localities that are poor, vulnerable, or have unequal access to services and opportunities are identified; (b) a national development strategy with explicit interventions to assist the groups identified in (a) has been adopted; and (c) the composition and incidence of public expenditures are tracked systematically and their results feedback into subsequent resource allocation decisions. ";2.060;Public Sector Management;Public Expenditure Management;;;;.;;;;;;.;;;;;Total
API;CPIA8;CPIA8;IQ.CPA.FISP.XQ;Fiscal policy ;CPIA;1 low to 6 high;1 low to 6 high;rating;This criterion assesses the short- and medium-term sustainability of fiscal policy (taking into account monetary and exchange rate policy and the sustainability of the public debt) and its impact on growth. ;2.070;Public Sector Management;Public Expenditure Management;;;;.;;;;;;.;;;;;Total
API;CPIA9;CPIA9;IQ.CPA.GNDR.XQ;Gender equality ;CPIA;1 low to 6 high;1 low to 6 high;rating;"This criterion assesses the extent to which the country has enacted and put in place institutions and programs to enforce laws and policies that (a) promote equal access for men and women to human capital development; (b) promote equal access for men and women to productive and economic resources; and (c) give men and women equal status and protection under the law. ";3.050;Citizen Engagement;Civil Rights;;;;.;;;;;;.;;;;;Total
API;DB1;DB1;Building quality control index;Dealing with Construction Permits Building quality control;DB;0-15;0-15;index;;4.277;Private Sector Interface;Property rights and contracts;;;;4.112;Private Sector Interface;Permits and Licenses;;;;4.219;Private Sector Interface;Regulation of entry and exit;;;Total
API;DB10;DB10;Time (days);Dealing with Construction Permits;DB;Total;Total;days;;4.006;Private Sector Interface;Property rights and contracts;;;;4.020;Private Sector Interface;Permits and Licenses;;;;4.143;Private Sector Interface;Regulation of entry and exit;;;Total
TC;DB100;DB100;Cost to import: Documentary compliance (USD);Trading Across Borders: Cost to import Documentary compliance;DB;Total;Total;Value;;4.033;Private Sector Interface;Property rights and contracts;;;;4.219;Private Sector Interface;Permits and Licenses;;;;4.338;Private Sector Interface;Regulation of entry and exit;;;Total
API;DB101;DB101;Cost to import (US$ per container) old methodology;Trading Across Borders: Cost to import old methodology;DB;US$ per container ;US$ per container ;USD;;4.326;Private Sector Interface;Property rights and contracts;;;;4.246;Private Sector Interface;Permits and Licenses;;;;4.105;Private Sector Interface;Regulation of entry and exit;;;Total
GOV;DB102;DB102;Documents to export (number) old methodology;Trading Across Borders: old methodology;DB;Documents to export number ;Documents to export number ;Count;;4.115;Private Sector Interface;Property rights and contracts;;;;4.289;Private Sector Interface;Permits and Licenses;;;;4.305;Private Sector Interface;Regulation of entry and exit;;;Total
TC;DB104;DB104;Time to export: Border compliance (hours);Trading Across Borders: Border compliance;DB;Time to export;Time to export;hours;;4.432;Private Sector Interface;Property rights and contracts;;;;4.174;Private Sector Interface;Permits and Licenses;;;;4.142;Private Sector Interface;Regulation of entry and exit;;;Total
API;DB105;DB105;Time to export: Documentary compliance (hours);Trading Across Borders: Documentary compliance;DB;Time to export;Time to export;days;;4.297;Private Sector Interface;Property rights and contracts;;;;4.210;Private Sector Interface;Permits and Licenses;;;;4.345;Private Sector Interface;Regulation of entry and exit;;;Total
GOV;DB106;DB106;Time to export (days) old methodology;Trading Across Borders: old methodology;DB;Time to export;Time to export;days;;4.052;Private Sector Interface;Property rights and contracts;;;;4.009;Private Sector Interface;Permits and Licenses;;;;4.229;Private Sector Interface;Regulation of entry and exit;;;Total
TC;DB107;DB107;Time to import: Border compliance (hours);Trading Across Borders: Time to import Border compliance;DB;Time to import;Time to import;hours;;4.119;Private Sector Interface;Property rights and contracts;;;;4.243;Private Sector Interface;Permits and Licenses;;;;4.007;Private Sector Interface;Regulation of entry and exit;;;Total
API;DB108;DB108;Time to import: Documentary compliance (hours);Trading Across Borders: Time to import Documentary compliance;DB;Time to import;Time to import;hours;;4.304;Private Sector Interface;Property rights and contracts;;;;4.102;Private Sector Interface;Permits and Licenses;;;;4.181;Private Sector Interface;Regulation of entry and exit;;;Total
GOV;DB109;DB109;Time to import (days) old methodology;Trading Across Borders: Time to import days old methodology;DB;Time to import;Time to import;days;;4.234;Private Sector Interface;Property rights and contracts;;;;4.338;Private Sector Interface;Permits and Licenses;;;;4.346;Private Sector Interface;Regulation of entry and exit;;;Total
TC;DB11;DB11;DTF;Dealing with Construction Permits;DB;Total;Total;DTF;;4.401;Private Sector Interface;Property rights and contracts;;;;4.031;Private Sector Interface;Permits and Licenses;;;;4.202;Private Sector Interface;Regulation of entry and exit;;;Total
TC;DB12;DB12;Rank;Dealing with Construction Permits;DB;Total;Total;Rank;;4.293;Private Sector Interface;Property rights and contracts;;;;4.328;Private Sector Interface;Permits and Licenses;;;;4.037;Private Sector Interface;Regulation of entry and exit;;;Total
API;DB13;DB13;Cost (% of claim);Enforcing Contracts Cost % of claim;DB;Total;Total;%;;4.146;Private Sector Interface;Property rights and contracts;;;;4.074;Private Sector Interface;Permits and Licenses;;;;4.047;Private Sector Interface;Regulation of entry and exit;;;Total
TC;DB14;DB14;Quality of judicial processes index;Enforcing Contracts Quality of judicial processes;DB;0-18;0-18;index;;4.062;Private Sector Interface;Property rights and contracts;;;;4.118;Private Sector Interface;Permits and Licenses;;;;4.030;Private Sector Interface;Regulation of entry and exit;;;Total
API;DB15;DB15;Time (days);Enforcing Contracts ;DB;Total;Total;days;;4.459;Private Sector Interface;Property rights and contracts;;;;4.251;Private Sector Interface;Permits and Licenses;;;;4.293;Private Sector Interface;Regulation of entry and exit;;;Total
TC;DB16;DB16;DTF;Enforcing Contracts;DB;Total;Total;DTF;;4.534;Private Sector Interface;Property rights and contracts;;;;4.151;Private Sector Interface;Permits and Licenses;;;;4.027;Private Sector Interface;Regulation of entry and exit;;;Total
TC;DB17;DB17;Rank;Enforcing Contracts;DB;Total;Total;Rank;;4.323;Private Sector Interface;Property rights and contracts;;;;4.206;Private Sector Interface;Permits and Licenses;;;;4.109;Private Sector Interface;Regulation of entry and exit;;;Total
API;DB18;DB18;Credit bureau coverage (% of adults);Getting Credit: Credit bureau coverage % of adults;DB;Total;Total;%;;4.299;Private Sector Interface;Property rights and contracts;;;;4.256;Private Sector Interface;Permits and Licenses;;;;4.087;Private Sector Interface;Regulation of entry and exit;;;Total
API;DB19;DB19;Credit registry coverage (% of adults);Getting Credit: Credit registry coverage % of adults;DB;Total;Total;%;;4.363;Private Sector Interface;Property rights and contracts;;;;4.278;Private Sector Interface;Permits and Licenses;;;;4.249;Private Sector Interface;Regulation of entry and exit;;;Total
